"task_id","group_id","group_name","practice_id","practice_text","description"
"PO.5.2","PO","Prepare the Organization","PO.5","Ensure that all components of the environments for software development are strongly protected from internal and external threats to prevent compromises of the environments or the software being developed or maintained within them. Examples of environments for software development include development, build, test, and distribution environments.","Secure and harden development endpoints (i.e., endpoints for software designers, developers, testers, builders, etc.) to perform development-related tasks using a risk-based approach."
"PS.1.1","PS","Protect the Software","PS.1","Help prevent unauthorized changes to code, both inadvertent and intentional, which could circumvent or negate the intended security characteristics of the software. For code that is not intended to be publicly accessible, this helps prevent theft of the software and may make it more difficult or time-consuming for attackers to find vulnerabilities in the software.","Store all forms of code – including source code, executable code, and configuration-as-code – based on the principle of least privilege so that only authorized personnel, tools, services, etc. have access."
"PS.2.1","PS","Protect the Software","PS.2","Help software acquirers ensure that the software they acquire is legitimate and has not been tampered with.","Make software integrity verification information available to software acquirers."
"PS.3.1","PS","Protect the Software","PS.3","Preserve software releases in order to help identify, analyze, and eliminate vulnerabilities discovered in the software after release.","Securely archive the necessary files and supporting data (e.g., integrity verification information, provenance data) to be retained for each software release."
"PS.3.2","PS","Protect the Software","PS.3","Preserve software releases in order to help identify, analyze, and eliminate vulnerabilities discovered in the software after release.","Collect, safeguard, maintain, and share provenance data for all components of each software release (e.g., in a software bill of materials [SBOM])."
"PW.1.1","PW","Produce Well-Secured Software","PW.1","Identify and evaluate the security requirements for the software; determine what security risks the software is likely to face during operation and how the software's design and architecture should mitigate those risks; and justify any cases where risk-based analysis indicates that security requirements should be relaxed or waived. Addressing security requirements and risks during software design (secure by design) is key for improving software security and also helps improve development efficiency.","Use forms of risk modeling – such as threat modeling, attack modeling, or attack surface mapping – to help assess the security risk for the software."
"PW.1.2","PW","Produce Well-Secured Software","PW.1","Identify and evaluate the security requirements for the software; determine what security risks the software is likely to face during operation and how the software's design and architecture should mitigate those risks; and justify any cases where risk-based analysis indicates that security requirements should be relaxed or waived. Addressing security requirements and risks during software design (secure by design) is key for improving software security and also helps improve development efficiency.","Track and maintain the software's security requirements, risks, and design decisions."
"PW.1.3","PW","Produce Well-Secured Software","PW.1","Identify and evaluate the security requirements for the software; determine what security risks the software is likely to face during operation and how the software's design and architecture should mitigate those risks; and justify any cases where risk-based analysis indicates that security requirements should be relaxed or waived. Addressing security requirements and risks during software design (secure by design) is key for improving software security and also helps improve development efficiency.","Where appropriate, build in support for using standardized security features and services (e.g., enabling software to integrate with existing log management, identity management, access control, and vulnerability management systems) instead of creating proprietary implementations of security features and services. [Formerly PW.4.3]"
"PW.2.1","PW","Produce Well-Secured Software","PW.2","Help ensure that the software will meet the security requirements and satisfactorily address the identified risk information.","Have 1) a qualified person (or people) who were not involved with the design and/or 2) automated processes instantiated in the toolchain review the software design to confirm and enforce that it meets all of the security requirements and satisfactorily addresses the identified risk information."
"PW.3.1","PW","Produce Well-Secured Software","PW.3","Moved to PW.4","Moved to PO.1.3"
"PW.3.2","PW","Produce Well-Secured Software","PW.3","Moved to PW.4","Moved to PW.4.4"
"PW.4.1","PW","Produce Well-Secured Software","PW.4","Lower the costs of software development, expedite software development, and decrease the likelihood of introducing additional security vulnerabilities into the software by reusing software modules and services that have already had their security posture checked. This is particularly important for software that implements security functionality, such as cryptographic modules and protocols.","Acquire and maintain well-secured software components (e.g., software libraries, modules, middleware, frameworks) from commercial, open source, and other third-party developers for use by the organization's software."
"PW.4.2","PW","Produce Well-Secured Software","PW.4","Lower the costs of software development, expedite software development, and decrease the likelihood of introducing additional security vulnerabilities into the software by reusing software modules and services that have already had their security posture checked. This is particularly important for software that implements security functionality, such as cryptographic modules and protocols.","Create and maintain well-secured software components in-house following SDLC processes to"
"PW.4.3","PW","Produce Well-Secured Software","PW.4","Lower the costs of software development, expedite software development, and decrease the likelihood of introducing additional security vulnerabilities into the software by reusing software modules and services that have already had their security posture checked. This is particularly important for software that implements security functionality, such as cryptographic modules and protocols.","Moved to PW.1.3"
"PW.4.4","PW","Produce Well-Secured Software","PW.4","Lower the costs of software development, expedite software development, and decrease the likelihood of introducing additional security vulnerabilities into the software by reusing software modules and services that have already had their security posture checked. This is particularly important for software that implements security functionality, such as cryptographic modules and protocols.","Verify that acquired commercial, open-source, and all other third-party software components comply with the requirements, as defined by the organization, throughout their life cycles."
"PW.4.5","PW","Produce Well-Secured Software","PW.4","Lower the costs of software development, expedite software development, and decrease the likelihood of introducing additional security vulnerabilities into the software by reusing software modules and services that have already had their security posture checked. This is particularly important for software that implements security functionality, such as cryptographic modules and protocols.","Moved to PW.4.1 and PW.4.4"
"PW.5.1","PW","Produce Well-Secured Software","PW.5","Decrease the number of security vulnerabilities in the software, and reduce costs by minimizing vulnerabilities introduced during source code creation that meet or exceed organization-defined vulnerability severity criteria.","Follow all secure coding practices that are appropriate to the development languages and environment to meet the organization's requirements."
"PW.5.2","PW","Produce Well-Secured Software","PW.5","Decrease the number of security vulnerabilities in the software, and reduce costs by minimizing vulnerabilities introduced during source code creation that meet or exceed organization-defined vulnerability severity criteria.","Moved to PW.5.1 as example"
"PW.6.1","PW","Produce Well-Secured Software","PW.6","Decrease the number of security vulnerabilities in the software and reduce costs by eliminating vulnerabilities before testing occurs.","Use compiler, interpreter, and build tools that offer features to improve executable security."
"PW.6.2","PW","Produce Well-Secured Software","PW.6","Decrease the number of security vulnerabilities in the software and reduce costs by eliminating vulnerabilities before testing occurs.","Determine which compiler, interpreter, and build tool features should be used and how each should be configured, then implement and use the approved configurations."
"PW.7.1","PW","Produce Well-Secured Software","PW.7","Help identify vulnerabilities so that they can be corrected before the software is released to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities. Human-readable code includes source code, scripts, and any other","Determine whether code review (a person looks directly at the code to find issues) and/or code analysis (tools are used to find issues in code, either in a fully automated way or in conjunction with a person) should be used, as defined by the organization."
"PW.7.2","PW","Produce Well-Secured Software","PW.7","Help identify vulnerabilities so that they can be corrected before the software is released to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities. Human-readable code includes source code, scripts, and any other","Perform the code review and/or code analysis based on the organization's secure coding standards, and record and triage all discovered issues and recommended remediations in the development team's workflow or issue tracking system."
"PW.8.1","PW","Produce Well-Secured Software","PW.8","Help identify vulnerabilities so that they can be corrected before the software is released in order to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities and improves traceability and repeatability. Executable code includes binaries, directly executed bytecode and source code, and any other form of code that an organization deems executable.","Determine whether executable code testing should be performed to find vulnerabilities not identified by previous reviews, analysis, or testing and, if so, which types of testing should be used."
"PW.8.2","PW","Produce Well-Secured Software","PW.8","Help identify vulnerabilities so that they can be corrected before the software is released in order to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities and improves traceability and repeatability. Executable code includes binaries, directly executed bytecode and source code, and any other form of code that an organization deems executable.","Scope the testing, design the tests, perform the testing, and document the results, including recording and triaging all discovered issues and recommended remediations in the development team's workflow or issue tracking system."
"PW.9.1","PW","Produce Well-Secured Software","PW.9","Help improve the security of the software at the time of installation to reduce the likelihood of the software being deployed with weak security settings, putting it at greater risk of compromise.","Define a secure baseline by determining how to configure each setting that has an effect on security or a security-related setting so that the default settings are secure and do not weaken the security functions provided by the platform, network infrastructure, or services."
"PW.9.2","PW","Produce Well-Secured Software","PW.9","Help improve the security of the software at the time of installation to reduce the likelihood of the software being deployed with weak security settings, putting it at greater risk of compromise.","Implement the default settings (or groups of default settings, if applicable), and document each setting for software administrators."
"RV.1.1","RV","Respond to Vulnerabilities","RV.1","Help ensure that vulnerabilities are identified more quickly so that they can be remediated more quickly in accordance with risk, reducing the window of opportunity for attackers.","Gather information from software acquirers, users, and public sources on potential vulnerabilities in the software and third-party components that the software uses, and investigate all credible reports."
"RV.1.2","RV","Respond to Vulnerabilities","RV.1","Help ensure that vulnerabilities are identified more quickly so that they can be remediated more quickly in accordance with risk, reducing the window of opportunity for attackers.","Review, analyze, and/or test the software's code to identify or confirm the presence of previously undetected vulnerabilities."
"RV.1.3","RV","Respond to Vulnerabilities","RV.1","Help ensure that vulnerabilities are identified more quickly so that they can be remediated more quickly in accordance with risk, reducing the window of opportunity for attackers.","Have a policy that addresses vulnerability disclosure and remediation, and implement the roles, responsibilities, and processes needed to support that policy."
"RV.2.1","RV","Respond to Vulnerabilities","RV.2","Help ensure that vulnerabilities are remediated in accordance with risk to reduce the window of opportunity for attackers.","Analyze each vulnerability to gather sufficient information about risk to plan its remediation or other risk response."
"RV.2.2","RV","Respond to Vulnerabilities","RV.2","Help ensure that vulnerabilities are remediated in accordance with risk to reduce the window of opportunity for attackers.","Plan and implement risk responses for vulnerabilities."
"RV.3.1","RV","Respond to Vulnerabilities","RV.3","Help reduce the frequency of vulnerabilities in the future.","Analyze identified vulnerabilities to determine their root causes."
"RV.3.2","RV","Respond to Vulnerabilities","RV.3","Help reduce the frequency of vulnerabilities in the future.","Analyze the root causes over time to identify patterns, such as a particular secure coding practice not being followed consistently."
"RV.3.3","RV","Respond to Vulnerabilities","RV.3","Help reduce the frequency of vulnerabilities in the future.","Review the software for similar vulnerabilities to eradicate a class of vulnerabilities, and proactively fix them rather than waiting for external reports."
"RV.3.4","RV","Respond to Vulnerabilities","RV.3","Help reduce the frequency of vulnerabilities in the future.","Review the SDLC process, and update it if appropriate to prevent (or reduce the likelihood of) the root cause recurring in updates to the software or in new software that is created."
