"control_id","control_name","low_baseline","moderate_baseline","high_baseline","ot_discussion","enhancement_discussion"
"AC-12","Session Termination","","AC-12","AC-12","Example compensating controls include providing increased auditing measures or limiting remote access privileges to key personnel.",""
"AC-14","Permitted Actions without Identification or Authentication","AC-14","AC-14","AC-14","",""
"AC-17","Remote Access","AC-17 (9)","AC-17 (1) (2) (3) (4) (9) (10)","AC-17 (1) (2) (3) (4) (9) (10)","When the OT cannot implement any or all of the components of this control, the organization employs other mechanisms or procedures as compensating controls in accordance with the general tailoring guidance.","Example compensating controls include employing nonautomated mechanisms or procedures as compensating controls. Compensating controls could include limiting remote access to a specified period of time or placing a call from the OT site to the authenticated remote entity."
"AC-18","Wireless Access","AC-18","AC-18 (1) (3)","AC-18 (1) (3) (4) (5)","",""
"AC-19","Access Control for Mobile Devices","AC-19","AC-19 (5)","AC-19 (5)","",""
"AC-20","Use of External Systems","AC-20","AC-20 (1) (2)","AC-20 (1) (2)","Organizations refine the definition of ""external"" to reflect lines of authority and responsibility, the granularity of an organization entity, and their relationships. An organization may consider a system to be external if that system performs different functions, implements different policies, falls under different management authorities, or does not provide sufficient visibility into the implementation of controls to allow the establishment of a satisfactory trust relationship. For example, an OT system and a business data processing system may be considered external to each other depending on the organization's system boundaries.",""
"AC-21","Information Sharing","","AC-21","AC-21","",""
"AC-22","Publicly Accessible Content","AC-22","AC-22","AC-22","Generally, public access to OT systems is not permitted. Select information may be transferred to a publicly accessible system, possibly with added controls. The organization should review what information is being made accessible prior to publication.",""
"AT-1","Policy and Procedures","AT-1","AT-1","AT-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"AT-2","Literacy Training and Awareness","AT-2 (2)","AT-2 (2) (3) (4)","AT-2 (2) (3) (4)","Security awareness training includes initial and periodic review of OT-specific policies, standard operating procedures, security trends, and vulnerabilities. The OT security awareness program is consistent with the requirements of the security awareness and training policy established by the organization.","Identify and communicate suspicious and anomalous behaviors within the OT environment. Some examples of OT suspicious or anomalous behavior may include a PLC still in programming mode when it is expected to be in run mode, process trips with an undetermined root cause, malware on an HMI, unexpected mouse movement, or process changes that are not being performed by the operator."
"AT-3","Role-Based Training","AT-3","AT-3","AT-3","Security training includes initial and periodic review of OT-specific policies, standard operating procedures, security trends, and vulnerabilities. The OT security training program is consistent with the requirements of the security awareness and training policy established by the organization. The training may be customized for specific OT roles, which could include operators, maintainers, engineers, supervisors, and administrators.",""
"AT-4","Training Records","AT-4","AT-4","AT-4","",""
"AU-1","Policy and Procedures","AU-1","AU-1","AU-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"AU-2","Event Logging","AU-2","AU-2","AU-2","Organizations may want to include relevant OT events (e.g., alerts, alarms, configuration and status changes, operator actions) in their event logging, which may be designated as audit events.",""
"AU-3","Content of Audit Records INITIAL CONTROL BASELIN CONTROL NAME","AU-3 LOW","AU-3 (1) MOD","AU-3 (1) HIGH","",""
"AU-4","Audit Log Storage Capacity","AU-4 <u>(1</u> )","AU-4 (1)","AU-4 <u>(1)</u>","",""
"AU-5","Response to Audit Logging Process Failures","AU-5","AU-5","AU-5 (1) (2)","",""
"AU-6","Audit Record Review, Analysis, and Reporting","AU-6","AU-6 (1) (3)","AU-6 (1) (3) (5) (6)","","Example compensating controls include manual mechanisms or procedures. For devices where audit records cannot be feasibly collected, periodic manual review may be necessary."
"AU-7","Audit Record Reduction and Report Generation","","AU-7 (1)","AU-7 (1)","",""
"AU-8","Time Stamps","AU-8","AU-8","AU-8","Example compensating controls include using a separate system designated as an authoritative time source. See related control SC-45.",""
"AU-9","Protection of Audit Information","AU-9","AU-9 (4)","AU-9 (2) (3) (4)","",""
"AU-10","Non-repudiation","","","AU-10","OT devices may not enforce non-repudiation of audit records and may require compensating controls. Example compensating controls include physical security systems, cameras to monitor user access, or a separate device for log collection.",""
"AU-11","Audit Record Retention","AU-11","AU-11","AU-11","",""
"AU-12","Audit Generation","AU-12","AU-12","AU-12 (1) (3)","","Example compensating controls include providing time-correlated audit records on a separate system."
"CA-1","Policy and Procedures","CA-1","CA-1","CA-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"CA-2","Control Assessments","CA-2","<b>CA-2</b> (1)","<b>CA-2</b> (1) <b>(2)</b>","Assessments are performed and documented by qualified assessors (i.e., experienced in assessing OT) authorized by the organization. The individual or group conducting the assessment fully understands the organizational information security policies and procedures,","The organization conducts risk analysis to support the selection of an assessment target (e.g., the live system, an offline replica, or lab system)."
"CA-3","Information Exchange","CA-3","CA-3","CA-3 (6)","Organizations perform risk-benefit analysis to determine whether an OT should be connected to other systems. The authorizing official (AO) fully understands the organizational information security policies and procedures; the OT security policies and procedures; the risks to organizational operations and assets, individuals, other organizations, and the Nation associated with the connection to other systems; the individuals and organizations that operate and maintain the systems, including maintenance contractors or service providers; and the specific health, safety, and environmental risks associated with a particular interconnection. Connections from the OT environment to other security zones may cross the authorization boundary such that two different authorizing officials may be required to approve the connection. Decisions to accept risk are documented.",""
"CA-5","Plan of Action and Milestones","CA-5","CA-5","CA-5","Corrective actions identified in assessments may not be immediately actionable in an OT environment. Therefore, short-term mitigations may be implemented to reduce risk as part of the gap closure plan or plan of action and milestones.",""
"CA-6","Authorization","CA-6","CA-6","CA-6","",""
"CA-7","Continuous Monitoring","<b>CA-7</b> (4)","<b>CA-7</b> (1) (4)","<b>CA-7</b> (1) (4)","Continuous monitoring programs for OT are designed, documented, and implemented with input from OT personnel. The organization ensures that continuous monitoring does not interfere with OT functions. The individual or group designing and conducting the continuous monitoring for the OT systems implements a monitoring program that is consistent with the organizational information security policies and procedures, the OT security policies and procedures, and the specific health, safety, and environmental risks associated with a particular facility and/or process. Continuous monitoring can be automated or manual at a frequency sufficient to support risk-based decisions. For example, the organization may monitor event logs manually on a specified frequency less often for lower-risk, isolated systems than for higher-risk, networked systems.",""
"CA-8","Penetration Testing","","","CA-8 (1)","Penetration testing is used with care on OT networks to ensure that OT functions are not adversely impacted by the testing process. In general, OT systems are highly sensitive to timing constraints and have limited resources. Example compensating controls include employing a replicated, virtualized, or simulated system to conduct penetration testing. Production OT may need to be taken offline before testing can be conducted. If OT systems are taken offline for testing, tests are scheduled to occur during planned OT outages whenever possible. If penetration testing is performed on non-OT networks, extra care is taken to ensure that tests do not propagate into the OT network.",""
"CA-9","Internal System Connections","CA-9","CA-9","CA-9","Organizations perform risk-benefit analysis to determine whether OT equipment should be connected to other internal system components and then document those connections. The AO fully understands the potential risks associated with approving individual connections or approving a class of components to be connected. For example, the AO may broadly approve the connection of any sensors limited to 4 to 20 milliamp (mA) communication, while other connection types (e.g., serial or Ethernet) require individual approval. Decisions to accept risk are documented.",""
"CM-1","Policy and Procedures","CM-1","CM-1","CM-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"CM-2","Baseline Configuration","CM-2","CM-2 (2) (3) (7)","CM-2 (2) (3) (7)","",""
"CM-3","Configuration Change Control","","<b>CM-3</b> (2) (4)","<b>CM-3</b> (1) (2) (4) (6)","Configuration change control procedures should align with the organization's management of change practices.","The organization considers OT-specific requirements when determining the frequency and/or circumstances for reviewing system changes. For example, safety instrumented systems may be justified for the review of system changes on a predetermined frequency to ensure that no inadvertent changes have been made to the logic solver portion of a safety instrumented function."
"CM-4","Impact Analysis","CM-4","CM-4 (2)","<b>CM-4</b> (1) (2)","The organization considers OT safety and security interdependencies. OT security and safety personnel are included in change process management if the change to the system may impact safety or security.",""
"CM-5","Access Restrictions for Change","CM-5","CM-5","<b>CM-5</b> (1)","Some OT devices allow for the configuration and use of mode change switches. Where available, these should be used to prevent unauthorized changes. For example, many PLCs have key switches that allow the device to be placed in a programming mode or a running mode. Those PLCs should be placed in a running or remote mode to prevent unauthorized programming changes, and the key should be removed from the key switch and managed appropriately.",""
"CM-6","Configuration Settings","CM-6","CM-6","CM-6 (1) (2)","",""
"CM-7","Least Functionality","CM-7","CM-7 (1) (2) (5)","<b>CM-7</b> (1) (2) (5)","The organization implements least functionality by allowing only the specified functions, protocols, and/or services required for OT operations. For non-routable protocols, such as serial communications, interrupts could be disabled or set points could be made readonly except for privileged users to limit functionality. Ports are part of the address space in network protocols and are often associated with specific protocols or functions. For routable protocols, ports can be disabled on many networking devices to limit functionality to the minimum required for operation.","The set of applications that run in OT is relatively static, making allowlisting practical. DHS recommends [using application allowlisting for OT](https://www.cisa.gov/sites/default/files/documents/Guidelines%20for%20Application%20Whitelisting%20in%20Industrial%20Control%20Systems_S508C.pdf)  [equipment.](https://www.cisa.gov/sites/default/files/documents/Guidelines%20for%20Application%20Whitelisting%20in%20Industrial%20Control%20Systems_S508C.pdf)"
"CM-8","System Component Inventory","CM-8","CM-8 (1) (3)","CM-8 (1) (2) (3) (4)","",""
"CM-9","Configuration Management Plan INITIAL CONTROL BASELINES CONTROL NAME","LOW","CM-9 MOD","CM-9 HIGH","Configuration management plans apply to the internal and external (e.g., contractors, integrators) resources responsible for device configuration.",""
"CM-10","Software Usage Restrictions","CM-10","CM-10","CM-10","",""
"CM-11","User-Installed Software","CM-11","CM-11","CM-11","",""
"CM-12","Information Location","","CM-12 (1)","CM-12 (1)","Organizations identify specific information types or components to track where information is being processed and stored. Information to consider in the OT environment may include shared account passwords, PLC backup files, detailed network drawings, and risk assessments that identify specific threats with the environment.",""
"CP-1","Policy and Procedures","CP-1","CP-1","CP-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"CP-2","Contingency Plan","CP-2","CP-2 (1) (3) (8)","CP-2 (1) (2) (3) (5) (8)","The organization defines contingency plans for categories of disruptions or failures. In the case of a contingency, the OT equipment executes preprogrammed functions, such as alerting the operator of the failure and then doing nothing, alerting the operator and then safely shutting down the industrial process, or alerting the operator and then maintaining the last operational setting prior to failure. Contingency plans for widespread disruption may involve specialized organizations (e.g., FEMA, emergency services, regulatory authorities).",""
"CP-3","Contingency Training","CP-3","CP-3","CP-3 (1)","",""
"CP-4","Contingency Plan Testing","CP-4","CP-4 (1)","CP-4 (1) (2)","","Not all systems will have alternate processing sites, as discussed in CP-7."
"CP-6","Alternate Storage Site","","CP-6 (1) (3)","CP-6 (1) (2) (3)","",""
"CP-7","Alternate Processing Site","","CP-7 (1) (2) (3)","CP-7 (1) (2) (3) (4)","Many site-wide supervisory or optimization servers (i.e., Level 3 and above of the Purdue model) can be supported from an alternate processing site. It is likely not feasible for control systems or field devices, such as sensors or final elements (i.e., Level 1 and 0 of the Purdue model), to be made available from an alternate processing site.",""
"CP-8","Telecommunications Services","","CP-8 (1) (2)","CP-8 (1) (2) (3) (4)","Quality of service factors for OT include latency and throughput.",""
"CP-9","System Backup","CP-9","CP-9 (1) (8)","CP-9 (1) (2) (3) (5) (8)","",""
"CP-10","System Recovery and Reconstitution","CP-10","CP-10 (2) (6)","CP-10 (2) (4) (6)","Reconstitution of the OT includes considering whether system state variables should be restored to initial values or the values before disruption (e.g., are valves restored to full open, full closed, or settings prior to disruption). Restoring system state variables may be disruptive to ongoing physical processes (e.g., valves initially closed may adversely affect system cooling).","Organizations should consider recovery and reconstitution timeframes when storing spare equipment, including environmental hazards that could damage the equipment. Storage locations and environments should be chosen appropriately for the type of backup equipment."
"CP-12","Safe Mode","CP-12","CP-12","CP-12","",""
"IA-1","Policy and Procedures","IA-1","IA-1","IA-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.","For local access, physical access controls and logging may be used as an alternative to individual authentication on an OT system. For remote access,"
"IA-2","Identification and Authentication (Organizational Users)","IA-2 (1) (2) (8) (12)","IA-2 (1) (2) (8) (12)","IA-2 (1) (2) (5) (8) (12)","",""
"IA-3","Device Identification and Authentication","IA-3","IA-3","IA-3","OT devices may not inherently support device authentication. If devices are local to one another, physical security measures that prevent unauthorized communication between devices can be used as compensating controls. For remote communication, additional hardware may be required to meet authentication requirements.",""
"IA-4","Identifier Management","IA-4","IA-4 (4)","IA-4 (4)","","This control enhancement is typically implemented by the organization rather than at the system level. However, to manage risk for certain OT environments, identifiers (e.g., badges) may have different markings to indicate the status of individuals, such as contractors, foreign nationals, and non-organizational users."
"IA-5","Authenticator Management","IA-5 (1)","IA-5 (1) (2) (6)","IA-5 (1) (2) (6)","Example compensating controls include physical access control and encapsulating the OT to provide authentication external to the OT.",""
"IA-6","Authentication Feedback","IA-6","IA-6","IA-6","This control assumes a visual interface that provides feedback about authentication information during the authentication process. When OT authentication uses an interface that does not support visual feedback (e.g., protocol-based authentication), this control may be tailored out.",""
"IA-7","Cryptographic Module Authentication","IA-7","IA-7","IA-7","The OT Discussion for IA-2, Identification and Authentication (Organizational Users) is applicable for non-organizational users.","Acceptance of PIV credentials is only required for organizations that follow OMB Memorandum M-19-17 [[OMB-M1917]](#page-158-11) (e.g., federal agencies and contractors)."
"IA-8","Identification and Authentication (Non Organizational Users)","IA-8 (1) (2) (4)","IA-8 (1) (2) (4)","IA-8 (1) (2) (4)","",""
"IA-11","Re-authentication","IA-11","IA-11","IA-11","",""
"IA-12","Identity Proofing","","IA-12 (2) (3) (5)","IA-12 (1) (2) (3) (4) (5)","Identity proofing is likely performed by different departments within the organization. Existing organizational systems (e.g., HR or IT processes) should be leveraged to perform this control.","Maintenance, engineering, or third-party organizations may require OT access in order to support operations. The organization should determine the AO for proving identity prior to allowing access to the OT environment. Consider obtaining supervisor or sponsor authorization, where the sponsor may be someone within operations."
"IR-1","Policy and Procedures","IR-1","IR-1","IR-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"IR-2","Incident Response Training","IR-2","IR-2","IR-2 (1) (2)","",""
"IR-3","Incident Response Testing CONTROL NAME","INITIAL CONTROL BASELINES LOW","IR-3 (2) MOD","IR-3 (2) HIGH","",""
"IR-4","Incident Handling","IR-4","IR-4 (1)","IR-4 (1) (4) (11)","As part of the incident handling capability, the organization coordinates with external vendors, integrators, or suppliers as necessary to ensure that they have the capability to address events that are specific to embedded components and devices.",""
"IR-5","Incident Monitoring","IR-5","IR-5","IR-5 (1)","",""
"IR-6","Incident Reporting","IR-6","IR-6 (1) (3)","IR-6 (1) (3)","The organization should report incidents on a timely basis. CISA collaborates with international and private-sector computer emergency response teams (CERTs) to share control systems-related security incidents and mitigation measures.","The automated mechanisms used to support the incident reporting process are not necessarily part of or connected to the OT."
"IR-7","Incident Response Assistance","IR-7","IR-7 (1)","IR-7 (1)","",""
"IR-8","Incident Response Plan","IR-8","IR-8","IR-8","",""
"MA-1","Policy and Procedures","MA-1","MA-1","MA-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"MA-2","Controlled Maintenance","MA-2","MA-2","MA-2 (2)","",""
"MA-3","Maintenance Tools","","MA-3 (1) (2) (3)","MA-3 (1) (2) (3)","",""
"MA-4","Nonlocal Maintenance","MA-4","MA-4 (1)","MA-4 (1) (3)","","The organization may need access to nonlocal maintenance and diagnostic services in order to restore essential OT operations or services. Example compensating controls include limiting the extent of the maintenance and diagnostic services to the minimum essential activities and carefully monitoring and auditing the nonlocal maintenance and diagnostic activities."
"MA-5","Maintenance Personnel","MA-5","MA-5","MA-5 (1)","",""
"MA-6","Timely Maintenance","","MA-6","MA-6","",""
"MA-7","Field Maintenance","MA-7","MA-7","MA-7","Organizations identify OT systems and system components with specific calibration, maintenance, or other requirements and limit maintenance to specific facilities. Some examples may include safety-critical systems or systems involved in custody transfer where accuracy tolerances are limited and additional quality control checks are required.",""
"MP-1","Policy and Procedures","MP-1","MP-1","MP-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"MP-2","Media Access","MP-2","MP-2","MP-2","",""
"MP-3","Media Marking","","MP-3","MP-3","",""
"MP-4","Media Storage","","MP-4","MP-4","",""
"MP-5","Media Transport","","MP-5","MP-5","",""
"MP-6","Media Sanitization","MP-6","MP-6","MP-6 (1) (2) (3)","",""
"MP-7","Media Use","MP-7","MP-7","MP-7","",""
"PE-1","Policy and Procedures","PE-1","PE-1","PE-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems. The OT components can be distributed over a large facility footprint or geographic area and can be an entry point into the entire organizational network OT. Regulatory controls may also apply.",""
"PE-2","Physical Access Authorizations","PE-2","PE-2","PE-2","",""
"PE-3","Physical Access Control","PE-3","PE-3","PE-3 (1)","The organization considers OT safety and security interdependencies and access requirements in emergency situations. During an emergency, the organization may restrict access to OT facilities and assets to authorized individuals only. OT systems are often constructed of devices that do not have or cannot use comprehensive access control capabilities due to timerestrictive safety constraints. Physical access controls and defense-in-depth measures are used by the organization when necessary and possible to supplement OT security when electronic mechanisms are unable to fulfill the security requirements of the organization's security plan.",""
"PE-4","Access Control for Transmission","","PE-4","PE-4","",""
"PE-5","Access Control for Output Devices","","PE-5","PE-5","",""
"PE-6","Monitoring Physical Access","PE-6","PE-6 (1) (4)","PE-6 (1) (4)","",""
"PE-8","Visitor Access Records","PE-8","PE-8","PE-8 (1)","",""
"PE-9","Power Equipment and Cabling CONTROL NAME","INITIAL CONTROL BASELINES LOW","PE-9 MOD","PE-9 HIGH","",""
"PE-10","Emergency Shutoff","","PE-10","PE-10","It may not be possible or advisable to shut off power to some OT. The organizational-defined parameters for this control should be implemented in consultation with safety and operational personnel. Example compensating controls include failing to a known state and emergency procedures.",""
"PE-11","Emergency Power","","PE-11","PE-11 (1)","",""
"PE-12","Emergency Lighting","PE-12","PE-12","PE-12","",""
"PE-13","Fire Protection","PE-13","PE-13 (1)","PE-13 (1) (2)","Fire suppression mechanisms should take the OT environment into account (e.g., water sprinkler systems could be hazardous in specific environments).",""
"PE-14","Environmental Controls","PE-14","PE-14","PE-14","Temperature and humidity controls are typically components of other OT systems (e.g., HVAC, process, or lighting systems) or can be a stand-alone and unique OT system. OT can operate in extreme environments and both interior and exterior locations. For a specific OT, the temperature and humidity design and operational parameters dictate the performance specifications. Power circuits, distribution closets, routers, and switches that support fire protection and life safety systems must be maintained at the proper temperature and humidity. When environmental controls cannot be implemented, use hardware that is engineered to withstand the OT's unique environmental hazards.",""
"PE-15","Water Damage Protection","PE-15","PE-15","PE-15 (1)","Water damage protection and the use of shutoff and isolation valves are procedural actions and specific types of OT. OT used in the manufacturing, hydropower, transportation/navigation, water, and wastewater industries rely on the movement of water and are specifically designed to manage the quantity, flow, and pressure of water. Power circuits, distribution closets, routers, and switches that support fire protection and life safety systems should ensure that water will not disable the system (e.g., a fire that activates the sprinkler system does not spray onto the fire control servers, routers, or switches or short out the alarms, egress systems, emergency lighting, or suppression systems).",""
"PE-16","Delivery and Removal","PE-16","PE-16","PE-16","",""
"PE-17","Alternate Work Site","","PE-17","PE-17","",""
"PE-18","Location of System Components","","","PE-18","",""
"PE-21","","","","","Organizations that manage OT equipment may choose to utilize EMP protection to prevent adversarial or environmental electromagnetic threats. Organizations may select to follow National Coordinating Center for Communications (NCC) [guidelines on EM pulse](https://www.cisa.gov/sites/default/files/publications/19_0307_CISA_EMP-Protection-Resilience-Guidelines.pdf)  [protection.](https://www.cisa.gov/sites/default/files/publications/19_0307_CISA_EMP-Protection-Resilience-Guidelines.pdf)",""
"PE-22","Component Marking","","PE-22","","Hardware components are marked or labeled to indicate information that is processed, stored, or transmitted. Component markings can be useful for differentiating between safety and control systems, OT and IT equipment, and internally and externally connected systems. Marking components reduces the probability of mismanaging the system or performing maintenance on an incorrect device.",""
"PL-1","Policy and Procedures","PL-1","PL-1","PL-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"PL-2","System Security and Privacy Plans","PL-2","PL-2","PL-2","When systems are highly interconnected, coordinated planning is essential. A low-impact system could adversely affect a higher-impact system.",""
"PL-4","Rules of Behavior","PL-4 (1)","PL-4 (1)","PL-4 (1)","",""
"PL-7","","","","","Organizations need to consider documenting known operational procedures and exploring how they relate to the combination of IT and OT technologies within the environment.",""
"PL-8","Security and Privacy Architecture","","PL-8","PL-8","","Defense in depth is considered a common practice for security architecture within OT environments."
"PL-9","","","","","If the architecture allows for it, consider centrally managing flaw remediation, malicious code protection, logging, and incident detection.",""
"PL-10","Baseline Selection","PL-10","PL-10","PL-10","",""
"PL-11","Baseline Tailoring","PL-11","PL-11","PL-11","",""
"PM-1","Information Security Program Plan","","PM-1","","",""
"PM-2","Information Security Program Leadership Role","","PM-2","","",""
"PM-3","Information Security and Privacy Resources","","PM-3","","",""
"PM-4","Plan of Action and Milestones Process","","PM-4","","",""
"PM-5","System Inventory","","PM-5","","",""
"PM-6","Measures of Performance","","PM-6","","",""
"PM-7","Enterprise Architecture","PM-7","","","",""
"PM-8","Critical Infrastructure Plan","PM-8","","","Organizations should be familiar with the protection requirements and guidance defined by Executive Orders, government sector-specific agencies (SSAs), and industry trade organizations.",""
"PM-9","Risk Management Strategy","PM-9","","","",""
"PM-10","Authorization Process","","PM-10","","",""
"PM-11","Mission and Business Process Definition CONTROL NAME","LOW","PM-11 MOD","INITIAL CONTROL BASELINES HIGH","",""
"PM-12","Insider Threat Program","PM-12","","","",""
"PM-13","Security and Privacy Workforce","","PM-13","","",""
"PM-14","Testing, Training, and Monitoring","","PM-14","","",""
"PM-15","Security and Privacy Groups and Associations","","PM-15","","Organizations should be familiar with relevant security-focused and industryspecific groups or associations, including government sector-specific agencies (SSAs), Information Sharing and Analysis Centers (ISACs), and industry trade organizations.",""
"PM-16","Threat Awareness Program","","PM-16","","The organization should collaborate and share information about potential incidents on a timely basis. CISA [serves as a centralized location](https://www.cisa.gov/uscert/ics) where operational elements involved in cybersecurity and communications reliance are coordinated and integrated. Organizations should consider having both an unclassified and classified information sharing capability.",""
"PM-17","Protecting Controlled Unclassified Information on External Systems","","PM-17","","This control applies to federal agencies and other organizations that support the Government and process controlled unclassified information (CUI).",""
"PM-18","Privacy Program Plan","","PM-18","","",""
"PM-19","Privacy Program Leadership Role","","PM-19","","",""
"PM-20","Dissemination of Privacy Program Information","","PM-20 (1)","","",""
"PM-21","Accounting of Disclosures","PM-21","","","",""
"PM-22","Personally Identifiable Information Quality Management","PM-22","","","",""
"PM-23","Data Governance Body","PM-23","","","",""
"PM-24","Data Integrity Board","PM-24","","","",""
"PM-25","Minimization of Personally Identifiable Information Used in Testing, Training, and Research","","PM-25","","",""
"PM-26","Complaint Management","","PM-26","","",""
"PM-27","Privacy Reporting","","PM-27","","",""
"PM-28","Risk Framing","","PM-28","","",""
"PM-29","Risk Management Program Leadership Roles","","PM-29","","",""
"PM-30","Supply Chain Risk Management Strategy","","PM-30 (1)","","",""
"PM-31","Continuous Monitoring Strategy","","PM-31","","",""
"PM-32","Purposing","","PM-32","","",""
"PS-1","Policy and Procedures","PS-1 PS-1 PS-1","","","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"PS-2","Position Risk Designation","PS-2","PS-2","PS-2","Private organizations should utilize existing sector-specific regulations, laws, policy, and guidance for determining appropriate risk designations for positions.",""
"PS-3","Personnel Screening","PS-3 PS-3","","PS-3","",""
"PS-4","Personnel Termination","PS-4","PS-4","PS-4 (2)","",""
"PS-5","Personnel Transfer INITIAL CONTROL BASELINES CONTROL NAME","PS-5 LOW","PS-5 MOD","PS-5 HIGH","",""
"PS-6","Access Agreements","PS-6","PS-6","PS-6","",""
"PS-7","External Personnel Security","PS-7","PS-7","PS-7","",""
"PS-8","Personnel Sanctions","PS-8","PS-8","PS-8","",""
"PS-9","Position Descriptions","PS-9","PS-9","PS-9","",""
"RA-1","Policy and Procedures","RA-1","RA-1","RA-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"RA-2","Security Categorization","RA-2","RA-2","RA-2","PHA, functional safety assessments, and other organization-established risk assessments can be referenced to identify the impact level of the OT systems.",""
"RA-3","Risk Assessment","RA-3 (1)","RA-3 (1)","RA-3 (1)","",""
"RA-5","Vulnerability Monitoring and Scanning","RA-5 (2) (11)","RA-5 (2) (5) (11)","RA-5 (2) (4) (5) (11)","The organization makes a risk-based determination of how to monitor or scan for vulnerabilities on their system. This may include active scanning, passive monitoring, or","Examples of discoverable information in OT could include information about key personnel or technical information related to systems and configurations. Locations that may need to be monitored or scanned include technical forums, blogs, and vendor or contractor websites."
