"criterion_id","category","section","criterion_text","points_of_focus","extraction_source"
"CC3.3","Common Criteria","","COSO Principle 8: The entity considers the potential for fraud in assessing risks to the achieve ment of objectives.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:
• Considers Various Types of Fraud — The assessment of fraud considers fraudulent reporting, possible loss of assets, and corruption resulting from the various ways that fraud and misconduct can occur.
• Assesses Incentives and Pressures — The assessment of fraud risks considers incen tives and pressures.","marker"
"CC3.4","Common Criteria","","COSO Principle 9: The entity identifies and assesses changes that could significantly impact the system of internal control.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:
• Assesses Changes in the External Environment — The risk identification process considers changes to the regulatory, economic, and physical environment in which the entity operates.
• Assesses Changes in the Business Model — The entity considers the potential im pacts of new business lines, dramatically altered compositions of existing business lines, acquired or divested business operations on the system of internal control, rapid growth, changing reliance on foreign geographies, and new technologies.
• Assesses Changes in Leadership — The entity considers changes in management and respective attitudes and philosophies on the system of internal control.
Additional point of focus when using the trust services criteria:","marker"
"CC4.1","Common Criteria","MONITORING ACTIVITIES","COSO Principle 16: The entity selects, develops, and performs ongoing and/or separate evalua","tions to ascertain whether the components of internal control are present and functioning.
The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:
• Considers a Mix of Ongoing and Separate Evaluations — Management includes a balance of ongoing and separate evaluations.
• Considers Rate of Change — Management considers the rate of change in business and business processes when selecting and developing ongoing and separate evalua tions.
• Establishes Baseline Understanding — The design and current state of an internal control system are used to establish a baseline for ongoing and separate evaluations.
• Uses Knowledgeable Personnel — Evaluators performing ongoing and separate evaluations have sufficient knowledge to understand what is being evaluated.
•","marker"
"CC4.2","Common Criteria","CONTROL ACTIVITIES","COSO Principle 17: The entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior man agement and the board of directors, as appropriate.","The following points of focus, specified in the COSO framework, highlight important character istics relating to this criterion:
• Assesses Results — Management and the board of directors, as appropriate, assess results of ongoing and separate evaluations.
• Communicates Deficiencies — Deficiencies are communicated to parties responsi ble for taking corrective action and to senior management and the board of direc tors, as appropriate.
• Monitors Corrective Action — Management tracks whether deficiencies are reme died on a timely basis.","marker"
"CC5.1","Common Criteria","CONTROL ACTIVITIES","COSO Principle 10: The entity selects and develops control activities that contribute to the miti gation of risks to the achievement of objectives to acceptable levels.","","marker"
"CC5.2","Common Criteria","","COSO Principle 11: The entity also selects and develops general control activities over technol ogy to support the achievement of objectives.","The following points of focus, specified in the COSO framework, highlight important character istics relating to this criterion:
• Determines Dependency Between the Use of Technology in Business Processes and Technology General Controls — Management understands and determines the de pendency and linkage between business processes, automated control activities, and technology general controls.
• Establishes Relevant Technology Infrastructure Control Activities — Management selects and develops control activities over the technology infrastructure, which are","marker"
"CC5.3","Common Criteria","","COSO Principle 12: The entity deploys control activities through policies that establish what is expected and in procedures that put policies into action.","The following points of focus, specified in the COSO framework, highlight important character istics relating to this criterion:
• Establishes Policies and Procedures to Support Deployment of Management's Di rectives — Management establishes control activities that are built into business processes and employees' day-to-day activities through policies establishing what is expected and relevant procedures specifying actions.
• Establishes Responsibility and Accountability for Executing Policies and Proce dures — Management establishes responsibility and accountability for control activ ities with management (or other designated personnel) of the business unit or func tion in which the relevant risks reside.
• Performs in a Timely Manner — Responsible personnel perform control activities in a timely manner as defined by the policies and procedures.
• Takes Corrective Action — Responsible personnel investigate and act on matters identified as a result of executing control activities.
• Performs Using Competent Personnel — Competent personnel with sufficient au thority perform control activities with diligence and continuing focus.","marker"
"CC6.1","Common Criteria","","The entity implements logical access security software, infrastructure, and architectures over pro tected information assets to protect them from security events to meet the entity's objectives.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus when using the trust services criteria for all engagements:
• Identifies and Manages the Inventory of Information Assets — The entity identifies, inventories, classifies, and manages information assets (for example, infrastructure, software, and data).
Assesses New Architectures — The entity identifies new system architectures and • assesses their security prior to implementation into the system environment.
• Restricts Logical Access — The entity restricts logical access to information assets, including infrastructure (for example, server, storage, network elements, APIs, and endpoint devices), software, and data (at rest, during processing, or in transmis sion) through the use of access control software, rule sets, and standard configura tion hardening processes.
• Identifies and Authenticates Users — The entity identifies and authenticates per sons, infrastructure, and software prior to accessing information assets, whether locally or remotely. The entity uses more complex or advanced user authentication techniques such as multifactor authentication when such protections are deemed appropriate based on its risk mitigation strategy.
• Considers Network Segmentation — The entity uses network segmentation, zero trust architectures, and other techniques to isolate unrelated portions of the entity's information technology from each other based on the entity's risk mitigation strat egy.
• Manages Points of Access — Points of access by outside entities and the types of data that flow through the points of access are identified, inventoried, and managed.","marker"
"CC6.2","Common Criteria","","Prior to issuing system credentials and granting system access, the entity registers and authorizes new internal and external users whose access is administered by the entity. For those users whose access is administered by the entity, user system credentials are removed when user access is no longer authorized.","The following points of focus highlight important characteristics relating to this criterion:
• Creates Access Credentials to Protected Information Assets —The entity creates credentials for accessing protected information assets based on an authorization from the system's asset owner or authorized custodian. Authorization is required for the creation of all types of credentials of individuals (for example, employees, con tractors, vendors, and business partner personnel), systems, and software.
• Reviews Validity of Access Credentials — The entity reviews access credentials on a periodic basis for validity (for example, employees, contractors, vendors, and busi ness partner personnel) and inappropriate system or service accounts.
• Prevents the Use of Credentials When No Longer Valid — Processes are in place to disable, destroy, or otherwise prevent the use of access credentials when no longer valid.","marker"
"CC6.3","Common Criteria","","The entity authorizes, modifies, or removes access to data, software, functions, and other protected information assets based on roles, responsibilities, or the system design and changes, giving consid eration to the concepts of least privilege and segregation of duties, to meet the entity's objectives.","The following points of focus highlight important characteristics relating to this criterion:
• Creates or Modifies Access to Protected Information Assets — Processes are in place to create or modify access to protected information assets based on authoriza tion from the asset's owner.
• Removes Access to Protected Information Assets — Processes are in place to re move access to protected information assets when no longer required.","marker"
"CC6.4","Common Criteria","","The entity restricts physical access to facilities and protected information assets (for example, data center facilities, backup media storage, and other sensitive locations) to authorized personnel to meet the entity's objectives.","The following points of focus highlight important characteristics relating to this criterion:
• Creates or Modifies Physical Access — Processes are in place to create or modify physical access by employees, contractors, vendors, and business partner personnel to facilities such as data centers, office spaces, and work areas, based on appropri ate authorization.
• Removes Physical Access — Processes are in place to remove physical access to facilities and protected information assets when an employee, contractor, vendor, or business partner no longer requires access.
Recovers Physical Devices — Processes are in place to recover entity devices (for • example, badges, laptops, and mobile devices) when an employee, contractor, ven dor, or business partner no longer requires access.
• Reviews Physical Access — Processes are in place to periodically review physical access to help ensure consistency with job responsibilities.
The entity discontinues logical and physical protections over physical assets only after the ability to","marker"
"CC6.5","Common Criteria","","read or recover data and software from those assets has been diminished and is no longer required to meet the entity's objectives.","","marker"
"CC6.6","Common Criteria","","The entity implements logical access security measures to protect against threats from sources out side its system boundaries.","The following points of focus highlight important characteristics relating to this criterion:
• Restricts Access — The types of activities that can occur through a communication
channel (for example, FTP site, router port) are restricted.
• Protects Identification and Authentication Credentials — Identification and authen tication credentials are protected during transmission outside its system bounda ries.
• Requires Additional Authentication or Credentials — Additional authentication in formation or credentials are required when accessing the system from outside its boundaries.
• Implements Boundary Protection Systems — Boundary protection systems (for ex ample, firewalls, demilitarized zones, intrusion detection or prevention systems, and endpoint detection and response systems) are configured, implemented, and main tained to protect external access points.","marker"
"CC6.7","Common Criteria","","The entity restricts the transmission, movement, and removal of information to authorized internal and external users and processes, and protects it during transmission, movement, or removal to meet the entity's objectives.","The following points of focus highlight important characteristics relating to this criterion:","marker"
"CC6.8","Common Criteria","LOGICAL AND PHYSICAL ACCESS CONTROLS","The entity implements controls to prevent or detect and act upon the introduction of unauthorized or malicious software to meet the entity's objectives.","","manual_patch"
"CC7.1","Common Criteria","SYSTEM OPERATIONS","To meet its objectives, the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities, and (2) susceptibilities to newly discovered vulnerabilities.","","manual_patch"
"CC7.2","Common Criteria","SYSTEM OPERATIONS","The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives; anomalies are analyzed to determine whether they represent security events.","","manual_patch"
"CC7.3","Common Criteria","","The entity evaluates security events to determine whether they could or have resulted in a failure of the entity to meet its objectives (security incidents) and, if so, takes actions to prevent or address such failures.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus when using the trust services criteria for all engagements:
• Responds to Security Incidents — Procedures are in place for responding to secu rity incidents and evaluating the effectiveness of those policies and procedures on a periodic basis.
• Communicates and Reviews Detected Security Events — Detected security events are communicated to and reviewed by the individuals responsible for the manage ment of the security program, and actions are taken, if necessary.","marker"
"CC7.4","Common Criteria","","The entity responds to identified security incidents by executing a defined incident-response pro gram to understand, contain, remediate, and communicate security incidents, as appropriate.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus when using the trust services criteria for all engagements:","marker"
"CC7.5","Common Criteria","","The entity identifies, develops, and implements activities to recover from identified security inci dents.","The following points of focus highlight important characteristics relating to this criterion:
• Restores the Affected Environment — The activities restore the affected environment to functional operation by rebuilding systems, updating software, installing patches, modifying access controls, and changing configurations, as needed.
• Communicates Information About the Incident — Communications about the nature of the incident, recovery actions taken, and activities required for the prevention of future security incidents are made to management and others as appropriate (inter nal and external).
• Determines Root Cause of the Incident — The root cause of the incident is deter mined.","marker"
"CC8.1","Common Criteria","","The entity authorizes, designs, develops or acquires, configures, documents, tests, approves, and implements changes to infrastructure, data, software, and procedures to meet its objectives.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus when using the trust services criteria for all engagements:
• Manages Changes Throughout the System Life Cycle — A process for managing system changes throughout the life cycle of the system and its components (infra structure, data, software, and manual and automated procedures) is used to support the achievement of entity objectives.
• Authorizes Changes — A process is in place to authorize system and architecture changes prior to design, development, or acquisition and configuration.
• Designs and Develops Changes — A process is in place to design and develop sys tem changes in a secure manner to support the achievement of entity objectives.
• Documents Changes — A process is in place to document system changes to support ongoing maintenance of the system and to support internal and external users in performing their responsibilities.","marker"
"CC9.1","Common Criteria","","The entity identifies, selects, and develops risk mitigation activities for risks arising from potential business disruptions.","","marker"
"CC9.2","Common Criteria","","The entity assesses and manages risks associated with vendors and business partners.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus when using the trust services criteria for all engagements:
• Establishes Requirements for Vendor and Business Partner Engagements — The entity establishes specific requirements for vendor and business partner engage ments that include (1) scope of services and product specifications, (2) roles and responsibilities, (3) compliance requirements, and (4) service levels.
Identifies Vulnerabilities — The entity evaluates vulnerabilities arising from vendor • and business partner relationships, including third-party access to the entity's IT systems and connections with third-party networks.
• Assesses Vendor and Business Partner Risks — The entity inventories, tiers, and as sesses, on a periodic basis, threats arising from relationships with vendors and business partners (and those entities' vendors and business partners) and the vul nerability of the entity's objectives to those threats. Examples of threats arising from relationships with vendors and business partners include those arising from their (1) financial failure, (2) security vulnerabilities, (3) operational disruption, and (4) failure to meet business or regulatory requirements.
• Assigns Responsibility and Accountability for Managing Vendors and Business Partners — The entity assigns responsibility and accountability for the management of risks and changes to services associated with vendors and business partners.","marker"
"A1.1","Availability","ADDITIONAL CRITERIA FOR AVAILABILITY","The entity maintains, monitors, and evaluates current processing capacity and use of system com ponents (infrastructure, data, and software) to manage capacity demand and to enable the imple mentation of additional capacity to help meet its objectives.","The following points of focus, which apply only to an engagement using the trust services crite ria for availability, highlight important characteristics relating to this criterion:
• Measures Current Usage — The use of the system components is measured to estab lish a baseline for capacity management and to use when monitoring and evaluating the risk of impaired availability due to capacity constraints.
• Forecasts Capacity — The expected average and peak use of system components is forecasted and compared to system capacity and associated tolerances. Forecasting considers system resilience and capacity in the event of the failure of system compo nents that constrain capacity.
• Makes Changes Based on Forecasts — The system change management process is initiated when forecasted usage exceeds capacity tolerances.","marker"
"A1.2","Availability","ADDITIONAL CRITERIA FOR AVAILABILITY","The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastruc ture to meet its objectives.","The following points of focus, which apply only to an engagement using the trust services availa bility criteria, highlight important characteristics relating to this criterion:
• Identifies Environmental Threats — As part of the risk assessment process, manage ment identifies environmental threats that could impair the availability of the sys tem, including threats resulting from adverse weather, failure of environmental con trol systems, electrical discharge, fire, and water.","marker"
"A1.3","Availability","ADDITIONAL CRITERIA FOR CONFIDENTIALITY","The entity tests recovery plan procedures supporting system recovery to meet its objectives.","The following points of focus, which apply only to an engagement using the trust services crite ria for availability, highlight important characteristics relating to this criterion:
• Implements Business Continuity Plan Testing — Business continuity plan testing is performed on a periodic basis to test the entity's ability to respond to, recover from, and resume operations through significant disruptions. Testing includes (1) devel opment of testing scenarios based on threat likelihood and magnitude; (2) consider ation of system components from across the entity and vendors that can impair availability; (3) scenarios that consider the potential for the lack of availability of key personnel or vendors; and (4) revision of continuity plans and systems based on test results.
• Tests Integrity and Completeness of Backup Data — The integrity and completeness of backup information is tested on a periodic basis.","marker"
"C1.1","Confidentiality","ADDITIONAL CRITERIA FOR CONFIDENTIALITY","The entity identifies and maintains confidential information to meet the entity's objectives related to confidentiality.","The following points of focus, which apply only to an engagement using the trust services crite ria for confidentiality, highlight important characteristics relating to this criterion:
• Defines and Identifies Confidential information — Procedures are in place to de
Retains Confidential Information — Confidential information is retained for no • longer than necessary to fulfill the identified purpose, unless a law or regulation specifically requires otherwise.
fine, identify, and designate confidential information when it is received or created. • Protects Confidential Information From Destruction — Policies and procedures are in place to protect confidential information from erasure or destruction during the specified retention period of the information.","marker"
"C1.2","Confidentiality","ADDITIONAL CRITERIA FOR CONFIDENTIALITY","The entity disposes of confidential information to meet the entity's objectives related to confidentiality.","","manual_patch"
"PI1.1","Processing Integrity","ADDITIONAL CRITERIA FOR PROCESSING INTEGRITY (OVER THE PROVISION OF SERVICES OR THE PRODUCTION, MANUFACTURING, OR DISTRIBUTION OF GOODS)","The entity obtains or generates, uses, and communicates relevant, quality information regarding the objectives related to processing, including definitions of data processed and product and service specifications, to support the use of products and services.","The following points of focus, which apply only to an engagement using the trust services crite ria for processing integrity, highlight important characteristics relating to this criterion:
• Identifies Functional and Nonfunctional Requirements and Information Specifica
tions — The entity identifies and communicates functional and nonfunctional re support the use of products and services.
quirements related to system processing and information specifications required to • Defines Data Necessary to Support a Product or Service — When data is provided as part of a service or product or as part of a reporting obligation related to a product or service:
1.
2. The definition of the data includes the following information:
a. The population of events or instances included in the set of data
The definition and purpose of the data is available to the users of the data. b. The nature of each element (for example, field) of the set of data (that is, the event or instance to which the data element relates, for example, transaction price of a sale of XYZ Corporation stock for the last trade in that stock on a given day)
c. The sources of the data within the set
d. The units of measurement of data elements (for example, fields) e. The accuracy, correctness, or precision of measurement","marker"
"PI1.2","Processing Integrity","","The entity implements policies and procedures over system inputs, including controls over com pleteness and accuracy, to result in products, services, and reporting to meet the entity's objectives.","The following points of focus, which apply only to an engagement using the trust services crite ria for processing integrity, highlight important characteristics relating to this criterion:
• Defines Characteristics of Processing Inputs — The characteristics of processing inputs that are necessary to meet requirements are defined.
• Evaluates Processing Inputs — Processing inputs are evaluated for compliance with defined input requirements.
• Creates and Maintains Records of System Inputs — Records of system input activi ties are created and maintained completely and accurately in a timely manner.","marker"
"PI1.3","Processing Integrity","","The entity implements policies and procedures over system processing to result in products, ser vices, and reporting to meet the entity's objectives.","","marker"
"PI1.4","Processing Integrity","","The entity implements policies and procedures to make available or deliver output completely, accu rately, and timely in accordance with specifications to meet the entity's objectives.","The following points of focus, which apply only to an engagement using the trust services crite ria for processing integrity, highlight important characteristics relating to this criterion:
• Protects Output — Output is protected when stored or delivered, or both, to prevent theft, destruction, corruption, or deterioration that would prevent output from meet ing specifications.
• Distributes Output Only to Intended Parties — Output is distributed or made avail able only to intended parties.
• Distributes Output Completely and Accurately — Procedures are in place to pro vide for the completeness, accuracy, and timeliness of distributed output.","marker"
"PI1.5","Processing Integrity","","The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely in accordance with system specifications to meet the entity's ob jectives.","The following points of focus, which apply only to an engagement using the trust services crite ria for processing integrity, highlight important characteristics relating to this criterion:
• Protects Stored Items — Stored items are protected to prevent theft, corruption, de struction, or deterioration that would prevent output from meeting specifications.
• Archives and Protects System Records — System records are archived, and archives are protected against theft, corruption, destruction, or deterioration that would pre vent them from being used.
• Stores Data Completely and Accurately — Procedures are in place to provide for the complete, accurate, and timely storage of data.
• Creates and Maintains Records of System Storage Activities — Records of system storage activities are created and maintained completely and accurately in a timely manner.
ADDITIONAL CRITERIA FOR PRIVACY fn 21","marker"
"P1.1","Privacy","","The entity provides notice to data subjects about its privacy practices to meet the entity's objectives related to privacy. The notice is updated and communicated to data subjects in a timely manner for changes to the entity's privacy practices, including changes in the use of personal information, to meet the entity's objectives related to privacy.","The following points of focus, which apply only to an engagement using the trust services crite ria for privacy, highlight important characteristics relating to this criterion:
• Communicates to Data Subjects [C] — Notice is provided to data subjects regard ing the following:
— Purpose for collecting personal information
— Choice and consent
— Types of personal information collected
— Methods of collection (for example, use of cookies or other tracking tech niques)
— Use, retention, and disposal
— Access
— Disclosure to third parties
— Security for privacy
— Quality, including data subjects' responsibilities for quality
If personal information is collected from sources other than the individual, such
— Monitoring and enforcement sources are described in the privacy notice. • Provides Notice to Data Subjects [C] — Notice is provided to data subjects (1) at or before the time personal information is collected or as soon as practical thereafter,","marker"
"P2.0","Privacy","","Privacy Criteria Related to Choice and Consent","","marker"
"P2.1","Privacy","","The entity communicates choices available regarding the collection, use, retention, disclosure, and disposal of personal information to the data subjects and the consequences, if any, of each choice. Explicit consent for the collection, use, retention, disclosure, and disposal of personal information is obtained from data subjects or other authorized persons, if required. Such consent is obtained only for the intended purpose of the information to meet the entity's objectives related to privacy. The entity's basis for determining implicit consent for the collection, use, retention, disclosure, and disposal of personal information is documented.","The following points of focus, which apply only to an engagement using the trust services crite ria for privacy, highlight important characteristics relating to this criterion:
• Communicates to Data Subjects [C] — Data subjects are informed (a) about the choices available to them with respect to the collection, use, and disclosure of per sonal information and (b) that implicit or explicit consent is required to collect, use, and disclose personal information, unless a law or regulation specifically requires or allows otherwise.
• Communicates Consequences of Denying or Withdrawing Consent [C] — When personal information is collected, data subjects are informed of the consequences of","marker"
"P3.0","Privacy","","Privacy Criteria Related to Collection","","marker"
"P3.1","Privacy","","Personal information is collected consistent with the entity's objectives related to privacy.","The following points of focus, which apply only to an engagement using the trust services crite ria for privacy, highlight important characteristics relating to this criterion:
• Limits the Collection of Personal Information [P][C] — The collection of personal information is limited to that necessary to support the achievement of the entity's objectives.
• Collects Information by Fair and Lawful Means [P][C] — Methods of collecting personal information are reviewed by management before they are implemented to confirm that personal information is obtained (a) fairly, without intimidation or de ception, and (b) lawfully, adhering to all relevant rules of law, whether derived from statute or common law, relating to the collection of personal information.","marker"
"P3.2","Privacy","","For information requiring explicit consent, the entity communicates the need for such consent as well as the consequences of a failure to provide consent for the request for personal information and obtains the consent prior to the collection of the information to meet the entity's objectives re lated to privacy.","The following points of focus, which apply only to an engagement using the trust services crite ria for privacy, highlight important characteristics relating to this criterion:
Informs Data Subjects of Consequences of Failure to Provide Consent [C] — Data • subjects are informed of the consequences of failing to provide the entity with ex plicit consent.
• Documents Explicit Consent to Retain Information [C] — Documentation of explicit consent for the collection, use, or disclosure of sensitive personal information is re tained to support the achievement of entity objectives related to privacy.","marker"
"P4.0","Privacy","","Privacy Criteria Related to Use, Retention, and Disposal","","marker"
"P4.1","Privacy","","The entity limits the use of personal information to the purposes identified in the entity's objectives related to privacy.","The following point of focus, which applies only to an engagement using the trust services crite ria for privacy, highlight important characteristics relating to this criterion:
• Uses Personal Information for Intended Purposes [P][C] — Personal information is used only for the intended purposes for which it was collected and only when im plicit or explicit consent has been obtained, unless a law or regulation specifically requires otherwise.","marker"
"P4.2","Privacy","","The entity retains personal information consistent with the entity's objectives related to privacy.","","marker"
"P4.3","Privacy","","The entity securely disposes of personal information to meet the entity's objectives related to pri vacy.","The following points of focus, which apply only to an engagement using the trust services crite
ria for privacy, highlight important characteristics relating to this criterion:
• Captures, Identifies, and Flags Requests for Deletion [P][C] — Requests for dele tion of personal information are captured and information related to the requests is identified and flagged for destruction to support the achievement of the entity's ob jectives related to privacy.
• Disposes of, Destroys, and Redacts Personal Information [P][C] — Personal infor mation no longer retained is anonymized, disposed of, or destroyed in a manner that prevents loss, theft, misuse, or unauthorized access.
• Destroys Personal Information [P][C] — Policies and procedures are implemented to erase or otherwise destroy personal information that has been identified for de struction.","marker"
"P5.0","Privacy","","Privacy Criteria Related to Access","","marker"
"P5.1","Privacy","","The entity grants identified and authenticated data subjects the ability to access their stored per sonal information for review and, upon request, provides physical or electronic copies of that infor mation to data subjects to meet the entity's objectives related to privacy. If access is denied, data subjects are informed of the denial and reason for such denial, as required, to meet the entity's ob jectives related to privacy.","The following points of focus, which apply only to an engagement using the trust services crite ria for privacy, highlight important characteristics relating to this criterion:","marker"
"P5.2","Privacy","","The entity corrects, amends, or appends personal information based on information provided by data subjects and communicates such information to third parties, as committed or required, to meet the entity's objectives related to privacy. If a request for correction is denied, data subjects are informed of the denial and reason for such denial to meet the entity's objectives related to privacy.","The following points of focus, which apply only to an engagement using the trust services crite ria for privacy, highlight important characteristics relating to this criterion:
Responds to Data Controller Requests [P] — The entity has a process to respond to • data controllers' update requests, including updates to personal information and denial of requests, in accordance with service agreements to support the achieve ment of the entity's objectives related to privacy.
• Communicates Denial of Access Requests [P][C] — Data subjects are informed, in writing, of the reason a request for access to their personal information was denied, the source of the entity's legal right to deny such access, if applicable, and the","marker"
"P6.0","Privacy","","Privacy Criteria Related to Disclosure and Notification","","marker"
"P6.1","Privacy","","The entity discloses personal information to third parties with the explicit consent of data subjects and such consent is obtained prior to disclosure to meet the entity's objectives related to privacy.","The following points of focus, which apply only to an engagement using the trust services crite ria for privacy, highlight important characteristics relating to this criterion:
• Communicates Privacy Policies to Third Parties [P][C] — Privacy policies or other specific instructions or requirements for handling personal information are commu nicated to third parties to whom personal information is disclosed.
• Discloses Personal Information Only When Appropriate [P][C] — Personal infor mation is disclosed to third parties only for the purposes for which it was collected or created and only when implicit or explicit consent has been obtained from the data subject, unless a law or regulation specifically requires otherwise.
• Discloses Personal Information Only to Appropriate Third Parties [P][C] — Per sonal information is disclosed only to third parties who have agreements with the entity to protect personal information in a manner consistent with the relevant as pects of the entity's privacy notice or other specific instructions or requirements.
• Discloses Information to Third Parties for New Purposes and Uses [P][C] — Per sonal information is disclosed to third parties for new purposes or uses only with the prior implicit or explicit consent of data subjects.","marker"
"P6.2","Privacy","","The entity creates and retains a complete, accurate, and timely record of authorized disclosures of personal information to meet the entity's objectives related to privacy.","","marker"
"P6.3","Privacy","","The entity creates and retains a complete, accurate, and timely record of detected or reported unau thorized disclosures (including breaches) of personal information to meet the entity's objectives re lated to privacy.","The following point of focus, which applies only to an engagement using the trust services crite ria for privacy, highlights important characteristics relating to this criterion:
• Creates and Retains Record of Detected or Reported Unauthorized Disclosures [P] [C] — The entity creates and maintains a record of detected or reported unauthor ized disclosures of personal information that is complete, accurate, and timely.","marker"
"P6.4","Privacy","","The entity obtains privacy commitments from vendors and other third parties who have access to personal information to meet the entity's objectives related to privacy. The entity assesses those par ties' compliance on a periodic and as-needed basis and takes corrective action, if necessary.","The following points of focus, which apply only to an engagement using the trust services crite ria for privacy, highlight important characteristics relating to this criterion:
• Evaluates Third-Party Compliance With Privacy Commitments [P][C] — The en tity has procedures in place to evaluate whether third parties have effective controls to meet the terms of the agreement, instructions, or requirements.
• Remediates Misuse of Personal Information by a Third Party [P][C] — The entity takes remedial action in response to misuse of personal information by a third party to whom the entity has transferred such information.
Obtains Commitments to Report Unauthorized Disclosures [P][C] — A process ex • ists for obtaining commitments from vendors and other third parties to report to the entity actual or suspected unauthorized disclosures of personal information.","marker"
