normalized_term,source_count,source_secid,source_name,term,definition,source_anchor
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The process of transforming plaintext into ciphertext.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The cryptographic transformation of data to produce ciphertext.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,"Cryptographic transformation of data (called “plaintext”) into a form (called “ciphertext”) that conceals the data’s original meaning to prevent it from being known or used. If the transformation is reversible, the corresponding reversal process is called “decryption,” which is a transformation that restores encrypted data to its original state.",https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,Any procedure used in cryptography to convert plain text into cipher text to prevent anyone but the intended recipient from reading that data.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The process of changing plaintext into ciphertext using a cryptographic algorithm and key.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The process of transforming plaintext into ciphertext.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The process of a confidentiality mode that transforms usable data into an unreadable form.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The translation of data into a form that is unintelligible without a deciphering mechanism.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The process of transforming plaintext into ciphertext using a cryptographic algorithm and key.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The process of changing plaintext into ciphertext using a cryptographic algorithm for the purpose of security or privacy.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The process of changing plaintext into ciphertext.,https://csrc.nist.gov/glossary/term/encryption
encryption,11,secid:reference/virginia.gov/cov-it-glossary,COV IT Glossary (Virginia),Encryption,ByteByteGo | Encoding vs Encryption vs Tokenization | https://bytebytego.com/guides/encoding-vs-encryption-vs-tokenization/ The process or the means of converting original data to an unintelligible form so it cannot be read by unauthorized users.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/e/#1049524
phishing,11,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,phishing,"(D) /slang/ A technique for attempting to acquire sensitive data,
such as bank account numbers, through a fraudulent solicitation in
email or on a Web site, in which the perpetrator masquerades as a
legitimate business or reputable person. (See: social
engineering.)

Derivation: Possibly from ""phony fishing""; the solicitation
usually involves some kind of lure or bait to hook unwary
recipients. (Compare: phreaking.)

Deprecated Term: IDOCs SHOULD NOT use this term; it is not listed
in most dictionaries and could confuse international readers.
(See: Deprecated Usage under ""Green Book"".)",rfc4949-section-4-phishing
phishing,11,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),phishing,A digital form of social engineering to deceive individuals into providing sensitive information.,https://niccs.cisa.gov/resources/glossary#letter-p
phishing,11,secid:reference/wa.gov/data-breach-glossary,Washington State AG Data Breach Glossary,Phishing,"A method of attempting to acquire sensitive information such as usernames, passwords, and credit card details by imitating a trustworthy entity in electronic communications, such as email or text message.",https://www.atg.wa.gov/glossary-data-breach-terms#phishing
phishing,11,secid:reference/gov.uk/ncsc-glossary,NCSC UK Glossary,phishing,"Scam emails or text messages that contain links to websites which may contain malware, or may trick users into revealing sensitive information (such as passwords) or transferring money.",https://www.ncsc.gov.uk/section/advice-guidance/glossary
phishing,11,secid:reference/ca.gov/sam-5300-definitions,California SAM 5300 Technical Definitions (CDT),Phishing,A digital form of social engineering that uses authentic- looking—but bogus—emails to request information from users or direct them to a fake Web site that requests information.,https://www.cdt.ca.gov/security/technical-definitions/#P
phishing,11,secid:reference/incibe.es/glosario-terminos-ciberseguridad,INCIBE Glosario de terminos de ciberseguridad,Phishing,"Técnica o tipo de ataque en el que alguien suplanta a una entidad/servicio mediante un correo electrónico o mensaje instantáneo para conseguir las credenciales o información de la tarjeta de crédito de un usuario. Ese correo/mensaje suele tener un enlace (o fichero que contiene ese enlace) a un sitio web que suplanta al legítimo y que usan para engañarlo.

Sinónimo: Vishing, Smishing",https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_2021.pdf#section-2.16.9
phishing,11,secid:reference/texas.gov/cybersecurity-terminology,Texas DIR Cybersecurity Terminology,Phishing,A digital form of social engineering that uses authentic-looking—but bogus—emails to request information from users or direct them to a fake Web site that requests information.,https://dir.texas.gov/resource-library-item/cybersecurity-terminology#phishing
phishing,11,secid:reference/agid.gov.it/cert-agid-glossario,Glossario CERT-AGID,Phishing,"Che cos’è?
Il phishing è una frode informatica, realizzata attraverso l’invio di e-mail contraffatte, finalizzata all’acquisizione, per scopi illegali, di dati riservati oppure a far compiere alla vittima determinate operazioni/azioni. I malintenzionati che si avvalgono delle tecniche di phishing non utilizzano virus, spyware, malware o altre tipologie di software malevolo, ma si limitano, piuttosto, ad usare tecniche di social engineering, attraverso le quali vengono studiate ed analizzate le abitudini delle persone, cioè delle potenziali vittime, al fine di carpirne potenziali informazioni utili. Il phishing è quindi un tipico attacco di social engineering che sfrutta l’interazione umana e in cui è richiesta la partecipazione attiva della vittima.

Cos’è tecnicamente?
Chi vuole sferrare un attacco di phishing generalmente ricorre ad una metodologia standard che di solito si articola in diverse fasi.
La prima di queste, consiste nell’inviare alle potenziali vittime dei messaggi di posta elettronica contenenti delle informazioni il più possibile veritiere, familiari e/o allettanti. Il messaggio fraudolento, per essere il più credibile possible,  simula delle situazioni che in realtà possono verificarsi. A titolo di esempio un tipico messaggio di phishing potrebbe riguardare:
- la scadenza di una determinata password di un servizio on-line;
- l’accettazione dei cambiamenti delle condizioni contrattuali;
- il potenziale rinnovo della carta prepagata o della carta di credito;
- dei potenziali problemi inerenti accrediti, addebiti o trasferimenti di denaro su determinati conti online;
- la mancata, incompleta o errata presenza di informazioni, che magari riguardano determinati servizi bancari on-line;
- la presenza di offerte di lavoro particolarmente allettanti, che magari invitano ad inserire le coordinate bancarie per far sì di esser tra i primi a beneficiarne;
Una volta quindi catturata l’attenzione dell’ignaro utente, il messaggio fraudolento, contenente un apposito allegato o un semplice collegamento ipertestuale, permetterà di effettuare l’accesso al sito Internet in questione.  Il sito “ fake ” assomiglierà il più possibile a quello “ ufficiale” , con la speranza che il malcapitato utente inserisca username, password e/o altre potenziali informazioni utili.
Se a questo punto l’utente di turno “ abbocca all’amo ”, il phisher, potrà disporre e utilizzare a suo piacimento i dati ottenuti con tutte le spiacevoli conseguenze del caso.

Perché è rilevante?
Anche se sono passati più di 20 anni dalla prima campagna di phishing della storia, le mail fraudolente continuano a mietere vittime tra gli utenti più sprovveduti. Possiamo affermare quindi che il phishing è una minaccia attuale.

Come mi difendo?
La regola principale per difendersi è solo una: nessuno può tutelare le nostre informazioni meglio di noi stessi . Per questo è necessario gestire i propri dati con cura e diffonderli il meno possibile.
Di seguito si riportano alcuni semplici consigili per difendersi dal phishing:
- non condividere mai i propri dati sensibili con una terza parte. Le compagnie ufficiali non chiedono mai informazioni del genere via email.
- non aprire allegati del messaggio  se non si  è sicuri dell’identità del mittente.
- non cliccare su alcun link presente nel corpo del messaggio se non si  è sicuri dell’identità del mittente.
- se si ricevono mail che sembrano provenire dalla tua banca che ti chiedono di inserire  dati personali (login e password o numero di carta di credito) verifica sempre la veridicità della mail chiamando telefonicamente la banca.
- controllare che la connessione sia HTTPS e verificare che all’apertura della pagina, il dominio  sia effettivamente quello “ ufficiale “.
- installare nel computer un antivirus che protegga anche dal phishing e mantenerlo costantemente aggiornato.
- fidati dei filtri Antispam del tuo provider di posta. I messaggi che si trovano nella cartella di Spam sono al 90% mail spazzatura o tentativi di phishing.
- utilizzare password robuste e cambiarle con frequenza.
- NON utilizzare mai la stessa password per i vari servizi on-line.

Come si rimedia?
Ci siamo “ cascati “: abbiamo inserito i nostri dati su un sito “ fake “.  Come prima cosa va contattato l’amministratore/gestore del portale “ ufficiale ” del servizio on-line per avvertirlo di quanto accaduto, successivamente va effettuato un cambio password sul portale “ ufficiale ” ricordando di non utilizzare mai la stessa password per i vari servizi on-line.",https://cert-agid.gov.it/glossario/phishing/
phishing,11,secid:reference/cyber.gc.ca/glossary,Canadian Centre for Cyber Security Glossary,Phishing,"An attempt by a third party to solicit confidential information from an individual, group, or organization by mimicking or spoofing a specific, usually well-known brand, usually for financial gain. Phishers attempt to trick users into disclosing personal data, such as credit card numbers, online banking credentials, and other sensitive information, which they may then use to commit fraudulent acts.",https://www.cyber.gc.ca/en/glossary#phishing
phishing,11,secid:reference/cyber.gouv.fr/cyberdico,ANSSI CyberDico,Phishing,"Vol d’identités ou d’informations confidentielles (codes d’accès, coordonnées bancaires) par subterfuge : un système d’authentification est simulé par un utilisateur malveillant, qui essaie alors de convaincre des usagers de l’utiliser et de communiquer des informations confidentielles, comme s’il s’agissait d’un système légitime. Les sites sont reproduits, après avoir été aspirés. L’utilisateur est souvent invité à visiter le site frauduleux par un courrier électronique.",https://cyber.gouv.fr/glossaire#phishing
phishing,11,secid:reference/virginia.gov/cov-it-glossary,COV IT Glossary (Virginia),Phishing,"A form of criminal activity characterized by attempts to acquire sensitive information fraudulently, such as passwords and credit card details, by masquerading as a trustworthy person or business in an apparently official electronic communication.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/p/#1049745
authentication,10,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,authentication,"(I) The process of verifying a claim that a system entity or
system resource has a certain attribute value. (See: attribute,
authenticate, authentication exchange, authentication information,
credential, data origin authentication, peer entity
authentication, ""relationship between data integrity service and
authentication services"" under ""data integrity service"", simple
authentication, strong authentication, verification, X.509.)

Tutorial: Security services frequently depend on authentication of
the identity of users, but authentication may involve any type of
attribute that is recognized by a system. A claim may be made by a
subject about itself (e.g., at login, a user typically asserts its
identity) or a claim may be made on behalf of a subject or object
by some other system entity (e.g., a user may claim that a data
object originates from a specific source, or that a data object is
classified at a specific security level).

An authentication process consists of two basic steps:
-  Identification step: Presenting the claimed attribute value
   (e.g., a user identifier) to the authentication subsystem.
-  Verification step: Presenting or generating authentication
   information (e.g., a value signed with a private key) that acts
   as evidence to prove the binding between the attribute and that
   for which it is claimed. (See: verification.)",rfc4949-section-4-authentication
authentication,10,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),Authentication,"Authentication in cybersecurity is the critical process of verifying the identity of a user, device, or system before granting access to resources. It acts as the first line of defense against unauthorized access by requiring proof—such as passwords, biometric scans, or tokens—ensuring that only legitimate users enter",https://niccs.cisa.gov/resources/glossary#letter-a
authentication,10,secid:reference/wa.gov/data-breach-glossary,Washington State AG Data Breach Glossary,Authentication,"The process for an individual, application , or service to provide the credentials required to access digital systems.",https://www.atg.wa.gov/glossary-data-breach-terms#authentication
authentication,10,secid:reference/gov.uk/ncsc-glossary,NCSC UK Glossary,authentication,The process of determining if someone (or something) is who (or what) it claims to be.,https://www.ncsc.gov.uk/section/advice-guidance/glossary
authentication,10,secid:reference/ca.gov/sam-5300-definitions,California SAM 5300 Technical Definitions (CDT),Authentication,"Verifying the identity of a user, process, or device, as a prerequisite to allowing access to resources in an information system.",https://www.cdt.ca.gov/security/technical-definitions/#A
authentication,10,secid:reference/amazon.com/aws-glossary,AWS Glossary Reference,authentication,The process of proving your identity to a system.,https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#authentication
authentication,10,secid:reference/texas.gov/cybersecurity-terminology,Texas DIR Cybersecurity Terminology,Authentication,"Verifying the identity of a user, process, or device, often as a prerequisite to allowing access to resources in an information system.",https://dir.texas.gov/resource-library-item/cybersecurity-terminology#authentication
authentication,10,secid:reference/cyber.gc.ca/glossary,Canadian Centre for Cyber Security Glossary,Authentication,A process or measure used to verify a users identity.,https://www.cyber.gc.ca/en/glossary#authentication
authentication,10,secid:reference/ny.gov/its-glossary,NY State ITS Glossary,Authentication,The process of establishing confidence in the identity of users or information systems.,https://its.ny.gov/glossary#authentication
authentication,10,secid:reference/virginia.gov/cov-it-glossary,COV IT Glossary (Virginia),Authentication,"The process of verifying an identity of a user to determine the right to access specific types of data or IT systems. A security measure designed to protect a communications system against acceptance of fraudulent transmission or simulation by establishing the validity of a transmission, message, originator, or a means of verifying an individual's eligibility to receive specific categories of information. Sources: CNSSI 4009-2015 from CNSSI 4005 , NSA/CSS Manual Number 3-16 (COMSEC)",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1050013
vulnerability,10,secid:reference/canada.ca/enterprise-cyber-security-strategy-glossary,Government of Canada Enterprise Cyber Security Strategy — Glossary,vulnerability,"Weakness in an information system, system security procedures, internal controls, or implementation that could be exploited or triggered by a threat source.",app-b#vulnerability
vulnerability,10,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,vulnerability,"(I) A flaw or weakness in a system's design, implementation, or
operation and management that could be exploited to violate the
system's security policy. (See: harden.)

Tutorial: A system can have three types of vulnerabilities: (a)
vulnerabilities in design or specification; (b) vulnerabilities in
implementation; and (c) vulnerabilities in operation and
management. Most systems have one or more vulnerabilities, but

this does not mean that the systems are too flawed to use. Not
every threat results in an attack, and not every attack succeeds.
Success depends on the degree of vulnerability, the strength of
attacks, and the effectiveness of any countermeasures in use. If
the attacks needed to exploit a vulnerability are very difficult
to carry out, then the vulnerability may be tolerable. If the
perceived benefit to an attacker is small, then even an easily
exploited vulnerability may be tolerable. However, if the attacks
are well understood and easily made, and if the vulnerable system
is employed by a wide range of users, then it is likely that there
will be enough motivation for someone to launch an attack.",rfc4949-section-4-vulnerability
vulnerability,10,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),vulnerability,A characteristic or specific weakness that renders an organization or asset (such as information or an information system) open to exploitation by a given threat or susceptible to a given hazard.,https://niccs.cisa.gov/resources/glossary#letter-v
vulnerability,10,secid:reference/wa.gov/data-breach-glossary,Washington State AG Data Breach Glossary,Vulnerability,A weakness in a system or software that can be exploited by cyberattacks to gain unauthorized access to data or disrupt operations.,https://www.atg.wa.gov/glossary-data-breach-terms#vulnerability
vulnerability,10,secid:reference/wikimedia.org/security-team-definitions,Wikimedia Security Team Definitions,Vulnerability,A weakness in a system that can be exploited by a threat.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Vulnerability
vulnerability,10,secid:reference/wikimedia.org/security-team-definitions,Wikimedia Security Team Definitions,Vulnerability,A weakness or gap that can allow a threat to cause damage or loss.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Vulnerability
vulnerability,10,secid:reference/ca.gov/sam-5300-definitions,California SAM 5300 Technical Definitions (CDT),Vulnerability,"A weakness in an information system, system security procedures, internal controls, or implementation that could be exploited or triggered by a threat source.",https://www.cdt.ca.gov/security/technical-definitions/#V
vulnerability,10,secid:reference/texas.gov/cybersecurity-terminology,Texas DIR Cybersecurity Terminology,Vulnerability,"Weakness in an information system, system security procedures, internal controls, or implementation that could be exploited or triggered by a threat source.",https://dir.texas.gov/resource-library-item/cybersecurity-terminology#vulnerability
vulnerability,10,secid:reference/cyber.gc.ca/glossary,Canadian Centre for Cyber Security Glossary,Vulnerability,A flaw or weakness in the design or implementation of an information system or its environment that could be exploited to adversely affect an organization's assets or operations.,https://www.cyber.gc.ca/en/glossary#vulnerability
vulnerability,10,secid:reference/gitlab.com/security-glossary,GitLab Security Glossary,Vulnerability,"A flaw that has a negative impact on the security of its environment. Vulnerabilities describe the error or weakness, and don’t describe where the error is located (see finding ).

Each vulnerability maps to a unique finding.

Vulnerabilities exist in the default branch. Findings (see finding ) are all potential vulnerability items scanners identify in MRs/feature branches. Only after merging to default does a finding become a vulnerability.",https://docs.gitlab.com/user/application_security/terminology/#vulnerability
vulnerability,10,secid:reference/virginia.gov/cov-it-glossary,COV IT Glossary (Virginia),Vulnerability,"A condition or weakness in security procedures, technical controls, or operational processes that exposes the system to loss or harm.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/v/#1049613
firewall,8,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,firewall,"1. (I) An internetwork gateway that restricts data communication
traffic to and from one of the connected networks (the one said to
be ""inside"" the firewall) and thus protects that network's system
resources against threats from the other network (the one that is
said to be ""outside"" the firewall). (See: guard, security
gateway.)

2. (O) A device or system that controls the flow of traffic
between networks using differing security postures. [SP41]

Tutorial: A firewall typically protects a smaller, secure network
(such as a corporate LAN, or even just one host) from a larger
network (such as the Internet). The firewall is installed at the
point where the networks connect, and the firewall applies policy
rules to control traffic that flows in and out of the protected
network.

A firewall is not always a single computer. For example, a
firewall may consist of a pair of filtering routers and one or
more proxy servers running on one or more bastion hosts, all
connected to a small, dedicated LAN (see: buffer zone) between the
two routers. The external router blocks attacks that use IP to
break security (IP address spoofing, source routing, packet
fragments), while proxy servers block attacks that would exploit a
vulnerability in a higher-layer protocol or service. The internal
router blocks traffic from leaving the protected network except
through the proxy servers. The difficult part is defining criteria
by which packets are denied passage through the firewall, because
a firewall not only needs to keep unauthorized traffic (i.e.,
intruders) out, but usually also needs to let authorized traffic
pass both in and out.",rfc4949-section-4-firewall
firewall,8,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),firewall,A capability to limit network traffic between networks and/or information systems.,https://niccs.cisa.gov/resources/glossary#letter-f
firewall,8,secid:reference/wa.gov/data-breach-glossary,Washington State AG Data Breach Glossary,Firewall,A network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules.,https://www.atg.wa.gov/glossary-data-breach-terms#firewall
firewall,8,secid:reference/gov.uk/ncsc-glossary,NCSC UK Glossary,firewall,Hardware or software used to prevent unauthorised access to or from a network.,https://www.ncsc.gov.uk/section/advice-guidance/glossary
firewall,8,secid:reference/texas.gov/cybersecurity-terminology,Texas DIR Cybersecurity Terminology,Firewall,A hardware/software capability that limits access between networks and/or systems in accordance with a specific security policy.,https://dir.texas.gov/resource-library-item/cybersecurity-terminology#firewall
firewall,8,secid:reference/cyber.gc.ca/glossary,Canadian Centre for Cyber Security Glossary,Firewall,A security barrier placed between two networks that controls the amount and kinds of traffic that may pass between the two. This protects local system resources from being accessed from the outside.,https://www.cyber.gc.ca/en/glossary#firewall
firewall,8,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,firewall,"An inter-network connection device that restricts data communication traffic between two connected networks. A firewall may be either an application installed on a general-purpose computer or a dedicated platform (appliance), which forwards or rejects/drops packets on a network. Typically firewalls are used to define zone borders. Firewalls generally have rules restricting which ports are open.",https://csrc.nist.gov/glossary/term/firewall
firewall,8,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,firewall,A gateway that limits access between networks in accordance with local security policy.,https://csrc.nist.gov/glossary/term/firewall
firewall,8,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,firewall,Gateway that limits access between networks in accordance with local security policy.,https://csrc.nist.gov/glossary/term/firewall
firewall,8,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,firewall,An inter-network gateway that restricts data communication traffic to and from one of the connected networks (the one said to be “inside” the firewall) and thus protects that network’s system resources against threats from the other network (the one that is said to be “outside” the firewall).,https://csrc.nist.gov/glossary/term/firewall
firewall,8,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,firewall,A part of a computer system or network that is designed to block unauthorized access while permitting outward communication.,https://csrc.nist.gov/glossary/term/firewall
firewall,8,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,firewall,A device or program that controls the flow of network traffic between networks or hosts that employ differing security postures.,https://csrc.nist.gov/glossary/term/firewall
firewall,8,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,firewall,"A system designed to prevent unauthorized access to or from a private network. Firewalls can be implemented in both hardware and software, or a combination of both.",https://csrc.nist.gov/glossary/term/firewall
firewall,8,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,firewall,"A firewall is a device that has a network protection application installed to safeguard the network from intentional or unintentional intrusion. A firewall sits at the junction point or gateway between the two networks, usually a private network and a public network such as the Internet. The term “firewall” is derived from the process in which, by segmenting a network into different physical subnetworks, the firewalls limit damage that could spread from one subnet to another, acting in the same manner as fire doors or firewalls in automobiles.",https://csrc.nist.gov/glossary/term/firewall
firewall,8,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,firewall,A system designed to prevent unauthorized accesses to or from a private network. Often used to prevent Internet users from accessing private networks connected to the Internet.,https://csrc.nist.gov/glossary/term/firewall
firewall,8,secid:reference/virginia.gov/cov-it-glossary,COV IT Glossary (Virginia),Firewall,"A high performance serial bus (or IEEE 1394). FireWire is a 1995 Macintosh/IBM PC serial bus interface standard offering high-speed communications and isochronous real-time data services. 1394 can transfer data between a computer and its peripherals at 100, 200, or 400 Mbps, with a planned increase to 2 Gbps. Cable length is limited to 4.5 m but up to 16 cables can be daisy-chained yielding a total length of 72 m. It can daisy chain together up to 63 peripherals in a tree-like structure (as opposed to SCSI's linear structure). It allows peer-to-peer device communication, such as communication between a scanner and a printer, to take place without using system memory or the CPU. It is designed to support plug-and-play and hot swapping. Its six-wire cable is not only more convenient than SCSI cables but can also supply up to 60 watts of power, allowing low-consumption devices to operate without a separate power cord. Some expensive camcorders have included this bus since autumn 1995. It is expected to be used to carry SCSI, with possible application to home automation using repeaters. FOLDOC",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/f/#1049508
malware,8,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,malware,"(D) A contraction of ""malicious software"". (See: malicious logic.)

Deprecated Term: IDOCs SHOULD NOT use this term; it is not listed
in most dictionaries and could confuse international readers.",rfc4949-section-4-malware
malware,8,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),malware,Software that compromises the operation of a system by performing an unauthorized function or process.,https://niccs.cisa.gov/resources/glossary#letter-m
malware,8,secid:reference/gov.uk/ncsc-glossary,NCSC UK Glossary,malware,"Derived from 'malicious software', malware is any kind of software that can damage computer systems, networks or devices. Includes viruses, ransomware and trojans.",https://www.ncsc.gov.uk/section/advice-guidance/glossary
malware,8,secid:reference/incibe.es/glosario-terminos-ciberseguridad,INCIBE Glosario de terminos de ciberseguridad,Malware,"Es un tipo de software que tiene como objetivo dañar o infiltrarse sin el consentimiento de su propietario en un sistema de información. Palabra que nace de la unión de los términos en inglés de software malintencionado: malicious software.

Dentro de esta definición tiene cabida un amplio elenco de programas maliciosos: virus, gusanos, troyanos, backdoors, spyware, etc. La nota común a todos estos programas es su carácter dañino o lesivo.

Sinónimo: Software malicioso",https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_2021.pdf#section-2.13.2
