control_id,control_title,safeguard_id,safeguard_title,asset_type,security_function,ig1,ig2,ig3,description
7,Continuous Vulnerability Management,7.7,Remediate Detected Vulnerabilities,Applications,Respond,,x,x,"Remediate detected vulnerabilities in software through processes and tooling on a monthly, or more frequent, basis, based on the remediation process."
8,Audit Log Management,8.1,Establish and Maintain an Audit Log Management Process,Network,Protect,x,x,x,"Establish and maintain an audit log management process that defines the enterprise’s logging requirements. At a minimum, address the collection, review, and retention of audit logs for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
8,Audit Log Management,8.2,Collect Audit Logs,Network,Detect,x,x,x,"Collect audit logs. Ensure that logging, per the enterprise’s audit log management process, has been enabled across enterprise assets."
8,Audit Log Management,8.3,Ensure Adequate Audit Log Storage,Network,Protect,x,x,x,Ensure that logging destinations maintain adequate storage to comply with the enterprise’s audit log management process.
8,Audit Log Management,8.4,Standardize Time Synchronization,Network,Protect,,x,x,"Standardize time synchronization. Configure at least two synchronized time sources across enterprise assets, where supported."
8,Audit Log Management,8.5,Collect Detailed Audit Logs,Network,Detect,,x,x,"Configure detailed audit logging for enterprise assets containing sensitive data. Include event source, date, username, timestamp, source addresses, destination addresses, and other useful elements that could assist in a forensic investigation."
8,Audit Log Management,8.6,Collect DNS Query Audit Logs,Network,Detect,,x,x,"Collect DNS query audit logs on enterprise assets, where appropriate and supported."
8,Audit Log Management,8.7,Collect URL Request Audit Logs,Network,Detect,,x,x,"Collect URL request audit logs on enterprise assets, where appropriate and supported."
8,Audit Log Management,8.8,Collect Command-Line Audit Logs,Devices,Detect,,x,x,"Collect command-line audit logs. Example implementations include collecting audit logs from PowerShell®, BASH™, and remote administrative terminals."
8,Audit Log Management,8.9,Centralize Audit Logs,Network,Detect,,x,x,"Centralize, to the extent possible, audit log collection and retention across enterprise assets."
8,Audit Log Management,8.10,Retain Audit Logs,Network,Protect,,x,x,Retain audit logs across enterprise assets for a minimum of 90 days.
8,Audit Log Management,8.11,Conduct Audit Log Reviews,Network,Detect,,x,x,"Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat. Conduct reviews on a weekly, or more frequent, basis."
8,Audit Log Management,8.12,Collect Service Provider Logs,Data,Detect,,,x,"Collect service provider logs, where supported. Example implementations include collecting authentication and authorization events, data creation and disposal events, and user management events."
9,Email and Web Browser Protections,9.1,Ensure Use of Only Fully Supported Browsers and Email Clients,Applications,Protect,x,x,x,"Ensure only fully supported browsers and email clients are allowed to execute in the enterprise, only using the latest version of browsers and email clients provided through the vendor."
9,Email and Web Browser Protections,9.2,Use DNS Filtering Services,Network,Protect,x,x,x,Use DNS filtering services on all enterprise assets to block access to known malicious domains.
9,Email and Web Browser Protections,9.3,Maintain and Enforce Network-Based URL Filters,Network,Protect,,x,x,"Enforce and update network-based URL filters to limit an enterprise asset from connecting to potentially malicious or unapproved websites. Example implementations include category-based filtering, reputation-based filtering, or through the use of block lists. Enforce filters for all enterprise assets."
9,Email and Web Browser Protections,9.4,Restrict Unnecessary or Unauthorized Browser and Email Client Extensions,Applications,Protect,,x,x,"Restrict, either through uninstalling or disabling, any unauthorized or unnecessary browser or email client plugins, extensions, and add-on applications."
9,Email and Web Browser Protections,9.5,Implement DMARC,Network,Protect,,x,x,"To lower the chance of spoofed or modified emails from valid domains, implement DMARC policy and verification, starting with implementing the Sender Policy Framework (SPF) and the DomainKeys Identified Mail (DKIM) standards."
9,Email and Web Browser Protections,9.6,Block Unnecessary File Types,Network,Protect,,x,x,Block unnecessary file types attempting to enter the enterprise’s email gateway.
9,Email and Web Browser Protections,9.7,Deploy and Maintain Email Server Anti-Malware Protections,Network,Protect,,,x,"Deploy and maintain email server anti-malware protections, such as attachment scanning and/or sandboxing."
10,Malware Defenses,10.1,Deploy and Maintain Anti-Malware Software,Devices,Protect,x,x,x,Deploy and maintain anti-malware software on all enterprise assets.
10,Malware Defenses,10.2,Configure Automatic Anti-Malware Signature Updates,Devices,Protect,x,x,x,Configure automatic updates for anti-malware signature files on all enterprise assets.
10,Malware Defenses,10.3,Disable Autorun and Autoplay for Removable Media,Devices,Protect,x,x,x,Disable autorun and autoplay auto-execute functionality for removable media.
10,Malware Defenses,10.4,Configure Automatic Anti-Malware Scanning of Removable Media,Devices,Detect,,x,x,Configure anti-malware software to automatically scan removable media.
10,Malware Defenses,10.5,Enable Anti-Exploitation Features,Devices,Protect,,x,x,"Enable anti-exploitation features on enterprise assets and software, where possible, such as Microsoft® Data Execution Prevention (DEP), Windows® Defender Exploit Guard (WDEG), or Apple® System Integrity Protection (SIP) and Gatekeeper™."
10,Malware Defenses,10.6,Centrally Manage Anti-Malware Software,Devices,Protect,,x,x,Centrally manage anti-malware software.
10,Malware Defenses,10.7,Use Behavior-Based Anti-Malware Software,Devices,Detect,,x,x,Use behavior-based anti-malware software.
11,Data Recovery,11.1,Establish and Maintain a Data Recovery Process,Data,Recover,x,x,x,"Establish and maintain a data recovery process. In the process, address the scope of data recovery activities, recovery prioritization, and the security of backup data. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
11,Data Recovery,11.2,Perform Automated Backups,Data,Recover,x,x,x,"Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the sensitivity of the data."
11,Data Recovery,11.3,Protect Recovery Data,Data,Protect,x,x,x,"Protect recovery data with equivalent controls to the original data. Reference encryption or data separation, based on requirements."
11,Data Recovery,11.4,Establish and Maintain an Isolated Instance of Recovery Data,Data,Recover,x,x,x,"Establish and maintain an isolated instance of recovery data. Example implementations include, version controlling backup destinations through offline, cloud, or off-site systems or services."
11,Data Recovery,11.5,Test Data Recovery,Data,Recover,,x,x,"Test backup recovery quarterly, or more frequently, for a sampling of in-scope enterprise assets."
12,Network Infrastructure Management,12.1,Ensure Network Infrastructure is Up-to-Date,Network,Protect,x,x,x,"Ensure network infrastructure is kept up-to-date. Example implementations include running the latest stable release of software and/or using currently supported network-as-a-service (NaaS) offerings. Review software versions monthly, or more frequently, to verify software support."
12,Network Infrastructure Management,12.2,Establish and Maintain a Secure Network Architecture,Network,Protect,,x,x,"Establish and maintain a secure network architecture. A secure network architecture must address segmentation, least privilege, and availability, at a minimum."
12,Network Infrastructure Management,12.3,Securely Manage Network Infrastructure,Network,Protect,,x,x,"Securely manage network infrastructure. Example implementations include version-controlled-infrastructure-as-code, and the use of secure network protocols, such as SSH and HTTPS."
12,Network Infrastructure Management,12.4,Establish and Maintain Architecture Diagram(s),Network,Identify,,x,x,"Establish and maintain architecture diagram(s) and/or other network system documentation. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
12,Network Infrastructure Management,12.5,"Centralize Network Authentication, Authorization, and Auditing (AAA)",Network,Protect,,x,x,Centralize network AAA.
12,Network Infrastructure Management,12.6,Use of Secure Network Management and Communication Protocols,Network,Protect,,x,x,"Use secure network management and communication protocols (e.g., 802.1X, Wi-Fi Protected Access 2 (WPA2) Enterprise or greater)."
12,Network Infrastructure Management,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,Devices,Protect,,x,x,Require users to authenticate to enterprise-managed VPN and authentication services prior to accessing enterprise resources on end-user devices.
12,Network Infrastructure Management,12.8,Establish and Maintain Dedicated Computing Resources for All Administrative Work,Devices,Protect,,,x,"Establish and maintain dedicated computing resources, either physically or logically separated, for all administrative tasks or tasks requiring administrative access. The computing resources should be segmented from the enterprise's primary network and not be allowed internet access."
13,Network Monitoring and Defense,13.1,Centralize Security Event Alerting,Network,Detect,,x,x,"Centralize security event alerting across enterprise assets for log correlation and analysis. Best practice implementation requires the use of a SIEM, which includes vendor-defined event correlation alerts. A log analytics platform configured with security-relevant correlation alerts also satisfies this Safeguard."
13,Network Monitoring and Defense,13.2,Deploy a Host-Based Intrusion Detection Solution,Devices,Detect,,x,x,"Deploy a host-based intrusion detection solution on enterprise assets, where appropriate and/or supported."
13,Network Monitoring and Defense,13.3,Deploy a Network Intrusion Detection Solution,Network,Detect,,x,x,"Deploy a network intrusion detection solution on enterprise assets, where appropriate. Example implementations include the use of a Network Intrusion Detection System (NIDS) or equivalent cloud service provider (CSP) service."
13,Network Monitoring and Defense,13.4,Perform Traffic Filtering Between Network Segments,Network,Protect,,x,x,"Perform traffic filtering between network segments, where appropriate."
13,Network Monitoring and Defense,13.5,Manage Access Control for Remote Assets,Devices,Protect,,x,x,"Manage access control for assets remotely connecting to enterprise resources. Determine amount of access to enterprise resources based on: up-to-date anti-malware software installed, configuration compliance with the enterprise’s secure configuration process, and ensuring the operating system and applications are up-to-date."
13,Network Monitoring and Defense,13.6,Collect Network Traffic Flow Logs,Network,Detect,,x,x,Collect network traffic flow logs and/or network traffic to review and alert upon from network devices.
13,Network Monitoring and Defense,13.7,Deploy a Host-Based Intrusion Prevention Solution,Devices,Protect,,,x,"Deploy a host-based intrusion prevention solution on enterprise assets, where appropriate and/or supported. Example implementations include use of an Endpoint Detection and Response (EDR) client or host-based IPS agent."
13,Network Monitoring and Defense,13.8,Deploy a Network Intrusion Prevention Solution,Network,Protect,,,x,"Deploy a network intrusion prevention solution, where appropriate. Example implementations include the use of a Network Intrusion Prevention System (NIPS) or equivalent CSP service."
13,Network Monitoring and Defense,13.9,Deploy Port-Level Access Control,Devices,Protect,,,x,"Deploy port-level access control. Port-level access control utilizes 802.1x, or similar network access control protocols, such as certificates, and may incorporate user and/or device authentication."
13,Network Monitoring and Defense,13.10,Perform Application Layer Filtering,Network,Protect,,,x,"Perform application layer filtering. Example implementations include a filtering proxy, application layer firewall, or gateway."
13,Network Monitoring and Defense,13.11,Tune Security Event Alerting Thresholds,Network,Detect,,,x,"Tune security event alerting thresholds monthly, or more frequently."
14,Security Awareness and Skills Training,14.1,Establish and Maintain a Security Awareness Program,N/A,Protect,x,x,x,"Establish and maintain a security awareness program. The purpose of a security awareness program is to educate the enterprise’s workforce on how to interact with enterprise assets and data in a secure manner. Conduct training at hire and, at a minimum, annually. Review and update content annually, or when significant enterprise changes occur that could impact this Safeguard."
14,Security Awareness and Skills Training,14.2,Train Workforce Members to Recognize Social Engineering Attacks,N/A,Protect,x,x,x,"Train workforce members to recognize social engineering attacks, such as phishing, pre-texting, and tailgating."
14,Security Awareness and Skills Training,14.3,Train Workforce Members on Authentication Best Practices,N/A,Protect,x,x,x,"Train workforce members on authentication best practices. Example topics include MFA, password composition, and credential management."
14,Security Awareness and Skills Training,14.4,Train Workforce on Data Handling Best Practices,N/A,Protect,x,x,x,"Train workforce members on how to identify and properly store, transfer, archive, and destroy sensitive data. This also includes training workforce members on clear screen and desk best practices, such as locking their screen when they step away from their enterprise asset, erasing physical and virtual whiteboards at the end of meetings, and storing data and assets securely."
14,Security Awareness and Skills Training,14.5,Train Workforce Members on Causes of Unintentional Data Exposure,N/A,Protect,x,x,x,"Train workforce members to be aware of causes for unintentional data exposure. Example topics include mis-delivery of sensitive data, losing a portable end-user device, or publishing data to unintended audiences."
14,Security Awareness and Skills Training,14.6,Train Workforce Members on Recognizing and Reporting Security Incidents,N/A,Protect,x,x,x,Train workforce members to be able to recognize a potential incident and be able to report such an incident.
14,Security Awareness and Skills Training,14.7,Train Workforce on How to Identify and Report if Their Enterprise Assets are Missing Security Updates,N/A,Protect,x,x,x,Train workforce to understand how to verify and report out-of-date software patches or any failures in automated processes and tools. Part of this training should include notifying IT personnel of any failures in automated processes and tools.
14,Security Awareness and Skills Training,14.8,Train Workforce on the Dangers of Connecting to and Transmitting Enterprise Data Over Insecure Networks,N/A,Protect,x,x,x,"Train workforce members on the dangers of connecting to, and transmitting data over, insecure networks for enterprise activities. If the enterprise has remote workers, training must include guidance to ensure that all users securely configure their home network infrastructure."
14,Security Awareness and Skills Training,14.9,Conduct Role-Specific Security Awareness and Skills Training,N/A,Protect,,x,x,"Conduct role-specific security awareness and skills training. Example implementations include secure system administration courses for IT professionals, OWASP® Top 10 vulnerability awareness and prevention training for web application developers, and advanced social engineering awareness training for high-profile roles."
15,Service Provider Management,15.1,Establish and Maintain an Inventory of Service Providers,N/A,Identify,x,x,x,"Establish and maintain an inventory of service providers. The inventory is to list all known service providers, include classification(s), and designate an enterprise contact for each service provider. Review and update the inventory annually, or when significant enterprise changes occur that could impact this Safeguard."
15,Service Provider Management,15.2,Establish and Maintain a Service Provider Management Policy,N/A,Identify,,x,x,"Establish and maintain a service provider management policy. Ensure the policy addresses the classification, inventory, assessment, monitoring, and decommissioning of service providers. Review and update the policy annually, or when significant enterprise changes occur that could impact this Safeguard."
15,Service Provider Management,15.3,Classify Service Providers,N/A,Identify,,x,x,"Classify service providers. Classification consideration may include one or more characteristics, such as data sensitivity, data volume, availability requirements, applicable regulations, inherent risk, and mitigated risk. Update and review classifications annually, or when significant enterprise changes occur that could impact this Safeguard."
15,Service Provider Management,15.4,Ensure Service Provider Contracts Include Security Requirements,N/A,Protect,,x,x,"Ensure service provider contracts include security requirements. Example requirements may include minimum security program requirements, security incident and/or data breach notification and response, data encryption requirements, and data disposal commitments. These security requirements must be consistent with the enterprise’s service provider management policy. Review service provider contracts annually to ensure contracts are not missing security requirements."
15,Service Provider Management,15.5,Assess Service Providers,N/A,Identify,,,x,"Assess service providers consistent with the enterprise’s service provider management policy. Assessment scope may vary based on classification(s), and may include review of standardized assessment reports, such as Service Organization Control 2 (SOC 2) and Payment Card Industry (PCI) Attestation of Compliance (AoC), customized questionnaires, or other appropriately rigorous processes. Reassess service providers annually, at a minimum, or with new and renewed contracts."
15,Service Provider Management,15.6,Monitor Service Providers,Data,Detect,,,x,"Monitor service providers consistent with the enterprise’s service provider management policy. Monitoring may include periodic reassessment of service provider compliance, monitoring service provider release notes, and dark web monitoring."
15,Service Provider Management,15.7,Securely Decommission Service Providers,Data,Protect,,,x,"Securely decommission service providers. Example considerations include user and service account deactivation, termination of data flows, and secure disposal of enterprise data within service provider systems."
