"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"CA-6","Authorization","false","","LI-SaaS","LI-SaaS","a. Assign a senior official as the authorizing official for the system;

b. Assign a senior official as the authorizing official for common controls available for inheritance by organizational systems;

c. Ensure that the authorizing official for the system, before commencing operations:

        1. Accepts the use of common controls inherited by the system; and

        2. Authorizes the system to operate;

d. Ensure that the authorizing official for common controls authorizes the use of those controls for inheritance by organizational systems;

e. Update the authorizations [Assignment: organization-defined frequency].

**CA-6 (e) Additional FedRAMP Requirements and Guidance: **[in accordance with OMB A-130 requirements or when a significant change occurs]

__CA-6 (e) Additional FedRAMP Requirements and Guidance: __Significant change is defined in NIST Special Publication 800-37 Revision 2, Appendix F and according to FedRAMP Significant Change Policies and Procedures. The service provider describes the types of changes to the information system or the environment of operations that would impact the risk posture. The types of changes are approved and accepted by the JAB/AO.","in accordance with OMB A-130 requirements or when a significant change occurs"
"CA-7","Continuous Monitoring","false","","LI-SaaS","LI-SaaS","Develop a system-level continuous monitoring strategy and implement continuous monitoring in accordance with the organization-level continuous monitoring strategy that includes:

a. Establishing the following system-level metrics to be monitored: [Assignment: organization-defined system-level metrics];

b. Establishing [Assignment: organization-defined frequencies] for monitoring and [Assignment: organization-defined frequencies] for assessment of control effectiveness;

c. Ongoing control assessments in accordance with the continuous monitoring strategy;

d. Ongoing monitoring of system and organization-defined metrics in accordance with the continuous monitoring strategy;

e. Correlation and analysis of information generated by control assessments and monitoring;

f. Response actions to address results of the analysis of control assessment and monitoring information; and

g. Reporting the security and privacy status of the system to [Assignment: organization-defined personnel or roles] [Assignment: organization-defined frequency].

**CA-7 (g)-1 Additional FedRAMP Requirements and Guidance: **[to include JAB/AO]

__CA-7 Additional FedRAMP Requirements and Guidance: __Operating System, Database, Web Application, Container, and Service Configuration Scans: at least monthly. All scans performed by Independent Assessor: at least annually.

**CA-7 Requirement:** CSOs with more than one agency ATO must implement a collaborative Continuous Monitoring (ConMon) approach described in the FedRAMP Guide for Multi-Agency Continuous Monitoring. This requirement applies to CSOs authorized via the Agency path as each agency customer is responsible for performing ConMon oversight. It does not apply to CSOs authorized via the JAB path because the JAB performs ConMon oversight.

**CA-7 Guidance:** FedRAMP does not provide a template for the Continuous Monitoring Plan. CSPs should reference the FedRAMP Continuous Monitoring Strategy Guide when developing the Continuous Monitoring Plan.","to include JAB/AO"
"CA-7(4)","Risk Monitoring","true","CA-7","LI-SaaS","LI-SaaS","Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following:

    (a)   Effectiveness monitoring;

    (b)   Compliance monitoring; and

    (c)   Change monitoring.",""
"CA-8","Penetration Testing","false","","LI-SaaS","LI-SaaS","Conduct penetration testing [Assignment: organization-defined frequency] on [Assignment: organization-defined systems or system components].

**CA-8-1 Additional FedRAMP Requirements and Guidance: **[at least annually]

__CA-8 Additional FedRAMP Requirements and Guidance: __Scope can be limited to public facing applications in alignment with M-22-09. Reference the FedRAMP Penetration Test Guidance.","at least annually"
"CA-9","Internal System Connections (Conditional)","false","","LI-SaaS","LI-SaaS","a. Authorize internal connections of [Assignment: organization-defined system components or classes of components] to the system;

b. Document, for each internal connection, the interface characteristics, security and privacy requirements, and the nature of the information communicated;

c. Terminate internal system connections after [Assignment: organization-defined conditions]; and

d. Review [Assignment: organization-defined frequency] the continued need for each internal connection.",""
"CM-4","Impact Analysis","false","","LI-SaaS","LI-SaaS","Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.",""
"CM-5","Access Restrictions for Change","false","","LI-SaaS","LI-SaaS","Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",""
"CM-6","Configuration Settings","false","","LI-SaaS","LI-SaaS","a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations];

b. Implement the configuration settings;

c. Identify, document, and approve any deviations from established configuration settings for [Assignment: organization-defined system components] based on [Assignment: organization-defined operational requirements]; and

d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.

__CM-6 (a)-1 Additional FedRAMP Requirements and Guidance: __The service provider shall use the DoD STIGs or Center for Internet Security guidelines to establish configuration settings;

__CM-6 (a)-2 Additional FedRAMP Requirements and Guidance: __The service provider shall ensure that checklists for configuration settings are Security Content Automation Protocol (SCAP) validated or SCAP compatible (if validated checklists are not available).

**CM-6 Additional FedRAMP Requirements and Guidance: ** Compliance checks are used to evaluate configuration settings and provide general insight into the overall effectiveness of configuration management activities. CSPs and 3PAOs typically combine compliance check findings into a single CM-6 finding, which is acceptable. However, for initial assessments, annual assessments, and significant change requests, FedRAMP requires a clear understanding, on a per-control basis, where risks exist. Therefore, 3PAOs must also analyze compliance check findings as part of the controls assessment. Where a direct mapping exists, the 3PAO must document additional findings per control in the corresponding SAR Risk Exposure Table (RET), which are then documented in the CSP’s Plan of Action and Milestones (POA&M). This will likely result in the details of individual control findings overlapping with those in the combined CM-6 finding, which is acceptable.

During monthly continuous monitoring, new findings from CSP compliance checks may be combined into a single CM-6 POA&M item. CSPs are not required to map the findings to specific controls because controls are only assessed during initial assessments, annual assessments, and significant change requests.","Compliance checks are used to evaluate configuration settings and provide general insight into the overall effectiveness of configuration management activities. CSPs and 3PAOs typically combine compliance check findings into a single CM-6 finding, which is acceptable. However, for initial assessments, annual assessments, and significant change requests, FedRAMP requires a clear understanding, on a per-control basis, where risks exist. Therefore, 3PAOs must also analyze compliance check findings as part of the controls assessment. Where a direct mapping exists, the 3PAO must document additional findings per control in the corresponding SAR Risk Exposure Table (RET), which are then documented in the CSP’s Plan of Action and Milestones (POA&M). This will likely result in the details of individual control findings overlapping with those in the combined CM-6 finding, which is acceptable."
"CM-8","System Component Inventory","false","","LI-SaaS","LI-SaaS","a. Develop and document an inventory of system components that:

1. Accurately reflects the system;

2. Includes all components within the system;

3. Does not include duplicate accounting of components or components assigned to any other system;

4. Is at the level of granularity deemed necessary for tracking and reporting; and

5. Includes the following information to achieve system component accountability: [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and

b. Review and update the system component inventory [Assignment: organization-defined frequency].

**CM-8 (b) Additional FedRAMP Requirements and Guidance: **[at least monthly]

__CM-8 Additional FedRAMP Requirements and Guidance: __must be provided at least monthly or when there is a change.","at least monthly"
"CP-9","System Backup","false","","LI-SaaS","LI-SaaS","a. Conduct backups of user-level information contained in [Assignment: organization-defined system components]; [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives]

**CP-9 (a)-2 Additional FedRAMP Requirements and Guidance: **[daily incremental; weekly full]

__CP-9 (a) Additional FedRAMP Requirements and Guidance: __The service provider maintains at least three backup copies of user-level information (at least one of which is available online) or provides an equivalent alternative.

b. Conduct backups of system-level information contained in the system [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives];

**CP-9 (b) Additional FedRAMP Requirements and Guidance: **[daily incremental; weekly full]

__CP-9 (b) Additional FedRAMP Requirements and Guidance: __The service provider maintains at least three backup copies of system-level information (at least one of which is available online) or provides an equivalent alternative.

c. Conduct backups of system documentation, including security- and privacy-related documentation [Assignment: organization-defined frequency consistent with recovery time and recovery point objectives]; and

**CP-9 (c) Additional FedRAMP Requirements and Guidance: **[daily incremental; weekly full]

**CP-9 (c) Additional FedRAMP Requirements and Guidance**: The service provider maintains at least three backup copies of information system documentation including security information (at least one of which is available online) or provides an equivalent alternative.

d. Protect the confidentiality, integrity, and availability of backup information.

__CP-9 Requirement: __The service provider shall determine what elements of the cloud environment require the Information System Backup control. The service provider shall determine how Information System Backup is going to be verified and appropriate periodicity of the check.","daily incremental; weekly full
daily incremental; weekly full
daily incremental; weekly full
: The service provider maintains at least three backup copies of information system documentation including security information (at least one of which is available online) or provides an equivalent alternative."
"IA-2(1)","Multi-factor Authentication to Privileged Accounts","true","IA-2","LI-SaaS","LI-SaaS","Implement multi-factor authentication for access to privileged accounts.

- **IA-2 (1)** **Additional FedRAMP Requirements and Guidance:** According to SP 800-63-3, SP 800-63A (IAL), SP 800-63B (AAL), and SP 800-63C (FAL).
- **IA-2 (1)** **Additional FedRAMP Requirements and Guidance:** Multi-factor authentication must be phishing-resistant.
- **IA-2 (1)** **Additional FedRAMP Requirements and Guidance:** Multi-factor authentication to subsequent components in the same user domain is not required.",""
"IA-2(2)","Multi-factor Authentication to Non-privileged Accounts","true","IA-2","LI-SaaS","LI-SaaS","Implement multi-factor authentication for access to non-privileged accounts.

- **IA-2 (2)** **Additional FedRAMP Requirements and Guidance:** According to SP 800-63-3, SP 800-63A (IAL), SP 800-63B (AAL), and SP 800-63C (FAL).
- **IA-2 (2)** **Additional FedRAMP Requirements and Guidance:** Multi-factor authentication must be phishing-resistant.
- **IA-2 (2)** **Additional FedRAMP Requirements and Guidance:** Multi-factor authentication to subsequent components in the same user domain is not required.",""
"IA-2(8)","Access to Accounts — Replay Resistant","true","IA-2","LI-SaaS","LI-SaaS","Implement replay-resistant authentication mechanisms for access to [Assignment: privileged accounts; non-privileged accounts].",""
"IA-2(12)","Acceptance of PIV Credentials","true","IA-2","LI-SaaS","LI-SaaS","Accept and electronically verify Personal Identity Verification-compliant credentials.

- **IA-2 (12)** __Additional FedRAMP Requirements and Guidance: __Include Common Access Card (CAC), i.e., the DoD technical implementation of PIV/FIPS 201/HSPD-12.",""
"IA-6","Authentication Feedback","false","","LI-SaaS","LI-SaaS","Obscure feedback of authentication information during the authentication process to protect the information from possible exploitation and use by unauthorized individuals.",""
"IA-7","Cryptographic Module Authentication","false","","LI-SaaS","LI-SaaS","Implement mechanisms for authentication to a cryptographic module that meet the requirements of applicable laws, executive orders, directives, policies, regulations, standards, and guidelines for such authentication.",""
"IA-8(1)","Acceptance of PIV Credentials from Other Agencies (Conditional)","true","IA-8","LI-SaaS","LI-SaaS","Accept and electronically verify Personal Identity Verification-compliant credentials from other federal agencies.",""
"IA-8(2)","Acceptance of External Authenticators (Conditional)","true","IA-8","LI-SaaS","LI-SaaS","(a) Accept only external authenticators that are NIST-compliant; and

(b) Document and maintain a list of accepted external authenticators.",""
"IR-4","Incident Handling","false","","LI-SaaS","LI-SaaS","a. Implement an incident handling capability for incidents that is consistent with the incident response plan and includes preparation, detection and analysis, containment, eradication, and recovery;

b. Coordinate incident handling activities with contingency planning activities;

c. Incorporate lessons learned from ongoing incident handling activities into incident response procedures, training, and testing, and implement the resulting changes accordingly; and

d. Ensure the rigor, intensity, scope, and results of incident handling activities are comparable and predictable across the organization.

- IR-4 **Additional FedRAMP Requirements and Guidance:** The FISMA definition of “incident” shall be used: “An occurrence that actually or imminently jeopardizes, without lawful authority, the confidentiality, integrity, or availability of information or an information system; or constitutes a violation or imminent threat of violation of law, security policies, security procedures, or acceptable use policies.”
- IR-4 **Additional FedRAMP Requirements and Guidance:** The service provider ensures that individuals conducting incident handling meet personnel security requirements commensurate with the criticality/sensitivity of the information being processed, stored, and transmitted by the information system.",""
"IR-6","Incident Reporting","false","","LI-SaaS","LI-SaaS","a. Require personnel to report suspected incidents to the organizational incident response capability within [Assignment: organization-defined time period]; and

**IR-6 (a) Additional FedRAMP Requirements and Guidance: **[US-CERT incident reporting timelines as specified in NIST Special Publication 800-61 (as amended)]

b. Report incident information to [Assignment: organization-defined authorities].

**IR-6** **Additional FedRAMP Requirements and Guidance:** Reports security incident information according to FedRAMP Incident Communications Procedure.","US-CERT incident reporting timelines as specified in NIST Special Publication 800-61 (as amended)"
"MA-2","Controlled Maintenance (Conditional)","false","","LI-SaaS","LI-SaaS","a. Schedule, document, and review records of maintenance, repair, and replacement on system components in accordance with manufacturer or vendor specifications and/or organizational requirements;

b. Approve and monitor all maintenance activities, whether performed on site or remotely and whether the system or system components are serviced on site or removed to another location;

c. Require that [Assignment: organization-defined personnel or roles] explicitly approve the removal of the system or system components from organizational facilities for off-site maintenance, repair, or replacement;

d. Sanitize equipment to remove the following information from associated media prior to removal from organizational facilities for off-site maintenance, repair, or replacement: [Assignment: organization-defined information];

e. Check all potentially impacted controls to verify that the controls are still functioning properly following maintenance, repair, or replacement actions; and

f. Include the following information in organizational maintenance records: [Assignment: organization-defined information].",""
"MA-5","Maintenance Personnel (Conditional)","false","","LI-SaaS","LI-SaaS","a. Establish a process for maintenance personnel authorization and maintain a list of authorized maintenance organizations or personnel;

b. Verify that non-escorted personnel performing maintenance on the system possess the required access authorizations; and

c. Designate organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.",""
"MP-2","Media Access (Conditional)","false","","LI-SaaS","LI-SaaS","Restrict access to [Assignment: organization-defined types of digital and/or non-digital media] to [Assignment: organization-defined personnel or roles].",""
"MP-6","Media Sanitization (Conditional)","false","","LI-SaaS","LI-SaaS","a. Sanitize [Assignment: organization-defined system media] prior to disposal, release out of organizational control, or release for reuse using [Assignment: organization-defined sanitization techniques and procedures]; and

**MP-6 (a)-2 Additional FedRAMP Requirements and Guidance: **[techniques and procedures IAW NIST SP 800-88 Section 4: Reuse and Disposal of Storage Media and Hardware]

b. Employ sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information.","techniques and procedures IAW NIST SP 800-88 Section 4: Reuse and Disposal of Storage Media and Hardware"
"MP-7","Media Use (Conditional)","false","","LI-SaaS","LI-SaaS","a. [Assignment: Restrict; Prohibit] the use of [Assignment: Restrict; Prohibit] on [Assignment: Restrict; Prohibit] using [Assignment: organization-defined types of system media]; and

b. Prohibit the use of portable storage devices in organizational systems when such devices have no identifiable owner.",""
"PE-2","Physical Access Authorizations (Conditional)","false","","LI-SaaS","LI-SaaS","a. Develop, approve, and maintain a list of individuals with authorized access to the facility where the system resides;

b. Issue authorization credentials for facility access;

c. Review the access list detailing authorized facility access by individuals [Assignment: organization-defined frequency]; and

**PE-2 (c) Additional FedRAMP Requirements and Guidance: **[at least annually]

d. Remove individuals from the facility access list when access is no longer required.","at least annually"
"PE-3","Physical Access Control (Conditional)","false","","LI-SaaS","LI-SaaS","a. Enforce physical access authorizations at [Assignment: organization-defined entry and exit points to the facility where the system resides] by:

1. Verifying individual access authorizations before granting access to the facility; and

2. Controlling ingress and egress to the facility using [Assignment: guards];

**PE-3 (a)-2 Additional FedRAMP Requirements and Guidance: **[CSP defined physical access control systems/devices AND guards]

b. Maintain physical access audit logs for [Assignment: organization-defined entry or exit points];

c. Control access to areas within the facility designated as publicly accessible by implementing the following controls: [Assignment: organization-defined physical access controls];

d. Escort visitors and control visitor activity [Assignment: organization-defined circumstances requiring visitor escorts and control of visitor activity];

**PE-3 (d) Additional FedRAMP Requirements and Guidance: **[in all circumstances within restricted access area where the information system resides]

e. Secure keys, combinations, and other physical access devices;

f. Inventory [Assignment: organization-defined physical access devices] every [Assignment: organization-defined frequency]; and

**PE-3 (f)-2 Additional FedRAMP Requirements and Guidance: **[at least annually]

g. Change combinations and keys [Assignment: organization-defined frequency] and/or when keys are lost, combinations are compromised, or when individuals possessing the keys or combinations are transferred or terminated.

**PE-3 (g) Additional FedRAMP Requirements and Guidance: **[at least annually]","CSP defined physical access control systems/devices AND guards
in all circumstances within restricted access area where the information system resides
at least annually
at least annually"
"PE-6","Monitoring Physical Access (Conditional)","false","","LI-SaaS","LI-SaaS","a. Monitor physical access to the facility where the system resides to detect and respond to physical security incidents;

b. Review physical access logs [Assignment: organization-defined frequency] and upon occurrence of [Assignment: organization-defined events or potential indications of events]; and

**PE-6 (b) Additional FedRAMP Requirements and Guidance: **[at least monthly]

c. Coordinate results of reviews and investigations with the organizational incident response capability.","at least monthly"
"PE-8","Visitor Access Records (Conditional)","false","","LI-SaaS","LI-SaaS","a. Maintain visitor access records to the facility where the system resides for [Assignment: organization-defined time period];

**PE-8 (a) Additional FedRAMP Requirements and Guidance: **[for a minimum of one (1) year]

b. Review visitor access records [Assignment: organization-defined frequency]; and

**PE-8 (b) Additional FedRAMP Requirements and Guidance: **[at least monthly]

c. Report anomalies in visitor access records to [Assignment: organization-defined personnel].","for a minimum of one (1) year
at least monthly"
"PE-12","Emergency Lighting (Conditional)","false","","LI-SaaS","LI-SaaS","Employ and maintain automatic emergency lighting for the system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility.",""
"PE-13","Fire Protection (Conditional)","false","","LI-SaaS","LI-SaaS","Employ and maintain fire detection and suppression systems that are supported by an independent energy source.",""
"PE-14","Environmental Controls (Conditional)","false","","LI-SaaS","LI-SaaS","a. Maintain [Assignment: temperature; humidity; pressure; radiation] levels within the facility where the system resides at [Assignment: organization-defined acceptable levels]; and

**PE-14 (a) Additional FedRAMP Requirements and Guidance: **[consistent with American Society of Heating, Refrigerating and Air-conditioning Engineers (ASHRAE) document entitled Thermal Guidelines for Data Processing Environments]

**PE-14 (a)** **Additional FedRAMP Requirements and Guidance:** The service provider measures temperature at server inlets and humidity levels by dew point.

b. Monitor environmental control levels [Assignment: organization-defined frequency].

**PE-14 (b) Additional FedRAMP Requirements and Guidance: **[continuously]","consistent with American Society of Heating, Refrigerating and Air-conditioning Engineers (ASHRAE) document entitled Thermal Guidelines for Data Processing Environments
continuously"
"PE-15","Water Damage Protection (Conditional)","false","","LI-SaaS","LI-SaaS","Protect the system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel.",""
"PE-16","Delivery and Removal (Conditional)","false","","LI-SaaS","LI-SaaS","a. Authorize and control [Assignment: organization-defined types of system components] entering and exiting the facility; and

**PE-16 (a) Additional FedRAMP Requirements and Guidance: **[all information system components]

b. Maintain records of the system components.","all information system components"
"PL-2","System Security and Privacy Plans","false","","LI-SaaS","LI-SaaS","a. Develop security and privacy plans for the system that:

1. Are consistent with the organization’s enterprise architecture;

2. Explicitly define the constituent system components;

3. Describe the operational context of the system in terms of mission and business processes;

4. Identify the individuals that fulfill system roles and responsibilities;

5. Identify the information types processed, stored, and transmitted by the system;

6. Provide the security categorization of the system, including supporting rationale;

7. Describe any specific threats to the system that are of concern to the organization;

8. Provide the results of a privacy risk assessment for systems processing personally identifiable information;

9. Describe the operational environment for the system and any dependencies on or connections to other systems or system components;

10. Provide an overview of the security and privacy requirements for the system;

11. Identify any relevant control baselines or overlays, if applicable;

12. Describe the controls in place or planned for meeting the security and privacy requirements, including a rationale for any tailoring decisions;

13. Include risk determinations for security and privacy architecture and design decisions;

14. Include security- and privacy-related activities affecting the system that require planning and coordination with [Assignment: organization-defined individuals or groups]; and

15. Are reviewed and approved by the authorizing official or designated representative prior to plan implementation.

b. Distribute copies of the plans and communicate subsequent changes to the plans to [Assignment: organization-defined personnel or roles];

c. Review the plans [Assignment: organization-defined frequency];

**PL-2 (c) Additional FedRAMP Requirements and Guidance: **[at least annually]

d. Update the plans to address changes to the system and environment of operation or problems identified during plan implementation or control assessments; and

e. Protect the plans from unauthorized disclosure and modification.","at least annually"
"PL-8","Security and Privacy Architectures","false","","LI-SaaS","LI-SaaS","a. Develop security and privacy architectures for the system that:

1. Describe the requirements and approach to be taken for protecting the confidentiality, integrity, and availability of organizational information;

2. Describe the requirements and approach to be taken for processing personally identifiable information to minimize privacy risk to individuals;

3. Describe how the architectures are integrated into and support the enterprise architecture; and

4. Describe any assumptions about, and dependencies on, external systems and services;

b. Review and update the architectures [Assignment: organization-defined frequency] to reflect changes in the enterprise architecture; and

**PL-8 (b) Additional FedRAMP Requirements and Guidance: **[at least annually and when a significant change occurs]

__PL-8 (b) Additional FedRAMP Requirements and Guidance: __Significant change is defined in NIST Special Publication 800-37 Revision 2, Appendix F.

c. Reflect planned architecture changes in security and privacy plans, Concept of Operations (CONOPS), criticality analysis, organizational procedures, and procurements and acquisitions.","at least annually and when a significant change occurs"
"PS-3","Personnel Screening","false","","LI-SaaS","LI-SaaS","a. Screen individuals prior to authorizing access to the system; and

b. Rescreen individuals in accordance with [Assignment: organization-defined conditions requiring rescreening and, where rescreening is so indicated, the frequency of rescreening].

**PS-3 (b) Additional FedRAMP Requirements and Guidance: **[for national security clearances; a reinvestigation is required during the fifth (5th) year for top secret security clearance, the tenth (10th) year for secret security clearance, and fifteenth (15th) year for confidential security clearance.

For moderate risk law enforcement and high impact public trust level, a reinvestigation is required during the fifth (5th) year. There is no reinvestigation for other moderate risk positions or any low-risk positions]","[for national security clearances; a reinvestigation is required during the fifth (5th) year for top secret security clearance, the tenth (10th) year for secret security clearance, and fifteenth (15th) year for confidential security clearance."
"RA-2","Security Categorization","false","","LI-SaaS","LI-SaaS","a. Categorize the system and information it processes, stores, and transmits;

b. Document the security categorization results, including supporting rationale, in the security plan for the system; and

c. Verify that the authorizing official or authorizing official designated representative reviews and approves the security categorization decision.",""
