"requirement_id","top_level_requirement","section_id","requirement_text","testing_procedures","guidance"
"1.2.2","1","1.2","Secure and synchronize router configuration files.","1.2.2.a Examine router configuration files to verify they are secured from unauthorized access.","While the running (or active) router configuration files include the current, secure settings, the start"
"1.2.3","1","1.2","Install perimeter firewalls between all wireless networks and the cardholder data environment, and","1.2.3.a Examine firewall and router configurations to verify that there are perimeter firewalls installed between all wireless networks and the cardholder data environment.","The known (or unknown) implementation and exploitation of wireless technology within a network is a common path for malicious"
"1.3","1","1.3","Prohibit direct public access between the Internet and any system component in the cardholder data environment.","1.3 Examine firewall and router configurations—including but not limited to the choke router at the Internet, the DMZ router and firewall, the DMZ cardholder segment, the perimeter router, and the internal cardholder network segment—and perform the following to determine that there is no direct access between the
Internet and system components in the internal cardholder network segment:","While there may be legitimate reasons for untrusted connections to be permitted to DMZ systems (e.g., to allow public access to a web server), such connections should never be granted to systems in the internal network. A firewall's intent is to manage and control all connections between public systems and internal systems, especially those that store, process or transmit cardholder data. If direct access is allowed between public systems and the CDE, the protections offered by the firewall are bypassed, and system components storing cardholder data may be exposed to compromise."
"1.3.1","1","1.3","Implement a DMZ to limit

inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports.","Examine firewall and router configurations to verify that a
1.3.1
DMZ is implemented to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports.","The DMZ is that part of the network that manages connections between the Internet (or other untrusted networks), and services that an organization needs to have available to the public
(like a web server)."
"1.3.2","1","1.3","Limit inbound Internet traffic to IP

addresses within the DMZ.","Examine firewall and router configurations to verify that
1.3.2 inbound Internet traffic is limited to IP addresses within the
DMZ.","This functionality is intended to prevent malicious individuals from accessing the organization's internal network from the Internet, or from using services, protocols, or ports in an unauthorized manner."
"1.3.3","1","1.3","Implement anti-spoofing

measures to detect and block forged source IP addresses from entering the network.
(For example, block traffic originating from the Internet with an internal source address.)","Examine firewall and router configurations to verify that
1.3.3 anti-spoofing measures are implemented, for example internal addresses cannot pass from the Internet into the DMZ.","Normally a packet contains the IP address of the computer that originally sent it so other computers in the network know where the packet came from.
Malicious individuals will often try to spoof (or imitate) the sending IP address so that the target system believes the packet is from a trusted source."
"1.3.4","1","1.3","Do not allow unauthorized

outbound traffic from the cardholder data environment to the Internet.","Examine firewall and router configurations to verify that
1.3.4 outbound traffic from the cardholder data environment to the
Internet is explicitly authorized.","All traffic outbound from the cardholder data environment should be evaluated to ensure that it follows established, authorized rules. Connections should be inspected to restrict traffic to only authorized communications (for example by restricting source/destination addresses/ports, and/or blocking of content)."
"1.3.5","1","1.3","Permit only ""established"" connections into the network.","1.3.5
Examine firewall and router configurations to verify that the firewall permits only established connections into the internal network and denies any inbound connections not associated with a previously established session.","A firewall that maintains the ""state"" (or the status)
for each connection through the firewall knows whether an apparent response to a previous connection is actually a valid, authorized response
(since it retains each connection's status) or is malicious traffic trying to trick the firewall into allowing the connection."
"1.3.6","1","1.3","Place system components that

store cardholder data (such as a database) in an internal network zone, segregated from the DMZ and other untrusted networks.","Examine firewall and router configurations to verify that
1.3.6 system components that store cardholder data are on an internal network zone, segregated from the DMZ and other untrusted networks.","If cardholder data is located within the DMZ, it is easier for an external attacker to access this information, since there are fewer layers to penetrate.
Securing system components that store cardholder data in an internal network zone that is segregated from the DMZ and other untrusted networks by a firewall can prevent unauthorized network traffic from reaching the system component.
This requirement is not intended to apply to
Note:"
"1.3.7","1","1.3","Do not disclose private IP addresses and routing information to unauthorized parties.","1.3.7.a Examine firewall and router configurations to verify that methods are in place to prevent the disclosure of private IP addresses and routing information from internal networks to","Restricting the disclosure of internal or private IP addresses is essential to prevent a hacker
""learning"" the IP addresses of the internal"
"1.4","1","1.4","Install personal firewall software or equivalent functionality on any portable computing devices
(including company and/or employee-owned)
that connect to the Internet when outside the network
(for example, laptops used by employees), and which are also used to access the CDE. Firewall (or equivalent)
configurations include: • Specific configuration settings are defined. • Personal firewall
(or equivalent functionality)
is actively running. • Personal firewall
(or equivalent functionality)
is not alterable by users of the portable computing devices.","1.4.a Examine policies and configuration standards to verify: • Personal firewall software or equivalent functionality is required for all portable computing devices (including company and/or employee-owned)
that connect to the
Internet when outside the network
(for example, laptops used by employees), and which are also used to access the CDE. • Specific configuration settings are defined for personal firewall
(or equivalent functionality). • Personal firewall (or equivalent functionality) is configured to actively run. • Personal firewall (or equivalent functionality) is configured to not be alterable by users of the portable computing devices.
Inspect a sample of company and/or employee-owned
1.4.b devices to verify that: • Personal firewall (or equivalent functionality) is installed and configured per the organization's specific configuration settings. • Personal firewall (or equivalent functionality) is actively running.","Portable computing devices that are allowed to connect to the Internet from outside the corporate firewall are more vulnerable to Internet-based threats. Use of firewall functionality (e.g., personal firewall software or hardware)
helps to protect devices from Internet-based attacks, which could use the device to gain access the organization's systems and data once the device is re-connected to the network.
The specific firewall configuration settings are determined by the organization.
This requirement applies to employee
Note:
owned and company-owned portable computing devices. Systems that cannot be managed by corporate policy introduce weaknesses and provide opportunities that malicious individuals may exploit.
Allowing untrusted systems to connect to an organization's CDE could result in access being granted to attackers and other malicious users."
"1.5","1","1.5","Ensure that security policies and

operational procedures for managing firewalls are documented, in use, and known to all affected parties.","Examine documentation and interview personnel to verify
1.5 that security policies and operational procedures for managing firewalls are: • Documented, • In use, and • Known to all affected parties.","Personnel need to be aware of and following security policies and operational procedures to ensure firewalls and routers are continuously managed to prevent unauthorized access to the network."
"2.1","2","2.1","Always change vendor-supplied

defaults and remove or disable unnecessary default accounts before installing a system on the network.","Choose a sample of system components, and attempt
2.1.a to log on (with system administrator help) to the devices and applications using default vendor-supplied accounts and passwords, to verify that ALL default passwords (including","Malicious individuals (external and internal to an organization) often use vendor default settings, account names, and passwords to compromise operating system software, applications, and the systems on"
"2.1.1","2","2.1","For wireless environments connected to the cardholder data environment or transmitting cardholder data, change ALL wireless vendor defaults at installation, including but not limited to default wireless encryption keys, passwords, and SNMP community strings.
Examine vendor documentation and observe
2.1.1.e wireless configuration settings to verify other security related wireless vendor defaults were changed, if applicable.","Interview responsible personnel and examine
2.1.1.a supporting documentation to verify that: • Encryption keys were changed from default at installation • Encryption keys are changed anytime anyone with knowledge of the keys leaves the company or changes positions.
2.1.1.b
Interview personnel and examine policies and procedures to verify:","If wireless networks are not implemented with sufficient security configurations (including changing default settings), wireless sniffers can eavesdrop on the traffic, easily capture data and passwords, and easily enter and attack the network.
In addition, the key-exchange protocol for older versions of 802.11x encryption (Wired Equivalent
Privacy, or WEP) has been broken and can render the encryption useless. Firmware for devices should be updated to support more secure protocols."
"2.2","2","2.2","Develop configuration standards for all system components. Assure that these standards address all known security vulnerabilities and are consistent with industry-accepted system hardening standards.
Sources of industry-accepted system hardening standards may include, but are not limited to: • Center for Internet Security (CIS) • International Organization for
Standardization (ISO) • SysAdmin Audit Network Security
(SANS) Institute • National Institute of Standards
Technology (NIST).
2.2.b Examine policies and interview personnel to verify that system configuration standards are updated as new vulnerability issues are identified, as defined in Requirement
6.1.
2.2.c Examine policies and interview personnel to verify that system configuration standards are applied when new systems are configured and verified as being in place before a system is installed on the network.
2.2.d Verify that system configuration standards include the following procedures for all types of system components: • Changing of all vendor-supplied defaults and elimination","Examine the organization's system configuration
2.2.a standards for all types of system components and verify the system configuration standards are consistent with industry accepted hardening standards.
security experts, a number of security organizations have established system-hardening guidelines and recommendations, which advise how to correct these weaknesses.
Examples of sources for guidance on configuration standards include, but are not limited to: www.nist.gov, www.sans.org, and www.cisecurity.org, www.iso.org, and product vendors.
System configuration standards must be kept up to date to ensure that newly identified weaknesses are corrected prior to a system being installed on the network.","There are known weaknesses with many operating systems, databases, and enterprise applications, and there are also known ways to configure these systems to fix security vulnerabilities. To help those that are not"
"2.2.1","2","2.2","Implement only one primary

function per server to prevent functions that require different security levels from co-existing on the same server.","Select a sample of system components and
2.2.1.a inspect the system configurations to verify that only one primary function is implemented per server.","If server functions that need different security levels are located on the same server, the security level of the functions with higher security needs would be reduced due to the presence of the lower-security functions."
"2.2.2","2","2.2","Enable only necessary services, protocols, daemons, etc., as required for the function of the system.","2.2.2.a Select a sample of system components and inspect enabled system services, daemons, and protocols to verify that only necessary services or protocols are enabled.","As stated in Requirement 1.1.6, there are many protocols that a business may need (or have enabled by default) that are commonly used by malicious individuals to compromise a network. Including this"
"2.2.3","2","2.2","Implement additional security

features for any required services, protocols, or daemons that are considered to be insecure.","2.2.3 Inspect configuration settings to verify that security features are documented and implemented for all insecure services, daemons, or protocols.","Enabling security features before new servers are deployed will prevent servers being installed into the environment with insecure configurations."
"2.2.4","2","2.2","Configure system security parameters to prevent misuse.
Examine the system configuration standards to
2.2.4.b verify that common security parameter settings are included.
Select a sample of system components and
2.2.4.c inspect the common security parameters to verify that they are set appropriately and in accordance with the configuration standards.","2.2.4.a
Interview system administrators and/or security managers to verify that they have knowledge of common security parameter settings for system components.
each type of system in use.
In order for systems to be configured securely, personnel responsible for configuration and/or administering systems must be knowledgeable in the specific security parameters and settings that apply to the system.","System configuration standards and related processes should specifically address security settings and parameters that have known security implications for"
"2.2.5","2","2.2","Remove all unnecessary

functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers.
2.2.5.b. Examine the documentation and security parameters to verify enabled functions are documented and support secure configuration.
2.2.5.c. Examine the documentation and security parameters to verify that only documented functionality is present on the sampled system components.","Select a sample of system components and
2.2.5.a inspect the configurations to verify that all unnecessary functionality (for example, scripts, drivers, features, subsystems, file systems, etc.) is removed.","Unnecessary functions can provide additional opportunities for malicious individuals to gain access to a system. By removing unnecessary functionality, organizations can focus on securing the functions that are required and reduce the risk that unknown functions will be exploited.
Including this in server-hardening standards and processes addresses the specific security implications associated with unnecessary functions (for example, by removing/disabling FTP or the web server if the server will not be performing those functions)."
"2.3","2","2.3","Encrypt all non-console

administrative access using strong cryptography.
Observe an administrator log on to each system and
2.3.a examine system configurations to verify that a strong encryption method is invoked before the administrator's password is requested.
2.3.b
Review services and parameter files on systems to determine that Telnet and other insecure remote-login commands are not available for non-console access.","2.3 Select a sample of system components and verify that non-console administrative access is encrypted by performing the following:
passwords) can be revealed to an eavesdropper.
A malicious individual could use this information to access the network, become administrator, and steal data.
Clear-text protocols (such as
HTTP, telnet, etc.) do not encrypt traffic or logon details, making it easy for an eavesdropper to intercept this information.
(Continued on next page)","If non-console (including remote) administration does not use secure authentication and encrypted communications, sensitive administrative or operational level information (like administrator's IDs and"
"2.4","2","2.4","Maintain an inventory of system components that are in scope for PCI
DSS.","2.4.a Examine system inventory to verify that a list of hardware and software components is maintained and includes a description of function/use for each.","Maintaining a current list of all system components will enable an organization to accurately and efficiently define the scope of their environment for implementing
PCI DSS controls. Without an inventory, some system"
"2.5","2","2.5","Ensure that security policies and

operational procedures for managing vendor defaults and other security parameters are documented, in use, and known to all affected parties.","Examine documentation and interview personnel to
2.5 verify that security policies and operational procedures for managing vendor defaults and other security parameters are: • Documented, • In use, and • Known to all affected parties.","Personnel need to be aware of and following security policies and daily operational procedures to ensure vendor defaults and other security parameters are continuously managed to prevent insecure configurations."
"2.6","2","2.6","Shared hosting providers must protect each entity's hosted environment and cardholder data. These providers must meet specific requirements as detailed in Appendix A1: Additional PCI
DSS Requirements for Shared Hosting
Providers.","2.6
Perform testing procedures A1.1 through A1.4 detailed in Appendix A1: Additional PCI DSS Requirements for
Shared Hosting Providers for PCI DSS assessments of shared hosting providers, to verify that shared hosting providers protect their entities' (merchants and service providers) hosted environment and data.","This is intended for hosting providers that provide shared hosting environments for multiple clients on the same server. When all data is on the same server and under control of a single environment, often the settings on these shared servers are not manageable by individual clients. This allows clients to add insecure functions and scripts that impact the security of all other client environments; and thereby make it easy for a malicious individual to compromise one client's data and thereby gain access to all other clients' data. See
Appendix A1 for details of requirements."
"3.1","3","3.1","Keep cardholder data storage to a

minimum by implementing data retention and disposal policies, procedures and processes that include at least the following for all cardholder data (CHD)
storage: • Limiting data storage amount and retention time to that which is required for legal, regulatory, and/or business requirements • Specific retention requirements for cardholder data • Processes for secure deletion of data when no longer needed • A quarterly process for identifying and securely deleting stored cardholder data that exceeds defined retention.","Examine the data retention and disposal policies,
3.1.a procedures and processes to verify they include the following for all cardholder data (CHD)
storage: • Limiting data storage amount and retention time to that which is required for legal, regulatory, and/or business requirements. • Specific requirements for retention of cardholder data (for example, cardholder data needs to be held for X period for
Y business reasons). • Processes for secure deletion of cardholder data when no longer needed for legal, regulatory, or business reasons. • A quarterly process for identifying and securely deleting stored cardholder data that exceeds defined retention requirements.
Interview personnel to verify that:
3.1.b • All locations of stored cardholder data are included in the data retention and disposal processes. • Either a quarterly automatic or manual process is in place to identify and securely delete stored cardholder data. • The quarterly automatic or manual process is performed for","A formal data retention policy identifies what data needs to be retained, and where that data resides so it can be securely destroyed or deleted as soon as it is no longer needed.
The only cardholder data that may be stored after authorization is the primary account number or
PAN (rendered unreadable), expiration date, cardholder name, and service code.
Understanding where cardholder data is located is necessary so it can be properly retained or disposed of when no longer needed. In order to define appropriate retention requirements, an entity first needs to understand their own business needs as well as any legal or regulatory obligations that apply to their industry, and/or that apply to the type of data being retained."
"3.2","3","3.2","Do not store sensitive authentication data after authorization (even if encrypted).
If sensitive authentication data is received, render all data unrecoverable upon completion of the authorization process.","3.2.a
For issuers and/or companies that support issuing services and store sensitive authentication data, review policies and interview personnel to verify there is a documented business justification for the storage of sensitive authentication data.","Remember, if you don't need it, don't store it!
Sensitive authentication data consists of full track data, card validation code or value, and PIN data.
Storage of sensitive authentication data after authorization is prohibited! This data is very valuable to malicious individuals as it allows them to generate counterfeit payment cards and create"
"3.2.1","3","3.2","Sensitive authentication data includes the data as cited in the following Requirements
3.2.1 through 3.2.3:","For all other entities, if sensitive authentication data is
3.2.c received, review policies and procedures, and examine system configurations to verify the data is not retained after authorization.","perform, facilitate, or support issuing services to store sensitive authentication data ONLY IF they have a legitimate business need to store such data.
It should be noted that all PCI DSS requirements apply to issuers, and the only exception for issuers and issuer processors is that sensitive authentication data may be retained if there is a legitimate reason to do so. A legitimate reason is one that is necessary for the performance of the function being provided for the issuer and not one of convenience. Any such data must be stored securely and in accordance with all PCI DSS and specific payment brand requirements.
(Continued on next page)"
"3.2.3","3","3.2","Do not store the personal identification number (PIN) or the encrypted PIN block after authorization.","3.2.3 For a sample of system components, examine data sources, including but not limited to the following and verify that PINs and encrypted PIN blocks are not stored after authorization:","These values should be known only to the card owner or bank that issued the card. If this data is stolen, malicious individuals can execute fraudulent PIN-based debit transactions (for"
"3.3","3","3.3","Mask PAN when displayed (the first six and last four digits are the maximum
Examine displays of PAN (for example, on screen, on
3.3.c paper receipts) to verify that PANs are masked when displaying cardholder data, and that only those with a legitimate business need are able to see more than the first six/last four digits of the","3.3.a Examine written policies and procedures for masking the display of PANs to verify:
function needs access to the bank identification number
(BIN) for routing purposes, unmask only the BIN digits (traditionally the first six digits)
during that function.","The display of full PAN on items such as computer screens, payment card receipts, faxes,"
"3.4","3","3.4","Render PAN unreadable anywhere it is

stored (including on portable digital media, backup media, and in logs) by using any of the following approaches:","Examine documentation about the system used to protect
3.4.a the PAN, including the vendor, type of system/process, and the encryption algorithms (if applicable) to verify that the PAN is rendered unreadable using any of the following methods:","PANs stored in primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception or troubleshooting logs) must all be"
"3.4.1","3","3.4","If disk encryption is used (rather than file- or column-level database encryption), logical access must be managed separately and independently of native operating system authentication and access control mechanisms (for example, by not using local user account databases or general network login credentials). Decryption keys must not be associated with user accounts.","3.4.1.a If disk encryption is used, inspect the configuration and observe the authentication process to verify that logical access to encrypted file systems is implemented via a mechanism that is separate from the native operating system's authentication mechanism (for example, not using local user account databases or general network login credentials).
Observe processes and interview personnel to verify
3.4.1.b that cryptographic keys are stored securely (for example, stored on removable media that is adequately protected with","The intent of this requirement is to address the acceptability of disk-level encryption for rendering cardholder data unreadable. Disk-level encryption encrypts the entire disk/partition on a computer and automatically decrypts the information when an authorized user requests it. Many disk encryption solutions intercept operating system read/write operations and carry out the appropriate cryptographic transformations without any special action by the user other than"
"3.5","3","3.5","Document and implement procedures to protect keys used to secure stored cardholder data against disclosure and misuse:","3.5
Examine key-management policies and procedures to verify processes are specified to protect keys used for encryption of cardholder data against disclosure and misuse and include at least the following:","Cryptographic keys must be strongly protected because those who obtain access will be able to decrypt data. Key-encrypting keys, if used, must be at least as strong as the data-encrypting key in"
"3.5.1","3","3.5","Additional requirement for
Maintain a service providers only:
documented description of the cryptographic architecture that includes: • Details of all algorithms, protocols, and keys used for the protection of cardholder data, including key strength and expiry date • Description of the key usage for each key • Inventory of any HSMs and other
SCDs used for key management","Interview responsible personnel and review
3.5.1 documentation to verify that a document exists to describe the cryptographic architecture, including: • Details of all algorithms, protocols, and keys used for the protection of cardholder data, including key strength and expiry date • Description of the key usage for each key • Inventory of any HSMs and other SCDs used for key management","Note: This requirement applies only when the entity being assessed is a service provider.
Maintaining current documentation of the cryptographic architecture enables an entity to understand the algorithms, protocols, and cryptographic keys used to protect cardholder data, as well as the devices that generate, use and protect the keys.
This allows an entity to keep pace with evolving threats to their architecture, enabling them to plan for updates as the assurance levels provided by different algorithms/key strengths changes. Maintaining such documentation also allows an entity to detect lost or missing keys or key-management devices, and identify unauthorized additions to their cryptographic architecture."
"3.5.2","3","3.5","Restrict access to cryptographic

keys to the fewest number of custodians necessary.","Examine user access lists to verify that access to keys
3.5.2 is restricted to the fewest number of custodians necessary.","There should be very few who have access to cryptographic keys (reducing the potential for rending cardholder data visible by unauthorized parties), usually only those who have key custodian responsibilities."
"3.5.3","3","3.5","Store secret and private keys used to encrypt/decrypt cardholder data in one
(or more) of the following forms at all times:","3.5.3.a
Examine documented procedures to verify that cryptographic keys used to encrypt/decrypt cardholder data must only exist in one (or more) of the following forms at all times.","Cryptographic keys must be stored securely to prevent unauthorized or unnecessary access that could result in the exposure of cardholder data.
It is not intended that the key-encrypting keys be encrypted, however they are to be protected against disclosure and misuse as defined in
Requirement 3.5. If key-encrypting keys are used, storing the key-encrypting keys in physically and/or logically separate locations from the data encrypting keys reduces the risk of unauthorized access to both keys."
"3.5.4","3","3.5","Store cryptographic keys in the fewest possible locations.","3.5.4
Examine key storage locations and observe processes to verify that keys are stored in the fewest possible locations.","Storing cryptographic keys in the fewest locations helps an organization to keep track and monitor all key locations, and minimizes the potential for keys to be exposed to unauthorized parties."
"3.6","3","3.6","Fully document and implement all keymanagement processes and procedures for cryptographic keys used for encryption of cardholder data, including the following:

Note: Numerous industry standards for key management are available from various","3.6.a Additional testing procedure for service provider assessments only: If the service provider shares keys with their customers for transmission or storage of cardholder data, examine the documentation that the service provider provides to their customers to verify that it includes guidance on how to securely transmit, store, and update customers' keys, in accordance with Requirements 3.6.1 through 3.6.8 below.","The manner in which cryptographic keys are managed is a critical part of the continued security of the encryption solution. A good keymanagement process, whether it is manual or automated as part of the encryption product, is based on industry standards and addresses all key elements at 3.6.1 through 3.6.8."
"3.6.1","3","3.6","Generation of strong cryptographic keys","3.6.1.a
Verify that key-management procedures specify how to generate strong keys.","The encryption solution must generate strong keys, as defined in the
PCI DSS and PA-DSS"
"3.6.2","3","3.6","Secure cryptographic key distribution","3.6.2.a
Verify that key-management procedures specify how to securely distribute keys.","The encryption solution must distribute keys securely, meaning the keys are distributed only to"
"3.6.3","3","3.6","Secure cryptographic key storage
3.6.3.b
Observe the method for storing keys to verify that keys are stored securely.","3.6.3.a
Verify that key-management procedures specify how to securely store keys.
encrypting key. Storing keys without proper protection could provide access to attackers, resulting in the decryption and exposure of cardholder data.","The encryption solution must store keys securely, for example, by encrypting them with a key-"
"3.6.4","3","3.6","Cryptographic key changes for keys that have reached the end of their cryptoperiod (for example, after a defined period of time has passed and/or after a","3.6.4.a Verify that key-management procedures include a defined cryptoperiod for each key type in use and define a process for key changes at the end of the defined cryptoperiod(s).","A cryptoperiod is the time span during which a particular cryptographic key can be used for its defined purpose. Considerations for defining the cryptoperiod include, but are not limited to, the"
"3.6.5","3","3.6","Retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened (for example, departure of an employee with knowledge of a clear-text key component), or keys are suspected of being compromised.
Note:
If retired or replaced cryptographic keys need to be retained, these keys must","3.6.5.a Verify that key-management procedures specify processes for the following: • The retirement or replacement of keys when the integrity of the key has been weakened. • The replacement of known or suspected compromised keys. • Any keys retained after retiring or replacing are not used for encryption operations.
Interview personnel to verify the following processes
3.6.5.b","Keys that are no longer used or needed, or keys that are known or suspected to be compromised, should be revoked and/or destroyed to ensure that the keys can no longer be used. If such keys need to be kept (for example, to support archived, encrypted data)
they should be strongly protected.
The encryption solution should provide for and facilitate a process to replace keys that are due for replacement or that are known to be, or suspected of being, compromised."
"3.6.6","3","3.6","If manual clear-text cryptographic

key-management operations are used, these operations must be managed using split knowledge and dual control.
Note:
Examples of manual key management operations include, but are not limited to: key generation, transmission, loading, storage and destruction.
3.6.6 b Interview personnel and/or observe processes to verify that manual clear-text keys are managed with: • Split knowledge, AND • Dual control","3.6.6.a Verify that manual clear-text key-management procedures specify processes for the use of the following: • Split knowledge of keys, such that key components are under the control of at least two people who only have knowledge of their own key components;
AND • Dual control of keys, such that at least two people are required to perform any key-management operations and no one person has access to the authentication materials
(for example, passwords or keys) of another.
component, and the individual key components convey no knowledge of the original cryptographic key.
Dual control requires two or more people to perform a function, and no single person can access or use the authentication materials of another.","Split knowledge and dual control of keys are used to eliminate the possibility of one person having access to the whole key. This control is applicable for manual key-management operations, or where key management is not implemented by the encryption product.
Split knowledge is a method in which two or more people separately have key components, where each person knows only their own key"
"3.6.7","3","3.6","Prevention of unauthorized substitution of cryptographic keys.","3.6.7.a Verify that key-management procedures specify processes to prevent unauthorized substitution of keys.
3.6.7.b Interview personnel and/or observe processes to verify that unauthorized substitution of keys is prevented.","The encryption solution should not allow for or accept substitution of keys coming from unauthorized sources or unexpected processes."
"3.6.8","3","3.6","Requirement for cryptographic key custodians to formally acknowledge that they understand and accept their key custodian responsibilities.","3.6.8.a Verify that key-management procedures specify processes for key custodians to acknowledge (in writing or electronically) that they understand and accept their key custodian responsibilities.
3.6.8.b Observe documentation or other evidence showing","This process will help ensure individuals that act as key custodians commit to the key-custodian role and understand and accept the responsibilities."
"3.7","3","3.7","Ensure that security policies and

operational procedures for protecting stored","that key custodians have acknowledged (in writing or electronically) that they understand and accept their key custodian responsibilities.
Examine documentation and interview personnel to verify
3.7 that security policies and operational procedures for protecting","Personnel need to be aware of and following security policies and documented operational"
"4.1","4","4.1","Use strong cryptography and security protocols to safeguard sensitive cardholder data during transmission over open, public networks, including the following: • Only trusted keys and certificates are","Identify all locations where cardholder data is
4.1.a transmitted or received over open, public networks.
Examine documented standards and compare to system configurations to verify the use of security protocols and strong cryptography for all locations.","Sensitive information must be encrypted during transmission over public networks, because it is easy and common for a malicious individual to intercept and/or divert data while in transit.
Secure transmission of cardholder data requires"
"4.1.1","4","4.1","Ensure wireless networks transmitting cardholder data or connected to the cardholder data environment, use industry best practices to implement strong encryption for authentication and","Identify all wireless networks transmitting cardholder
4.1.1 data or connected to the cardholder data environment.
Examine documented standards and compare to system configuration settings to verify the following for all wireless networks identified:","Malicious users use free and widely available tools to eavesdrop on wireless communications.
Use of strong cryptography can help limit disclosure of sensitive information across wireless networks."
"4.2","4","4.2","Never send unprotected PANs by end

user messaging technologies (for example, e mail, instant messaging, SMS, chat, etc.).","If end-user messaging technologies are used to send
4.2.a cardholder data, observe processes for sending PAN and examine a sample of outbound transmissions as they occur to verify that PAN is rendered unreadable or secured with strong cryptography whenever it is sent via end-user messaging technologies.","E-mail, instant messaging, SMS, and chat can be easily intercepted by packet-sniffing during delivery across internal and public networks. Do not utilize these messaging tools to send PAN unless they are configured to provide strong encryption."
