Group,Group Title,Subgroup,Subgroup Title,ID,Title,Class,Modalverb,Handlungsworte,Statement,Guidance,Praezisierung,Ergebnis,Security Level,Effort Level,Tags,Target Objects,Documentation,Dependency
GCS,"Governance, Compliance & Scope",GCS.2,"Governance, Rollen & Policies festlegen",GCS.2.3,KI-Policy dokumentieren,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Prozess für KI-Policy für den internen Gebrauch unter Beachtung regulatorischer Vorgaben, bestehend aus einer dokumentierten Strategie für die Entwicklung und den Einsatz von KI inklusive KI-Zielen und Vorgaben zu deren Erreichung, einer Aufbau- und Ablauforganisation für Entwicklung und Betrieb von KI-Systemen, einem Rollen- und Rechtekonzept, Richtlinien zur zulässigen Nutzung von KI-Technologien in der Organisation für sämtliches Personal sowie einem Reviewzyklus zur regelmäßigen Überprüfung der Policy auf Aktualität, Angemessenheit und Wirksamkeit verankern.","Anbieter: Ziel ist es, einen verbindlichen internen Rahmen für Entwicklung, Bereitstellung und Nutzung von KI zu schaffen und dessen Wirksamkeit aktuell zu halten. Dazu können eine klare Zielsetzung samt Geltungsbereich, Aufbau- und Ablauforganisation sowie Rollen und Verantwortlichkeiten dokumentiert werden. Ein Rollen- und Rechtekonzept kann Zuständigkeiten für Entwicklung und Bereitstellung regeln; Richtlinien zur zulässigen Nutzung von KI-Technologien können für sämtliches Personal formuliert werden. Review-Kriterien können Eignung, Angemessenheit und Wirksamkeit abdecken; Auslöser sind z. B. neue Technologien, regulatorische Änderungen oder Vorfälle. Ergänzend dazu können Änderungen versioniert dokumentiert, kommuniziert und in angrenzende Managementsysteme eingebunden werden, z. B. für Qualität und Informationssicherheit.

Betreiber: Ziel ist es, dass der Einsatz von KI im eigenen Kontext steuerbar und regelkonform ausgestaltet wird. Dazu kann eine KI-Richtlinie an den Einsatzkontext angepasst und mit internen Vorgaben abgestimmt werden, z. B. Informationssicherheit und Datenschutz. Ein Rollen- und Rechtekonzept kann Zuständigkeiten für Betrieb, Überwachung und Nutzung regeln; Richtlinien zur zulässigen Nutzung können für sämtliches Personal formuliert und in betriebliche Verfahren wie Schulung, Vorfallbehandlung und Änderungsmanagement eingebunden werden. Periodische Reviews können Praxiserfahrungen, neue Risiken und geänderte Vorgaben berücksichtigen. Ergänzend dazu können Abweichungen dokumentiert und Begrenzungsmaßnahmen festgelegt werden; Kommunikation an betroffene Rollen ist empfehlenswert.","für den internen Gebrauch unter Beachtung regulatorischer Vorgaben, bestehend aus einer dokumentierten Strategie für die Entwicklung und den Einsatz von KI inklusive KI-Zielen und Vorgaben zu deren Erreichung, einer Aufbau- und Ablauforganisation für Entwicklung und Betrieb von KI-Systemen, einem Rollen- und Rechtekonzept, Richtlinien zur zulässigen Nutzung von KI-Technologien in der Organisation für sämtliches Personal sowie einem Reviewzyklus zur regelmäßigen Überprüfung der Policy auf Aktualität, Angemessenheit und Wirksamkeit",Prozess für KI-Policy,normal-SdT,3,Grundmodul; AIGOV; Anbieter; Betreiber,Richtlinien,KI-Policy,
GCS,"Governance, Compliance & Scope",GCS.2,"Governance, Rollen & Policies festlegen",GCS.2.4,KI-Regelungen in AGB/EULA dokumentieren,requirement,SOLLTE,dokumentieren,"Governance, Compliance & Scope fuer Richtlinien SOLLTE KI-spezifische Regelungen zu Nutzerrechten, -pflichten und -haftung in den allgemeinen Geschäftsbedingungen und Endnutzer-Lizenzvereinbarungen dokumentieren.","Anbieter: Zweck der Anforderung ist es, Rechtssicherheit zu schaffen und Erwartungen zwischen Anbieter und Nutzenden für KI-Funktionen klar zu adressieren. Dazu ist inhaltlich eine konsistente Abdeckung von Nutzereingaben, z.B. Prompts, Rechten und Eigentum an Ausgaben, Haftung, Compliance-Anforderungen sowie Grenzen der Nutzung der Ausgaben zweckmäßig. Der Schutz personenbezogener und sensibler Daten ist hervorzuheben; dies umfasst auch Transparenz zu Datenverarbeitung und -speicherung. Ergänzend dazu ist sprachliche Klarheit erstrebenswert; eine interne Qualitätssicherung und Prüfung auf regulatorische Anforderungen ist empfehlenswert.","zu Nutzerrechten, -pflichten und -haftung in den allgemeinen Geschäftsbedingungen und Endnutzer-Lizenzvereinbarungen",KI-spezifische Regelungen,normal-SdT,1,Grundmodul; Accountability; Anbieter,Richtlinien,Nutzungsbedingungen,
GCS,"Governance, Compliance & Scope",GCS.2,"Governance, Rollen & Policies festlegen",GCS.2.5,Nachweis der Vertrauenswürdigkeit der zugrundeliegenden Infrastruktur- und KI-System-Komponenten dokumentieren,requirement,SOLLTE,dokumentieren,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Nachweis der Vertrauenswürdigkeit der zugrundeliegenden Infrastruktur- und KI-System-Komponenten urch Bereitstellung eines anerkannten Compliance-Nachweises (C5-Testat), der mindestens einen Geltungsbereich, der die für das KI-System relevante Infrastruktur und Komponenten abdeckt, die Berücksichtigung der relevanten Risikodimensionen, einen Abdeckungszeitraum, der den vollständigen Bewertungszeitraum umfasst (alternativ ein Bridge Letter für die Lücke), die Durchführung durch qualifiziertes und unabhängiges Personal, eine klare Beschreibung der durchgeführten Testverfahren mit dem Nachweis, dass keine kritischen sicherheitsrelevanten Probleme oder Anomalien festgestellt wurden, die Bereitstellung vor dem maßgeblichen Stichtag sowie ein Änderungsmanagement, das Auswirkungen von Änderungen an Infrastruktur- bzw. KI-System-Komponenten bewertet und festgestellte Probleme zeitnah durch angemessene Minderungsmaßnahmen nachverfolgt, erfüllt dokumentieren.","Anbieter: Ziel ist es, dass die Vertrauenswürdigkeit der zugrundeliegenden Infrastruktur und Komponenten des KI-Systems durch einen anerkannten Compliance-Nachweis belegt wird, sodass die infrastrukturelle Eignung als Grundlage für den sicheren Betrieb des KI-Systems gegeben ist. Dazu kann ein anerkanntes Testat bzw. ein anerkannter Prüfbericht (C5) bereitgestellt werden, dessen Geltungsbereich die für das KI-System relevante Infrastruktur, Plattform- und Systemkomponenten abdeckt und die relevanten Risikodimensionen berücksichtigt. Der Abdeckungszeitraum kann den vollständigen Bewertungszeitraum umfassen; andernfalls ist ein Bridge Letter für die Lücke zweckmäßig. Die Prüfung kann durch qualifiziertes und unabhängiges Personal erfolgen; die durchgeführten Testverfahren können klar dokumentiert werden und belegen, dass keine kritischen sicherheitsrelevanten Probleme oder Anomalien festgestellt wurden. Ergänzend dazu kann der Nachweis rechtzeitig vor dem maßgeblichen Stichtag bereitgestellt werden; Auswirkungen von Änderungen an Infrastruktur- oder KI-System-Komponenten können bewertet und festgestellte Probleme zeitnah durch angemessene Minderungsmaßnahmen nachverfolgt werden.","urch Bereitstellung eines anerkannten Compliance-Nachweises (C5-Testat), der mindestens einen Geltungsbereich, der die für das KI-System relevante Infrastruktur und Komponenten abdeckt, die Berücksichtigung der relevanten Risikodimensionen, einen Abdeckungszeitraum, der den vollständigen Bewertungszeitraum umfasst (alternativ ein Bridge Letter für die Lücke), die Durchführung durch qualifiziertes und unabhängiges Personal, eine klare Beschreibung der durchgeführten Testverfahren mit dem Nachweis, dass keine kritischen sicherheitsrelevanten Probleme oder Anomalien festgestellt wurden, die Bereitstellung vor dem maßgeblichen Stichtag sowie ein Änderungsmanagement, das Auswirkungen von Änderungen an Infrastruktur- bzw. KI-System-Komponenten bewertet und festgestellte Probleme zeitnah durch angemessene Minderungsmaßnahmen nachverfolgt, erfüllt",Nachweis der Vertrauenswürdigkeit der zugrundeliegenden Infrastruktur- und KI-System-Komponenten,normal-SdT,3,Cloudmodul; Anbieter,Richtlinien,Cloud Policy,
GCS,"Governance, Compliance & Scope",GCS.3,Metriken & Messkonzept definieren,GCS.3.1,Qualitätsmanagementprozess verankern,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Qualitätsmanagementprozess bestehend aus der Bewertung des Bedarfs in der jeweiligen Qualitätsdimension, der Festlegung von Anforderungen, der Festlegung von Metriken inklusive Thresholds sowie Tests zur Bewertung der Anforderungserfüllung, der Verankerung eines Testplans unter repräsentativen Bedingungen des Anwendungsbereichs, der Ausführung der Tests, der Dokumentation der Ergebnisse einschließlich Abweichungen und KPIs, dem Ergreifen bedarfsgerechter Maßnahmen zur Anpassung, sowie der Überprüfung der Wirksamkeit der ergriffenen Maßnahmen verankern.","Anbieter: Ziel ist es, dass ein systematischer Qualitätsmanagementprozess über alle relevanten Qualitätsdimensionen hinweg etabliert wird, um die Güte des KI-Systems nachvollziehbar zu belegen und bei Änderungen sicher adressieren zu können. Dazu kann die Bewertung des Bedarfs in der jeweiligen Qualitätsdimension gehören; Anforderungen können risikobasiert festgelegt und mit geeigneten Metriken und Tests hinterlegt werden. Ein Testplan unter repräsentativen Bedingungen des Anwendungsbereichs kann verankert und ausgeführt werden; Ergebnisse einschließlich Abweichungen und KPIs können dokumentiert werden. Ergänzend dazu kann die Wirksamkeit ergriffener Maßnahmen überprüft und bei Bedarf nachgesteuert werden; die Dokumentation kann Nachvollziehbarkeit für nachgelagerte Akteure sicherstellen.

Betreiber: Ziel ist es, dass die Qualität des KI-Systems im Einsatzkontext systematisch überwacht und aufrechterhalten wird. Dazu können die vom Anbieter dokumentierten Anforderungen, Metriken und Tests auf den konkreten Einsatzkontext übertragen und bei Bedarf ergänzt werden; ein betrieblicher Testplan kann unter repräsentativen Einsatzbedingungen verankert und regelmäßig ausgeführt werden. Ergebnisse einschließlich Abweichungen und KPIs können dokumentiert und bewertet werden. Ergänzend dazu kann die Wirksamkeit betrieblicher Maßnahmen überprüft, bei Kontextänderungen nachgesteuert und relevante Erkenntnisse an den Anbieter zurückgemeldet werden.","bestehend aus der Bewertung des Bedarfs in der jeweiligen Qualitätsdimension, der Festlegung von Anforderungen, der Festlegung von Metriken inklusive Thresholds sowie Tests zur Bewertung der Anforderungserfüllung, der Verankerung eines Testplans unter repräsentativen Bedingungen des Anwendungsbereichs, der Ausführung der Tests, der Dokumentation der Ergebnisse einschließlich Abweichungen und KPIs, dem Ergreifen bedarfsgerechter Maßnahmen zur Anpassung, sowie der Überprüfung der Wirksamkeit der ergriffenen Maßnahmen",Qualitätsmanagementprozess,normal-SdT,3,Grundmodul; AIGOV; Anbieter; Betreiber,Richtlinien,Testplan KI-System,
GCS,"Governance, Compliance & Scope",GCS.3,Metriken & Messkonzept definieren,GCS.3.2,Qualitätsmanagementprozess für Transparenz,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Anwendungen SOLLTE Qualitätsmanagementprozess für Transparenz verankern.","Anbieter: Ziel ist es, den erforderlichen Grad an Transparenz fundiert festzulegen und nachvollziehbar zu dokumentieren, sodass Nutzende und betroffene Personen über Einsatz, Fähigkeiten und Grenzen des KI-Systems angemessen informiert werden. Dazu kann festgelegt werden, welche Informationen offengelegt werden – z. B. die Tatsache, dass es sich um ein KI-System handelt, der Verwendungszweck, die Systemfähigkeiten und -grenzen sowie der Umgang mit den Ausgaben. Rechtliche Transparenz- und Kennzeichnungspflichten können eingeordnet und Ergebnisse der Risikoanalyse einbezogen werden; Adressatengruppen und das jeweils angemessene Informationsniveau können bestimmt werden. Ergänzend dazu können Form, Zeitpunkt und Kanal der Transparenzinformationen sowie die Einbindung von Fachexperten und die Dokumentation der Festlegungen beschrieben werden.

Betreiber: Ziel ist es, dass die vom Anbieter bereitgestellten Transparenzinformationen im Einsatzkontext wirksam an Nutzende und betroffene Personen vermittelt werden. Dazu können Kennzeichnungs- und Informationspflichten im konkreten Anwendungsfall umgesetzt und in Benutzerführung, Schulungen und Kommunikationswege überführt werden; einsatzspezifische Transparenzbedarfe können ergänzt werden. Ergänzend dazu ist die Abbildung auf eigene regulatorische Pflichten zweckmäßig; die Bereitstellung der Informationen kann nachvollziehbar dokumentiert werden.",für Transparenz,Qualitätsmanagementprozess,normal-SdT,2,Grundmodul; Transparency; Anbieter; Betreiber,Anwendungen,Erklärbarkeitskonzept,019ebad9-7d08-7ebd-b4a8-6fd376004566
GCS,"Governance, Compliance & Scope",GCS.3,Metriken & Messkonzept definieren,GCS.3.3,Qualitätsmanagementprozess für Robustness,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Anwendungen SOLLTE Qualitätsmanagementprozess für Robustness verankern.","Anbieter: Ziel ist es, dass die Robustness des KI-Systems fundiert und einsatzbezogen nachgewiesen werden kann, sodass Performancegrenzen, Unsicherheiten und Fehlfunktionen frühzeitig erkannt und adressiert werden können. Dazu kann eine an Anwendungsbereich und Nutzen ausgerichtete Auswahl unterschiedlicher Metrik- und Testkategorien gehören; statistische Auswertungen der Robustness mit Identifikation von Edge-Cases sowie Experimente unter Extrembedingungen können durchgeführt werden. Methoden zur Unsicherheitsbestimmung einschließlich Kalibrierungsmetriken können je nach Modelltyp eingesetzt oder durch probabilistische Architekturen unterstützt werden; Mechanismen zur Detektion fehlerhafter Eingaben können vorgesehen werden. Methoden können pro Modell und, bei aggregiertem Output, zusätzlich auf Systemebene definiert werden. Ergänzend dazu können Schwellenwerte einsatzszenario-gestuft festgelegt und anhand Zweck, Modelltyp und Systemzuschnitt begründet dokumentiert werden.

Betreiber: Ziel ist es, dass die Robustness des KI-Systems im Einsatzkontext kontinuierlich überwacht und aufrechterhalten wird. Dazu können die vom Anbieter definierten Robustnessmetriken und Schwellenwerte operativ angewendet und überwacht werden; Edge-Cases und Extrembedingungen im konkreten Einsatz können identifiziert und in betriebliche Tests einbezogen werden. Mechanismen zur Detektion fehlerhafter Eingaben können aktiviert und überwacht werden; Abweichungen von definierten Toleranzintervallen können dokumentiert und eskaliert werden. Ergänzend dazu können Erkenntnisse zu Robusnesseinbußen, neuen Edge-Cases oder veränderten Einsatzbedingungen regelmäßig ausgewertet und an den Anbieter zurückgemeldet werden; eine Anpassung betrieblicher Schwellenwerte kann in Abstimmung mit dem Anbieter erfolgen.",für Robustness,Qualitätsmanagementprozess,normal-SdT,2,Grundmodul; Robustness; Anbieter; Betreiber,Anwendungen,Testplan KI-System,019ebad9-7d08-7ebd-b4a8-6fd376004566
GCS,"Governance, Compliance & Scope",GCS.3,Metriken & Messkonzept definieren,GCS.3.4,Qualitätsmanagementprozess für Performance,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Anwendungen SOLLTE Qualitätsmanagementprozess für Performance verankern.","Anbieter: Ziel ist es, dass ein belastbarer, kontextbezogener Testplan für Performancefähigkeit etabliert wird, sodass die Systemgüte nachvollziehbar belegt und bei Änderungen sicher adressiert werden kann. Dazu kann die Festlegung von Testobjekten gehören; definierte Testmethoden können die vorgesehenen Metriken abdecken, bei Bedarf durch fortgeschrittene Verfahren ergänzt und in ihren Eigenschaften dokumentiert werden. Testdaten und -parameter können beschrieben sowie eine produktionsnahe Testumgebung und Testfrequenzen festgelegt werden; dies umfasst auch Pläne für die Betriebsphase. Ressourcenerfordernisse und Zuständigkeiten können benannt werden. Der Plan kann am Anwendungskontext ausgerichtet und die Abdeckung relevanter Szenarien begründet werden.

Betreiber: Ziel ist es, dass der Testplan im Betrieb wirksam umgesetzt wird, damit Performancefähigkeit unter realitätsnahen Bedingungen abgesichert bleiben. Dazu kann die Planung und Durchführung regelmäßiger Tests gehören, mit besonderem Fokus nach Systemanpassungen oder veränderten Betriebsdaten. Produktionsnahe Testumgebungen können genutzt werden; definierte Metriken und Methoden können operativ angewendet und Ergebnisse dokumentiert werden. Ausreichende Ressourcen und eine verantwortliche Person können benannt werden. Ergänzend dazu können Testdatenquellen und -parameter beschrieben und aktuell gehalten werden; die Abdeckung relevanter Betriebsszenarien kann fortlaufend überprüft und der Testplan bei Kontextänderungen aktualisiert werden.",für Performance,Qualitätsmanagementprozess,normal-SdT,2,Grundmodul; Performance; Anbieter; Betreiber,Anwendungen,Testplan KI-System,019ebad9-7d08-7ebd-b4a8-6fd376004566
GCS,"Governance, Compliance & Scope",GCS.3,Metriken & Messkonzept definieren,GCS.3.5,Qualitätsmanagementprozess für Bias,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Qualitätsmanagementprozess für die Vermeidung von ungerechtfertigtem Bias verankern.","Anbieter: Ziel ist es, risikobasierte und auf den Einsatzzweck abgestimmte Messgrößen für Bias festzulegen und nachvollziehbar zu begründen. Dazu kann die Auswahl die Risikobewertung heranziehen und die passende Bias-Definition bestimmen, Kombinationen sind oft zweckmäßig. Toleranzintervalle können risikoorientiert kalibriert und begründet werden. Ergänzend dazu können Auswahl, Intervalle und Gründe dokumentiert werden; Konsistenz ist erstrebenswert, Annahmen und Zielkonflikte können transparent erläutert werden. Weiterführende Informationen zu Bias in dem Kontext des Kataloges können Veröffentlichungen des BSI, bspw. Bias in der künstlichen Intelligenz, entnommen werden.

Betreiber: Ziel ist es, dass die vom Anbieter festgelegten Bias-Messgrößen im Einsatzkontext angewendet und auf Angemessenheit geprüft werden. Dazu können die definierten Metriken und Toleranzintervalle operativ überwacht und Ergebnisse gegen die dokumentierten Schwellwerte geprüft werden; kontextspezifische Biasrisiken können zusätzlich identifiziert und bewertet werden. Ergänzend dazu können Abweichungen dokumentiert und bei systematischen Auffälligkeiten Gegenmaßnahmen eingeleitet oder an den Anbieter eskaliert werden; Erkenntnisse zur Angemessenheit der gewählten Bias-Definitionen im konkreten Einsatz können zurückgemeldet werden. Weiterführende Informationen zu Bias in dem Kontext des Kataloges können Veröffentlichungen des BSI, bspw. Bias in der künstlichen Intelligenz, entnommen werden.",für die Vermeidung von ungerechtfertigtem Bias,Qualitätsmanagementprozess,normal-SdT,2,Grundmodul; Bias; DATA; Anbieter; Betreiber,Richtlinien,Bias-Konzept,019ebad9-7d08-7ebd-b4a8-6fd376004566
GCS,"Governance, Compliance & Scope",GCS.3,Metriken & Messkonzept definieren,GCS.3.6,Qualitätsmanagementprozess für Erklärbarkeit,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Anwendungen SOLLTE Qualitätsmanagementprozess für Erklärbarkeit verankern.","Anbieter: Ziel ist es, den Bedarf an Erklärbarkeit des Systems zu bewerten und zu dokumentieren, sodass verschiedene Stakeholder anhand bereitgestellter Erklärungen Modellentscheidungen- und verhalten nachvollziehen können. Dazu kann die Bewertung Systemzweck und betroffene Stakeholder einbeziehen; potenzielle Schäden, Nutzerbedarfe für menschliche Entscheidungen und den Umgang mit Ausreißern berücksichtigen; rechtliche und regulatorische Pflichten einordnen; die Abwägung zwischen Erklärbarkeit und Performancefähigkeit transparent machen sowie begründetes Nutzerinteresse würdigen. Ergänzend dazu können Kriterien, Zielniveau, Methodenwahl (z. B. nachträgliche Erklärungen (global/lokal)), Grenzen sowie Berichts- und Kommunikationsansatz dokumentiert werden.

Betreiber: Ziel ist es, dass die im Einsatzkontext erforderliche Erklärbarkeit zweckmäßig bestimmt und für Betroffene nutzbar bereitsteht. Dazu kann die Anbieterbewertung übernommen und für den konkreten Anwendungsfall präzisiert werden; Informationsbedarfe der Nutzenden und Voraussetzungen menschlicher Entscheidungen können adressiert werden. Verfahren zum Umgang mit Ausreißern sowie Melde- und Auskunftspflichten gegenüber Interessierten und Aufsichtsstellen können eingeplant werden. Ergänzend dazu können Entscheidung und Grad der Erklärbarkeit, bereitgestellte Nutzerinformationen sowie die zugrunde liegenden Annahmen und Grenzen der Erklärungsmethoden dokumentiert werden.",für Erklärbarkeit,Qualitätsmanagementprozess,normal-SdT,2,Grundmodul; Transparency; Anbieter; Betreiber,Anwendungen,Erklärbarkeitskonzept,019ebad9-7d08-7ebd-b4a8-6fd376004566
GCS,"Governance, Compliance & Scope",GCS.4,Privacy Governance & Data Protection,GCS.4.1,Betroffenen- und Nutzerrechtwahrnehmungsprozess verankern,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Nutzende SOLLTE Betroffenen- und Nutzerrechtwahrnehmungsprozess zu personenbezogenen Daten im Betrieb des KI-Systems (einschließlich Rechte zu Datenverwaltung, -löschung, -benutzung und Informationspflichten) unter Beachtung rechtlicher Vorgaben verankern.","Anbieter: Zweck der Anforderung ist es, dass der Anbieter die Ausübung von Betroffenen- und Nutzerrechten technisch und nutzerzentriert ermöglicht, sodass Transparenz, Nachvollziehbarkeit und rechtssichere Prozesse von Anfang an gewährleistet sind. Dazu kann die Bereitstellung klarer, verständlicher Erklärungen zur Datenverarbeitung, den Rechten und Zuständigkeiten in der Oberfläche gehören; Logging für Verarbeitungstätigkeiten und Rechteausübung kann vorgesehen werden. Funktionen und Schnittstellen für Auskunft, Berichtigung, Löschung, Datenübertragbarkeit, Widerspruch und Widerruf können implementiert werden; Mechanismen zur automatischen Löschung nach Speicherfristen und auf Anfrage können integriert werden. Ergänzend dazu kann Systemunterstützung für Einholung und Verwaltung expliziter Einwilligungen sowie für die zeitnahe Information über Änderungen bereitgestellt werden.

Betreiber: Zweck der Anforderung ist es, dass der Betreiber als datenschutzrechtlich Verantwortlicher die vom Anbieter bereitgestellten Mechanismen operativ einsetzt und gegenüber Betroffenen rechtssicher handelt. Dazu können klare Zuständigkeiten und Prozesse für die Entgegennahme, Identitätsprüfung und fristgerechte Bearbeitung von Betroffenenanfragen definiert werden; die vom Anbieter bereitgestellten Schnittstellen für Auskunft, Löschung, Berichtigung und Widerspruch sind im Betriebsalltag zu nutzen und zu überwachen. Ergänzend dazu können regelmäßige Prüfungen der tatsächlichen Löschung und Speicherfristeneinhaltung sowie Schulungen des zuständigen Personals zu Datenschutzprozessen erfolgen. Darüber hinaus ist eine Dokumentation und Protokollierung der bearbeiteten Anfragen einschließlich Reaktionszeiten sinnvoll, um die Wirksamkeit der Prozesse nachzuweisen.","zu personenbezogenen Daten im Betrieb des KI-Systems (einschließlich Rechte zu Datenverwaltung, -löschung, -benutzung und Informationspflichten) unter Beachtung rechtlicher Vorgaben",Betroffenen- und Nutzerrechtwahrnehmungsprozess,normal-SdT,2,Grundmodul; Accountability; DATA; HAO; Anbieter; Betreiber,Nutzende,Betroffeneninformation KI-System,
GCS,"Governance, Compliance & Scope",GCS.5,"Security Governance: Schutzziele & Threat Modeling, Red Teaming",GCS.5.1,Maßnahmen und Sicherheitskontrollen für Zugang zu KI-Daten,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Daten SOLLTE Maßnahmen und Sicherheitskontrollen für den Zugang zu relevanten Datensätzen über den gesamten KI-Lebenszyklus verankern.","Ziel ist es, dass der Anbieter den Zugang zu KI-Daten über den gesamten Lebenszyklus risikoorientiert absichert, sodass sensible, personenbezogene und proprietäre Informationen geschützt und nachgelagerte Akteure auf klar definierte Kontrollen aufbauen können. Dazu kann die Festlegung individueller, zweckgebundener Zugriffsrechte gehören; Least-Privilege und Need-to-know sind vorzusehen, Aufgaben sind zu trennen. Dies umfasst auch regelmäßige Rezertifizierungen und den Entzug von Rechten bei Rollen- oder Beschäftigungswechseln; unbefugter Zugriff ist technisch-organisatorisch zu verhindern. Ein technisches Zugriffsmanagementsystem kann betrieben und in der Datendokumentation beschrieben werden. Ergänzend dazu sind Datenübertragungen zwischen Parteien bzw. in die Cloud mit Verschlüsselung und Kommunikationssicherheit abzusichern und zu dokumentieren; bei personenbezogenen Daten ist z.B. Betroffenenzugang zu berücksichtigen.",für den Zugang zu relevanten Datensätzen über den gesamten KI-Lebenszyklus,Maßnahmen und Sicherheitskontrollen,normal-SdT,2,Grundmodul; Accountability; DATA; Anbieter,Daten,KI-Sicherheitskonzept,
GCS,"Governance, Compliance & Scope",GCS.5,"Security Governance: Schutzziele & Threat Modeling, Red Teaming",GCS.5.2,Abgestufte Sicherheitskontrollen,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Anwendungen SOLLTE Mechanismen zur Umsetzung abgestufter Sicherheitsmaßnahmen für das KI-System nach Risiko, Sensitivität und Kritikalität von System und Daten verankern.","Anbieter: Ziel ist es, dass Sicherheitsmaßnahmen passend zur Exponierung mehrschichtig und in abgestuften Ebenen wirksam werden können. Dazu können Mechanismen so gestaltet werden, dass Kontrollen in Stufen nach Risiko, Sensitivität oder Kritikalität von System und Daten anwendbar sind; hierzu zählen insbesondere Netzwerk- und Zugangskontrollen wie sichere Gateways, VPN und gesteuertes Routing für KI-/ML-Systeme. Kriterienkataloge und Zuordnungsregeln, z. B. Datenklassifizierung und Systemkritikalität, können die Stufenbildung stützen; richtlinien- und vorlagenbasierte Konfigurationen sind zweckmäßig, und Automatisierung über Zugangsmanagement mit rollen- oder attributbasiertem Rechtekonzept kann unterstützen. Ergänzend dazu können die Ausprägungen je Stufe, die Schutzschichten sowie die Auslösebedingungen nachvollziehbar dokumentiert und versioniert werden.

Betreiber: Ziel ist es, dass im Betrieb jeweils die angemessene Sicherheitsstufe und Schutzschicht aktiv ist. Dazu können bereitgestellte Stufen und Netzwerkkontrollen wie Gateways, VPN und Routing übernommen und anhand eigener Risiko-, Sensitivitäts- und Kritikalitätsbewertungen ausgewählt werden; Konfigurationen je Stufe können konsistent angewendet und Änderungen nachvollziehbar dokumentiert werden. Überwachung auf die Einhaltung der gewählten Stufe ist empfehlenswert; Abweichungen können analysiert und korrigiert werden. Ergänzend dazu kann die Zuordnung von Systemen und Daten zu den Stufen regelmäßig überprüft und bei Bedarf angepasst werden.","nach Risiko, Sensitivität und Kritikalität von System und Daten",Mechanismen zur Umsetzung abgestufter Sicherheitsmaßnahmen für das KI-System,normal-SdT,2,Grundmodul; Robustness; Anbieter; Betreiber,Anwendungen,KI-Sicherheitskonzept,
GCS,"Governance, Compliance & Scope",GCS.5,"Security Governance: Schutzziele & Threat Modeling, Red Teaming",GCS.5.3,Architektur- und Designentscheidungen nach Security-by-Design,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Anwendungen SOLLTE Sicherheitsbewusste Architektur- und Designentscheidungen für das KI-System nach Security-by-Design, einschließlich Daten und KI-Komponenten verankern.","Anbieter: Zweck der Anforderung ist es, Vertraulichkeit, Integrität und Verfügbarkeit durch robuste Architekturentscheidungen zu stärken und erkannte Bedrohungen adressierbar zu machen. Dazu kann die Auswahl von Modellfamilie und -architektur Sicherheitsmerkmale wie robustness, Angriffsfläche und Interpretierbarkeit berücksichtigen; sicherheitsrelevante Zielkonflikte können nachvollziehbar dokumentiert werden. Ergänzend dazu sind KI-spezifische Sicherheitskontrollen (z.B. Eingabevalidierung, Ausgabebereinigung, Schutzgrenzen, Zugriffsbeschränkungen) sinnvoll; Sicherheits- und Vertrauensgrenzen zwischen KI- und konventionellen Komponenten können definiert werden. Darüber hinaus können Metriken und Schwellenwerte auf Verwundbarkeiten analysiert und gegen die Bedrohungsanalyse begründet werden.","nach Security-by-Design, einschließlich Daten und KI-Komponenten",Sicherheitsbewusste Architektur- und Designentscheidungen für das KI-System,normal-SdT,3,Grundmodul; Robustness; Anbieter,Anwendungen,KI-Sicherheitskonzept,
