"requirement_id","top_level_requirement","section_id","section_title","requirement_text","testing_procedures","customized_approach_objective","applicability_notes","purpose","good_practice","examples","definitions","further_information"
"1.3.2","1","1.3",".2 Outbound traffic from the CDE is restricted as follows: • To only traffic that is necessary.","Outbound traffic from the CDE is restricted as follows: • To only traffic that is necessary. • All other traffic is specifically denied.","1.3.2.a Examine configuration standards for NSCs to verify that they define restricting outbound traffic from the CDE in accordance with all elements specified in this requirement.
1.3.2.b Examine configurations of NSCs to verify that outbound traffic from the CDE is restricted in accordance with all elements specified in this requirement.
Defined Approach Testing Procedures
Examine configuration settings and network
1.3.3 diagrams to verify that NSCs are implemented between all wireless networks and the CDE, in accordance with all elements specified in this requirement.","Unauthorized traffic cannot traverse network boundaries between any wireless networks and wired environments in the CDE.","","This requirement aims to prevent malicious individuals and compromised system components within the entity's network from communicating with an untrusted external host.","All traffic outbound from the CDE, regardless of the destination, should be evaluated to ensure it follows established, authorized rules. Connections should be inspected to restrict traffic to only authorized communications—for example, by restricting source/destination addresses and ports, and blocking of content.","Implementing a rule that denies all inbound and outbound traffic that is not specifically needed— for example, by using an explicit ""deny all"" or implicit deny after allow statement—helps to prevent inadvertent holes that would allow unintended and potentially harmful traffic.
Purpose
The known (or unknown) implementation and exploitation of wireless technology within a network is a common path for malicious individuals to gain access to the network and account data. If a wireless device or network is installed without the entity's knowledge, a malicious individual could easily and ""invisibly"" enter the network. If NSCs do not restrict access from wireless networks into the CDE, malicious individuals that gain unauthorized access to the wireless network can easily connect to the CDE and compromise account information.","",""
"1.4.1","1","1.4","","NSCs are implemented between trusted and untrusted networks.","1.4.1.a
Examine configuration standards and network diagrams to verify that NSCs are defined between trusted and untrusted networks.
Examine network configurations to verify
1.4.1.b that NSCs are in place between trusted and untrusted networks, in accordance with the documented configuration standards and network diagrams.","Unauthorized traffic cannot traverse network boundaries between trusted and untrusted networks.","","Implementing NSCs at every connection coming into and out of trusted networks allows the entity to monitor and control access and minimizes the chances of a malicious individual obtaining access to the internal network via an unprotected connection.","","An entity could implement a DMZ, which is a part of the network that manages connections between an untrusted network (for examples of untrusted networks refer to the Requirement 1
Overview) and services that an organization needs to have available to the public, such as a web server. Please note that if an entity's DMZ processes or transmits account data
(for example, e-commerce website), it is also considered a
CDE.","",""
"1.4.2","1","1.4","","Inbound traffic from untrusted networks to

trusted networks is restricted to: • Communications with system components that are authorized to provide publicly accessible services, protocols, and ports. • Stateful responses to communications initiated by system components in a trusted network. • All other traffic is denied.","Examine vendor documentation and

configurations of NSCs to verify that inbound traffic from untrusted networks to trusted networks is restricted in accordance with all elements specified in this requirement.","Only traffic that is authorized or that is a response to a system component in the trusted network can enter a trusted network from an untrusted network.","The intent of this requirement is to address communication sessions between trusted and untrusted networks, rather than the specifics of protocols.
This requirement does not limit the use of UDP or other connectionless network protocols if state is maintained by the NSC.","Ensuring that public access to a system component is specifically authorized reduces the risk of system components being unnecessarily exposed to untrusted networks.","System components that provide publicly accessible services, such as email, web, and
DNS servers, are the most vulnerable to threats originating from untrusted networks.
Ideally, such systems are placed within a dedicated trusted network that is public facing (for example, a DMZ) but that is separated via NSCs from more sensitive internal systems, which helps protect the rest of the network in the event these externally accessible systems are compromised.
This functionality is intended to prevent malicious actors from accessing the organization's internal network from the Internet, or from using services, protocols, or ports in an unauthorized manner.
Where this functionality is provided as a built-in feature of an
NSC, the entity should ensure that its configurations do not result in the functionality being disabled or bypassed.","","Maintaining the ""state"" (or status) for each connection into a network means the NSC
""knows"" whether an apparent response to a previous connection is a valid, authorized response (since the NSC retains each connection's status) or whether it is malicious traffic trying to fool the NSC into allowing the connection.",""
"1.4.3","1","1.4","","Anti-spoofing measures are implemented to

detect and block forged source IP addresses from entering the trusted network.","Examine vendor documentation and

configurations for NSCs to verify that anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.","Packets with forged IP source addresses cannot enter a trusted network.","","Filtering packets coming into the trusted network helps to, among other things, ensure packets are not ""spoofed"" to appear as if they are coming from an organization's own internal network. For example, anti-spoofing measures prevent internal addresses originating from the Internet from passing into the DMZ.","Products usually come with anti-spoofing set as a default and may not be configurable. Entities should consult the vendor's documentation for more information.","Normally, a packet contains the IP address of the computer that originally sent it so other computers in the network know where the packet originated.
Malicious individuals will often try to spoof (or imitate) the sending IP address to fool the target system into believing the packet is from a trusted source.","",""
"1.4.4","1","1.4","","System components that store cardholder

data are not directly accessible from untrusted networks.","Examine the data-flow diagram and
1.4.4.a network diagram to verify that it is documented that system components storing cardholder data are not directly accessible from the untrusted networks.","Stored cardholder data cannot be accessed from untrusted networks.","This requirement is not intended to apply to storage of account data in volatile memory but does apply where memory is being treated as persistent storage (for example, RAM disk). Account data can only be stored in volatile memory during the time necessary to support the associated business process (for example, until completion of the related payment card transaction).","Cardholder data that is directly accessible from an untrusted network, for example, because it is stored on a system within the DMZ or in a cloud database service, is easier for an external attacker to access because there are fewer defensive layers to penetrate. Using NSCs to ensure that system components that store cardholder data (such as a database or a file) can only be directly accessed from trusted networks can prevent unauthorized network traffic from reaching the system component.
1.4.4.b
Examine configurations of NSCs to verify that controls are implemented such that system components storing cardholder data are not directly accessible from untrusted networks.","","","",""
"1.4.5","1","1.4","","The disclosure of internal IP addresses and

routing information is limited to only authorized parties.","Examine configurations of NSCs to verify
1.4.5.a that the disclosure of internal IP addresses and routing information is limited to only authorized parties.
1.4.5.b
Interview personnel and examine documentation to verify that controls are implemented such that any disclosure of internal IP addresses and routing information is limited to only authorized parties.","Internal network information is protected from unauthorized disclosure.","","Restricting the disclosure of internal, private, and local IP addresses is useful to prevent a hacker from obtaining knowledge of these IP addresses and using that information to access the network.","Methods used to meet the intent of this requirement may vary, depending on the specific networking technology being used. For example, the controls used to meet this requirement may be different for IPv4 networks than for IPv6 networks.","Methods to obscure IP addressing may include, but are not limited to: • IPv4 Network Address Translation (NAT). • Placing system components behind proxy servers/NSCs. • Removal or filtering of route advertisements for internal networks that use registered addressing. • Internal use of RFC 1918 (IPv4) or use IPv6 privacy extension (RFC 4941) when initiating outgoing sessions to the internet.","",""
"2.1.1","2","2.1","","All security policies and operational

procedures that are identified in Requirement 2 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.","Examine documentation and interview

personnel to verify that security policies and operational procedures identified in Requirement 2 are managed in accordance with all elements specified in this requirement.","Expectations, controls, and oversight for meeting activities within Requirement 2 are defined and adhered to by affected personnel. All supporting activities are repeatable, consistently applied, and conform to management's intent.","","Requirement 2.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 2.
While it is important to define the specific policies or procedures called out in Requirement 2, it is equally important to ensure they are properly documented, maintained, and disseminated.","It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For this reason, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle","","Security policies define the entity's security objectives and principles.
Operational procedures describe how to perform activities, and define the controls, methods, and processes that are followed to achieve the desired result in a consistent manner and in accordance with policy objectives.",""
"2.1.2","2","2.1","","Roles and responsibilities for performing

activities in Requirement 2 are documented, assigned, and understood.","Examine documentation to verify that
2.1.2.a descriptions of roles and responsibilities for performing activities in Requirement 2 are documented and assigned.
Interview personnel with responsibility for
2.1.2.b performing activities in Requirement 2 to verify that roles and responsibilities are assigned as documented and are understood.","Day-to-day responsibilities for performing all the activities in Requirement 2 are allocated. Personnel are accountable for successful, continuous operation of these requirements.","","If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur.","Roles and responsibilities may be documented within policies and procedures or maintained within separate documents.
As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.","A method to document roles and responsibilities is a responsibility assignment matrix that includes who is responsible, accountable, consulted, and informed (also called a RACI matrix).","",""
"2.2.1","2","2.2","","Configuration standards are developed, implemented, and maintained to: • Cover all system components. • Address all known security vulnerabilities. • Be consistent with industry-accepted system hardening standards or vendor hardening recommendations. • Be updated as new vulnerability issues are identified, as defined in Requirement 6.3.1. • Be applied when new systems are configured and verified as in place before or immediately after a system component is connected to a production environment.","2.2.1.a
Examine system configuration standards to verify they define processes that include all elements specified in this requirement.
Examine policies and procedures and
2.2.1.b interview personnel to verify that system configuration standards are updated as new vulnerability issues are identified, as defined in
Requirement 6.3.1.
Examine configuration settings and
2.2.1.c interview personnel to verify that system configuration standards are applied when new systems are configured and verified as being in place before or immediately after a system component is connected to a production environment.","All system components are configured securely and consistently and in accordance with industry accepted hardening standards or vendor recommendations.","","There are known weaknesses with many operating systems, databases, network devices, software, applications, container images, and other devices used by an entity or within an entity's environment. There are also known ways to configure these system components to fix security vulnerabilities. Fixing security vulnerabilities reduces the opportunities available to an attacker.
By developing standards, entities ensure their system components will be configured consistently and securely, and address the protection of devices for which full hardening may be more difficult.","Keeping up to date with current industry guidance will help the entity maintain secure configurations.
The specific controls to be applied to a system will vary and should be appropriate for the type and function of the system.
Numerous security organizations have established system-hardening guidelines and recommendations, which advise how to correct common, known weaknesses.","","","Sources for guidance on configuration standards include but are not limited to: Center for Internet
Security (CIS), International Organization for
Standardization (ISO), National Institute of
Standards and Technology (NIST), Cloud
Security Alliance, and product vendors."
"2.2.2","2","2.2","","Vendor default accounts are managed as

follows: • If the vendor default account(s) will be used, the default password is changed per Requirement
8.3.6. • If the vendor default account(s) will not be used, the account is removed or disabled.","Examine system configuration standards to
2.2.2.a verify they include managing vendor default accounts in accordance with all elements specified in this requirement.
Examine vendor documentation and
2.2.2.b observe a system administrator logging on using vendor default accounts to verify accounts are implemented in accordance with all elements specified in this requirement.
Examine configuration files and interview
2.2.2.c personnel to verify that all vendor default accounts that will not be used are removed or disabled.","System components cannot be accessed using default passwords.","This applies to ALL vendor default accounts and passwords, including, but not limited to, those used by operating systems, software that provides security services, application and system accounts, point-of-sale (POS) terminals, payment applications, and Simple Network Management Protocol (SNMP)
defaults.
This requirement also applies where a system component is not installed within an entity's environment, for example, software and applications that are part of the CDE and are accessed via a cloud subscription service.","Malicious individuals often use vendor default account names and passwords to compromise operating systems, applications, and the systems on which they are installed. Because these default settings are often published and are well known, changing these settings will make systems less vulnerable to attack.","All vendor default accounts should be identified, and their purpose and use understood. It is important to establish controls for application and system accounts, including those used to deploy and maintain cloud services so that they do not use default passwords and are not usable by unauthorized individuals.
Where a default account is not intended to be used, changing the default password to a unique password that meets PCI DSS Requirement
8.3.6, removing any access to the default account, and then disabling the account, will prevent a malicious individual from re-enabling the account and gaining access with the default password.
Using an isolated staging network to install and configure new systems is recommended and can also be used to confirm that default credentials have not been introduced into production environments.","Defaults to be considered include user IDs, passwords, and other authentication credentials commonly used by vendors in their products.","",""
"2.2.3","2","2.2",".3 Primary functions requiring different security levels are managed as follows: • Only one primary function exists on a system component,","Primary functions requiring different security levels are managed as follows: • Only one primary function exists on a system component,
OR • Primary functions with differing security levels that exist on the same system component are isolated from each other,
OR • Primary functions with differing security levels on the same system component are all secured to the level required by the function with the highest security need.","2.2.3.a
Examine system configuration standards to verify they include managing primary functions requiring different security levels as specified in this requirement.
2.2.3.b
Examine system configurations to verify that primary functions requiring different security levels are managed per one of the ways specified in this requirement.
Where virtualization technologies are used,
2.2.3.c examine the system configurations to verify that system functions requiring different security levels are managed in one of the following ways: • Functions with differing security needs do not co-exist on the same system component. • Functions with differing security needs that exist on the same system component are isolated from each other. • Functions with differing security needs on the same system component are all secured to the level required by the function with the highest security need.","Primary functions with lower security needs cannot affect the security of primary functions with higher security needs on the same system component.","","protocols, and daemons for their primary function will have a security profile appropriate to allow that function to operate effectively. For example, systems that need to be directly connected to the
Internet would have a particular profile, like a
DNS server, web server, or an e-commerce server. Conversely, other system components may operate a primary function comprising a different set of services, protocols, and daemons that performs functions that an entity does not want exposed to the Internet. This requirement aims to ensure that different functions do not impact the security profiles of other services in a way which may cause them to operate at a higher or lower security level.","Ideally, each function should be placed on different system components. This can be achieved by implementing only one primary function on each system component. Another option is to isolate primary functions on the same system component that have different security levels, for example, isolating web servers (which need to be directly connected to the Internet) from application and database servers.
(continued on next page)","","",""
"2.2.4","2","2.2","","Only necessary services, protocols, daemons,

and functions are enabled, and all unnecessary functionality is removed or disabled.","Examine system configuration standards to
2.2.4.a verify necessary system services, protocols, and daemons are identified and documented.
Examine system configurations to verify the
2.2.4.b following: • All unnecessary functionality is removed or disabled. • Only required functionality, as documented in the configuration standards, is enabled.","System components cannot be compromised by exploiting unnecessary functionality present in the system component.","","Unnecessary services and functions can provide additional opportunities for malicious individuals to gain access to a system. By removing or disabling all unnecessary services, protocols, daemons, and functions, organizations can focus on securing the functions that are required and reduce the risk that unknown or unnecessary functions will be exploited.","There are many protocols that could be enabled by default that are commonly used by malicious individuals to compromise a network. Disabling or removing all services, functions, and protocols that are not used minimizes the potential attack surface—for example, by removing or disabling an unused FTP or web server.","Unnecessary functionality may include, but is not limited to scripts, drivers, features, subsystems, file systems, interfaces (USB and Bluetooth), and unnecessary web servers.","",""
"2.2.5","2","2.2",".5 If any insecure services, protocols, or daemons are present: • Business justification is documented. • Additional security features are documented and","If any insecure services, protocols, or daemons are present: • Business justification is documented. • Additional security features are documented and implemented that reduce the risk of using insecure services, protocols, or daemons.","2.2.5.a
If any insecure services, protocols, or daemons are present, examine system configuration standards and interview personnel to verify they are managed and implemented in accordance with all elements specified in this requirement.
If any insecure services, protocols, or
2.2.5.b daemons, are present, examine configuration settings to verify that additional security features are implemented to reduce the risk of using insecure services, daemons, and protocols.","System components cannot be compromised by exploiting insecure services, protocols, or daemons.","","Ensuring that all insecure services, protocols, and daemons are adequately secured with appropriate security features makes it more difficult for malicious individuals to exploit common points of compromise within a network.","Enabling security features before new system components are deployed will prevent insecure configurations from being introduced into the environment. Some vendor solutions may provide additional security functions to assist with securing an insecure process.","","","For guidance on services, protocols, or daemons considered to be insecure, refer to industry standards and guidance (for example, as published by NIST, ENISA, and OWASP)."
"2.2.6","2","2.2","","System security parameters are configured to

prevent misuse.","Examine system configuration standards to
2.2.6.a verify they include configuring system security parameters to prevent misuse.
Interview system administrators and/or
2.2.6.b security managers to verify they have knowledge of common security parameter settings for system components.
2.2.6.c
Examine system configurations to verify that common security parameters are set appropriately and in accordance with the system configuration standards.","System components cannot be compromised because of incorrect security parameter configuration.","","Correctly configuring security parameters provided in system components takes advantage of the capabilities of the system component to defeat malicious attacks.","System configuration standards and related processes should specifically address security settings and parameters that have known security implications for each type of system in use.
For systems to be configured securely, personnel responsible for configuration and/or administering systems should be knowledgeable in the specific security parameters and settings that apply to the system. Considerations should also include secure settings for parameters used to access cloud portals.","","","Refer to vendor documentation and industry references noted in Requirement 2.2.1 for information about applicable security parameters for each type of system."
"2.2.7","2","2.2",".7 All non-console administrative access is encrypted using strong cryptography.","All non-console administrative access is encrypted using strong cryptography.","2.2.7.a
Examine system configuration standards to verify they include encrypting all non-console administrative access using strong cryptography.
Observe an administrator log on to system
2.2.7.b components and examine system configurations to verify that non-console administrative access is managed in accordance with this requirement.
2.2.7.c
Examine settings for system components and authentication services to verify that insecure remote login services are not available for non console administrative access.
Examples
2.2.7.d
Examine vendor documentation and interview personnel to verify that strong cryptography for the technology in use is implemented according to industry best practices and/or vendor recommendations.","Cleartext administrative authorization factors cannot be read or intercepted from any network transmissions.","This includes administrative access via browser based interfaces and application programming interfaces (APIs).","If non-console (including remote) administration does not use encrypted communications, administrative authorization factors (such as IDs and passwords) can be revealed to an eavesdropper. A malicious individual could use this information to access the network, become administrator, and steal data.","Whichever security protocol is used, it should be configured to use only secure versions and configurations to prevent use of an insecure connection—for example, by using only trusted certificates, supporting only strong encryption, and not supporting fallback to weaker, insecure protocols or methods.
Cleartext protocols (such as HTTP, telnet, etc.) do not encrypt traffic or logon details, making it easy for an eavesdropper to intercept this information.
Non-console access may be facilitated by technologies that provide alternative access to systems, including but not limited to, out-of-band
(OOB), lights-out management (LOM), Intelligent
Platform Management Interface (IPMI), and keyboard, video, mouse (KVM) switches with remote capabilities. These and other non-console access technologies and methods must be secured with strong cryptography.","","","Refer to industry standards and best practices such as NIST SP 800-52 and SP 800-57."
"2.3.1","2","2.3","","For wireless environments connected to the

CDE or transmitting account data, all wireless vendor defaults are changed at installation or are confirmed to be secure, including but not limited to: • Default wireless encryption keys. • Passwords on wireless access points. • SNMP defaults. • Any other security-related wireless vendor defaults.","Examine policies and procedures and
2.3.1.a interview responsible personnel to verify that processes are defined for wireless vendor defaults to either change them upon installation or to confirm them to be secure in accordance with all elements of this requirement.
Examine vendor documentation and
2.3.1.b observe a system administrator logging into wireless devices to verify: • SNMP defaults are not used. • Default passwords/passphrases on wireless access points are not used.
2.3.1.c
Examine vendor documentation and","Wireless networks cannot be accessed using vendor default passwords or default configurations.","This includes, but is not limited to, default wireless encryption keys, passwords on wireless access points, SNMP defaults, and any other security related wireless vendor defaults.","If wireless networks are not implemented with sufficient security configurations (including changing default settings), wireless sniffers can eavesdrop on the traffic, easily capture data and passwords, and easily enter and attack the network.","Wireless passwords should be constructed so that they are resistant to offline brute force attacks.
wireless configuration settings to verify other security-related wireless vendor defaults were changed, if applicable.","","",""
