"subcategory_id","function","category_id","category_text","description"
"MAP 1.6","Map","MAP 1","Context is established and understood","System requirements (e.g., ""the system shall respect the privacy of its users"") are elicited from and understood by relevant AI actors. Design decisions take socio-technical implications into account to address AI risks."
"MAP 2.1","Map","MAP 2","Categorization of the AI system is performed","The specific tasks and methods used to implement the tasks that the AI system will support are defined (e.g., classifiers, generative models, recommenders)."
"MAP 2.2","Map","MAP 2","Categorization of the AI system is performed","Information about the AI system's knowledge limits and how system output may be utilized and overseen by humans is documented. Documentation provides sufficient information to assist relevant AI actors when making decisions and taking subsequent actions."
"MAP 2.3","Map","MAP 2","Categorization of the AI system is performed","Scientific integrity and TEVV considerations are identified and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation."
"MAP 3.1","Map","MAP 3","AI capabilities, targeted usage, goals, and expected benefits and costs compared with appropriate benchmarks are understood","Potential benefits of intended AI system functionality and performance are examined and documented."
"MAP 3.2","Map","MAP 3","AI capabilities, targeted usage, goals, and expected benefits and costs compared with appropriate benchmarks are understood","Potential costs, including non-monetary costs, which result from expected or realized AI errors or system functionality and trustworthiness - as connected to organizational risk tolerance - are examined and documented."
"MAP 3.3","Map","MAP 3","AI capabilities, targeted usage, goals, and expected benefits and costs compared with appropriate benchmarks are understood","Targeted application scope is specified and documented based on the system's capability, established context, and AI system categorization."
"MAP 3.4","Map","MAP 3","AI capabilities, targeted usage, goals, and expected benefits and costs compared with appropriate benchmarks are understood","Processes for operator and practitioner proficiency with AI system performance and trustworthiness - and relevant technical standards and certifications - are defined, assessed, and documented."
"MAP 3.5","Map","MAP 3","AI capabilities, targeted usage, goals, and expected benefits and costs compared with appropriate benchmarks are understood","Processes for human oversight are defined, assessed, and documented in accordance with organizational policies from the GOVERN function."
"MAP 4.1","Map","MAP 4","Risks and benefits are mapped for all components of the AI system including third-party software and data","Approaches for mapping AI technology and legal risks of its components - including the use of third-party data or software - are in place, followed, and documented, as are risks of infringement of a third party's intellectual property or other rights."
"MAP 4.2","Map","MAP 4","Risks and benefits are mapped for all components of the AI system including third-party software and data",""
"MAP 5.1","Map","MAP 5","Impacts to individuals, groups, communities, organizations, and society are characterized",""
"MAP 5.2","Map","MAP 5","Impacts to individuals, groups, communities, organizations, and society are characterized","Practices and personnel for supporting regular engagement with relevant AI actors and integrating feedback about positive, negative, and unanticipated impacts are in place and documented."
"MEASURE 1.1","Measure","MEASURE 1","Appropriate methods and metrics are identified and applied","Approaches and metrics for measurement of AI risks enumerated during the MAP function are selected for implementation starting with the most significant AI risks. The risks or trustworthiness characteristics that will not - or cannot - be measured are properly documented."
"MEASURE 1.2","Measure","MEASURE 1","Appropriate methods and metrics are identified and applied","Appropriateness of AI metrics and effectiveness of existing controls are regularly assessed and updated, including reports of errors and potential impacts on affected communities."
"MEASURE 1.3","Measure","MEASURE 1","Appropriate methods and metrics are identified and applied","Internal experts who did not serve as front-line developers for the system and/or independent assessors are involved in regular assessments and updates. Domain experts, users, AI actors external to the team that developed or deployed the AI system, and affected communities are consulted in support of assessments as necessary per organizational risk tolerance."
"MEASURE 2.1","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","Test sets, metrics, and details about the tools used during TEVV are documented."
"MEASURE 2.2","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","Evaluations involving human subjects meet applicable requirements (including human subject protection) and are representative of the relevant population."
"MEASURE 2.3","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","AI system performance or assurance criteria are measured qualitatively or quantitatively and demonstrated for conditions similar to deployment setting(s). Measures are documented."
"MEASURE 2.4","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","The functionality and behavior of the AI system and its components - as identified in the MAP function - are monitored when in production."
"MEASURE 2.5","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","The AI system to be deployed is demonstrated to be valid and reliable. Limitations of the generalizability beyond the conditions under which the technology was developed are documented."
"MEASURE 2.6","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","The AI system is evaluated regularly for safety risks - as identified in the MAP function. The AI system to be deployed is demonstrated to be safe, its residual negative risk does not exceed the risk tolerance, and it can fail safely, particularly if made to operate beyond its knowledge limits. Safety metrics reflect system reliability and robustness, real-time monitoring, and response times for AI system failures."
"MEASURE 2.7","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","AI system security and resilience - as identified in the MAP function - are evaluated and documented."
"MEASURE 2.8","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","Risks associated with transparency and accountability - as identified in the MAP function - are examined and documented."
"MEASURE 2.9","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","The AI model is explained, validated, and documented, and AI system output is interpreted within its context - as identified in the MAP function - to inform responsible use and governance."
"MEASURE 2.10","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","Privacy risk of the AI system - as identified in the MAP function - is examined and documented."
"MEASURE 2.11","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","Fairness and bias - as identified in the MAP function - are evaluated and results are documented."
"MEASURE 2.12","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","Environmental impact and sustainability of AI model training and management activities - as identified in the MAP function - are assessed and documented."
"MEASURE 2.13","Measure","MEASURE 2","AI systems are evaluated for trustworthy characteristics","Effectiveness of the employed TEVV metrics and processes in the MEASURE function are evaluated and documented."
"MEASURE 3.1","Measure","MEASURE 3","Mechanisms for tracking identified AI risks over time are in place","Approaches, personnel, and documentation are in place to regularly identify and track existing, unanticipated, and emergent AI risks based on factors such as intended and actual performance in deployed contexts."
"MEASURE 3.2","Measure","MEASURE 3","Mechanisms for tracking identified AI risks over time are in place",""
"MEASURE 3.3","Measure","MEASURE 3","Mechanisms for tracking identified AI risks over time are in place","Feedback processes for end users and impacted communities to report problems and appeal system outcomes are established and integrated into AI system evaluation metrics."
"MEASURE 4.1","Measure","MEASURE 4","Feedback about efficacy of measurement is gathered and assessed","Measurement approaches for identifying AI risks are connected to deployment context(s) and informed through consultation with domain experts and other end users. Approaches are documented."
"MEASURE 4.2","Measure","MEASURE 4","Feedback about efficacy of measurement is gathered and assessed","Measurement results regarding AI system trustworthiness in deployment context(s) and across the AI lifecycle are informed by input from domain experts and relevant AI actors to validate whether the system is performing consistently as intended. Results are documented."
"MEASURE 4.3","Measure","MEASURE 4","Feedback about efficacy of measurement is gathered and assessed","Measurable performance improvements or declines based on consultations with relevant AI actors, including affected communities, and field data about contextrelevant risks and trustworthiness characteristics are identified and documented."
"MANAGE 1.1","Manage","MANAGE 1","AI risks based on assessments and other analytical output from the MAP and MEASURE functions are prioritized, responded to, and managed",""
"MANAGE 1.2","Manage","MANAGE 1","AI risks based on assessments and other analytical output from the MAP and MEASURE functions are prioritized, responded to, and managed","Treatment of documented AI risks is prioritized based on impact, likelihood, and available resources or methods."
"MANAGE 1.3","Manage","MANAGE 1","AI risks based on assessments and other analytical output from the MAP and MEASURE functions are prioritized, responded to, and managed","Responses to the AI risks deemed high priority, as identified by the MAP function, are developed, planned, and documented. Risk response options can include mitigating, transferring, avoiding, or accepting."
"MANAGE 1.4","Manage","MANAGE 1","AI risks based on assessments and other analytical output from the MAP and MEASURE functions are prioritized, responded to, and managed","Negative residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers of AI systems and end users are documented."
"MANAGE 2.1","Manage","MANAGE 2","Strategies to maximize AI benefits and minimize negative impacts are planned, prepared, implemented, documented, and informed by input from relevant AI actors","Resources required to manage AI risks are taken into account - along with viable non-AI alternative systems, approaches, or methods - to reduce the magnitude or likelihood of potential impacts."
"MANAGE 2.2","Manage","MANAGE 2","Strategies to maximize AI benefits and minimize negative impacts are planned, prepared, implemented, documented, and informed by input from relevant AI actors","Mechanisms are in place and applied to sustain the value of deployed AI systems."
"MANAGE 2.3","Manage","MANAGE 2","Strategies to maximize AI benefits and minimize negative impacts are planned, prepared, implemented, documented, and informed by input from relevant AI actors","Procedures are followed to respond to and recover from a previously unknown risk when it is identified."
"MANAGE 2.4","Manage","MANAGE 2","Strategies to maximize AI benefits and minimize negative impacts are planned, prepared, implemented, documented, and informed by input from relevant AI actors","Mechanisms are in place and applied, and responsibilities are assigned and understood, to supersede, disengage, or deactivate AI systems that demonstrate performance or outcomes inconsistent with intended use."
"MANAGE 3.1","Manage","MANAGE 3","AI risks and benefits from third-party entities are managed","AI risks and benefits from third-party resources are regularly monitored, and risk controls are applied and documented."
"MANAGE 3.2","Manage","MANAGE 3","AI risks and benefits from third-party entities are managed","Pre-trained models which are used for development are monitored as part of AI system regular monitoring and maintenance."
"MANAGE 4.1","Manage","MANAGE 4","Risk treatments, including response and recovery, and communication plans for the identified and measured AI risks are documented and monitored regularly","Post-deployment AI system monitoring plans are implemented, including mechanisms for capturing and evaluating input from users and other relevant AI actors, appeal and override, decommissioning, incident response, recovery, and change management."
"MANAGE 4.2","Manage","MANAGE 4","Risk treatments, including response and recovery, and communication plans for the identified and measured AI risks are documented and monitored regularly","Measurable activities for continual improvements are integrated into AI system updates and include regular engagement with interested parties, including relevant AI actors."
"MANAGE 4.3","Manage","MANAGE 4","Risk treatments, including response and recovery, and communication plans for the identified and measured AI risks are documented and monitored regularly","Incidents and errors are communicated to relevant AI actors, including affected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented."
