term,definition,sources,source_anchor
Agent ID (AID),A 32-bit unique unsigned value that identifies a given initiating host (IH) and/or accepting host (AH) during single packet authorization.,https://downloads.cloudsecurityalliance.org/initiatives/sdp/SDP_Specification_1.0.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#agent-id-aid
Agile,"Software development approach based on iterative development, frequent inspection and adaptation, and incremental deliveries, in which requirements and solutions evolve through collaboration in cross-functional teams and through continual stakeholder feedback.",https://www.iso.org/obp/ui#iso:std:iso-iec-ieee:24748:-1:ed-1:v1:en:term:3.4,https://cloudsecurityalliance.org/cloud-security-glossary#agile
Air-Gapped,"An interface between two systems in which (a) they are not connected physically and (b) any logical connection is not automated (i.e., data is transferred through the interface only manually, under human control).",https://csrc.nist.gov/glossary/term/air-gap,https://cloudsecurityalliance.org/cloud-security-glossary#air-gapped
Air-Gapped Networks,"An interface between two systems at which (a) they are not connected physically and (b) any logical connection is not automated (i.e., data is transferred through the interface only manually, under human control).","SDP is designed to provide an on-demand, dynamically provisioned, network that is the “equivalent of” an air-gapped network. | https://csrc.nist.gov/glossary/term/air_gap | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf",https://cloudsecurityalliance.org/cloud-security-glossary#air-gapped-networks
Amplification Attack,"Any attack where an attacker causes more resource usage than what a single connection should be capable of. The amplification factor multiplies the attack’s power through asymmetry, where a low level of resources causes a large level of target failures. Memcached server - General purpose distributed memory caching system used for increasing speed on dynamic database-driven websites. Memcrashing - utilizing a weakness in Memcached server on UDP port 11211 to execute an Amplification Attack and paralyze the hosting server Port 11211 - Memcached clients use client-side libraries to contact servers. By default, Memchached servers expose their service at port 11211 on both TCP and UDP.",Top Threats to Cloud Computing: Egregious Eleven Deep Dive : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#amplification-attack
Anti-Phishing,The ability to detect phishing attacks targeted at an organization’s users such as inbound phishing emails.,Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#anti-phishing
AntiVirus,"See Anti-Virus, Anti-Spam, Anti-Malware.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#antivirus
"AntiVirus, AntiSpam, AntiMalware","A software program used to prevent, detect, and remove malware, including but not limited to computer viruses, computer worm, trojan horses, spam, spyware, and adware.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#antivirus-antispam-antimalware
Appliance,"Network based visualization provided by a dedicated hardware appliance (e.g., a NAS filer).",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#appliance
Application,"Computer software designed to help the user to perform specific tasks. Examples include enterprise software, accounting software, office suites, graphics software, and media players.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#application
Application / System Owner,"Person or organization having responsibility for the development, procurement, integration, modification, operation and maintenance, and/or final disposition of an information system","https://csrc.nist.gov/glossary/term/system_owner#:~:text=NISTIR%20 8011%20Vol.,disposition%20of%20an%20information%20system",https://cloudsecurityalliance.org/cloud-security-glossary#application-system-owner
Application Container,"An application container is a construct designed to package and run an application or its components running on a shared operating system. Application containers are isolated from other application containers and share the resources of the underlying operating system, allowing for efficient restart, scale-up, or scale-out of applications across clouds. Application containers typically contain microservices.","NIST Special Publication (SP) 800-180 (Draft), NIST Definition of Microservices, Application Containers and System Virtual Machines, National Institute of Standards and Technology, Gaithersburg, Maryland, February 2016, 12pp. http://csrc.nist.gov/publications/drafts/800-180/sp800-180_draft.pdf",https://cloudsecurityalliance.org/cloud-security-glossary#application-container
Application Events,"Specific events within an application may be deemed useful for security monitoring, such as access to protected data or execution of transactions subject to fraud.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#application-events
Application Firewall,"A form of firewall which controls input, output, and/or access from, to, or by an application or service. It operates by monitoring and potentially blocking the input, output, or system service calls that do not meet the firewall’s configured policy.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#application-firewall
Application Layer,"Layer of the TCP/IP protocol stack that sends and receives data for particular applications such as DNS, HTTP, and SMTP.",https://csrc.nist.gov/glossary/term/application_layer,https://cloudsecurityalliance.org/cloud-security-glossary#application-layer
Application Monitoring,"This capability is a collection of application-related events, including logins, access to sensitive data, transactions, administrative activity.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#application-monitoring
Application Performance Monitoring,"Provides alerting, incremental resource provisioning, etc., when application performance measurements (e.g., response time) exceed service level objectives.",Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#application-performance-monitoring
Application Programming Interface (API),A system access point or library function that has a well-defined syntax and is accessible from application programs or user code to provide well-defined functionality.,https://csrc.nist.gov/glossary/term/application_programming_interface,https://cloudsecurityalliance.org/cloud-security-glossary#application-programming-interface-api
Application Services,"Think of application services as the processes that developers use to write code, as well as the code itself. Application services are the rules and processes behind the user interface that manipulate the data and perform transactions for the user. In an online bank, this might be a bill payment transaction that deducts the payment amount from the user’s account and sends a check to the payee. In addition to the application services of an IT solution, the Application Services domain also represents the development processes that programmers go through when creating applications.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Application Services,https://cloudsecurityalliance.org/cloud-security-glossary#application-services
Application Virtualization,Removes the link between the application and the server(s) that host it. A consumer would access an application instance without regard to where or on what the application was hosted.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#application-virtualization
Application Vulnerability Scanning,Application vulnerability scanning is an automated capability that will examine the running application and identify areas where weaknesses exist that can be exploited.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Application Services,https://cloudsecurityalliance.org/cloud-security-glossary#application-vulnerability-scanning
Approval Workflow,The process of reviewing requested changes to ensure their appropriateness and receive authorization to continue from the necessary reviewers.,Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#approval-workflow
Architect,"The individual or organization responsible for the set of processes to deploy and manage IT services. They ensure the smooth functioning of the infrastructure and operational environments that support application deployment to internal and external customers, including the network infrastructure, server and device management, computer operations, IT infrastructure library (ITIL) management, and help desk services20.",CSA. _Challenges in Securing Application Containers and Microservices Integrating Application Container Security Considerations into the Engineering of Trustworthy Secure Systems _(Cloud Security Alliance: 2019) 42,https://cloudsecurityalliance.org/cloud-security-glossary#architect
Architectural Pattern,"A general, reusable solution to a commonly occurring problem in software architecture within a given context. Architectural patterns are similar to software design patterns but have a broader scope. The architectural patterns address various issues in software engineering, such as computer hardware performance limitations, high availability and minimization of a business risk.","Wikipedia contributors. (2020, March 20). Architectural pattern. Wikipedia. https://en.wikipedia. org/wiki/Architectural_pattern",https://cloudsecurityalliance.org/cloud-security-glossary#architectural-pattern
Architecture,"Fundamental concepts or properties of a system in its environment embodied in its elements, relationships, and in the principles of its design and evolution.","ISO/IEC/IEEE 42010. (2011). Systems and Software Engineering — Architecture: A Conceptual Model of Architecture Description. Retrieved August 11, 2021, from http://www.iso-architecture.org/ieee1471/cm/.",https://cloudsecurityalliance.org/cloud-security-glossary#architecture
Architecture Description,"A conceptual model, an architecture description:","ISO/IEC/IEEE 42010. (2011). Systems and Software Engineering — Architecture: A Conceptual Model of Architecture Description. Retrieved August 11, 2021, from http://www.iso-architecture.org/ieee1471/cm/.",https://cloudsecurityalliance.org/cloud-security-glossary#architecture-description
Architecture Governance,Set of tools that can be used for developing a broad range of different architecture perspectives usually integrated as a common Architecture Framework.,Elements that the governance process must cover are: | Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#architecture-governance
Artificial Intelligence,the ability of a digital computer or computer-controlled robot to perform tasks commonly associated with intelligent beings.,https://www.britannica.com/technology/artificial-intelligence,https://cloudsecurityalliance.org/cloud-security-glossary#artificial-intelligence
Assertion,"Assertions are statements from an Identity Provider (IdP) to a relying party (RP) that contain information about a subscriber. Federation technology is generally used when the IdP and the RP are not a single entity or are not under common administration. The RP uses the information in the assertion to identify the subscriber and make authorization decisions about their access to resources controlled by the RP. An assertion typically includes an identifier for the subscriber, allowing association of the subscriber with their previous interactions with the RP. Assertions may additionally include attribute values or attribute references that further characterize the subscriber and support the authorization decision at the RP. Additional attributes may also be available outside of the assertion as part of the larger federation protocol. These attribute values and attribute references are often used in determining access privileges for Attribute Based Access Control (ABAC) or facilitating a transaction (e.g., shipping address).",https://pages.nist.gov/800-63-3/sp800-63c.html,https://cloudsecurityalliance.org/cloud-security-glossary#assertion
Asset Handling,"The processes and procedures involved with managing physical assets (e.g., inventory control, location management, etc.).",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#asset-handling
Asset Management,This container manages all the financial aspects of the Configuration Items and Services provided by the Information Technology organization.,Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#asset-management
Assets,"An asset is anything of value to the organization. Assets can be abstract assets (like processes or reputation), virtual assets (data, for instance), physical assets (cables, a piece of equipment), human resources, money, et cetera.","ENISA 2015, Technical Guideline on Threats and Assets, https://www.enisa.europa.eu/publications/technical-guideline-on-threats-and-assets",https://cloudsecurityalliance.org/cloud-security-glossary#assets
Asymmetric Encryption,"Also known as public-key encryption, is a form of data encryption. Two mathematically related keys, one called the public key and another called the private key , are generated to be used together. The encryption key (also called the public key) and the corresponding decryption key (also called the private key) are different. The encryption (public) key is used to digitally sign the data (encrypt it). The data can be decrypted only with the mathematically corresponding private key. It is computationally infeasible to derive the private key from the public key and only the recipient of the data is the holder of the private key.",https://www.sciencedirect.com/topics/computer-science/symmetric-encryption,https://cloudsecurityalliance.org/cloud-security-glossary#asymmetric-encryption
Asymmetric Keys,"Also referred to as an asymmetric cipher, the encryption key and the decryption keys are separate. In an asymmetric system, each person has two keys. One key, the public key, is shared publicly. The second key, the private key, should never be shared with anyone.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#asymmetric-keys
Asynchronous (out-of-band) Testing,"There are generally two categories of asynchronous testing: 1) Certain crucial security activities cannot be fully automated as they require human intelligence. These include threat modeling, penetration testing, and peer code review. 2) Heavyweight automated tests that take a long time to perform, such as SAST.",These activities can be triggered and performed “out of band” rather than inline with automated deployment so as to not disrupt the software deployment pipeline. | https://cloudsecurityalliance.org/artifacts/devsecops-automation/,https://cloudsecurityalliance.org/cloud-security-glossary#asynchronous-out-of-band-testing
Asynchronous Communication,Communication in which a producer (or client) task sends a message to a consumer (or server) task and does not wait for a response.,https://www.iso.org/obp/ui#iso:std:iso-iec-ieee:24765:ed-2:v1:en:term:3.286,https://cloudsecurityalliance.org/cloud-security-glossary#asynchronous-communication
Attack Patterns,"Attack Patterns are descriptions of common attacks used by malicious parties that programmers must be aware of to defend against. For instance, the Open Web Application Security Project (OWASP) Top 10 Security Risks describes the top 10 attack patterns used to exploit web applications.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Application Services,https://cloudsecurityalliance.org/cloud-security-glossary#attack-patterns
Attack Surface,"The set of points on the boundary of a system, a system element, or an environment where an attacker can try to enter, cause an effect on, or extract data from, that system, system element, or environment.",https://csrc.nist.gov/glossary/term/attack_surface,https://cloudsecurityalliance.org/cloud-security-glossary#attack-surface
Attack surface,"The set of points on the boundary of a system, a system element, or an environment where an attacker can try to enter, cause an effect on, or extract data from, that system, system element, or environment.",https://csrc.nist.gov/glossary/term/attack_surface,https://cloudsecurityalliance.org/cloud-security-glossary#attack-surface
Attribute Provisioning,"The creation, maintenance and deactivation of user attributes as they exist in one or more systems, directories or applications, in response to automated or interactive business processes.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#attribute-provisioning
Attribute-Based Access Control (ABAC),"An access control approach in which access is mediated based on attributes associated with subjects (requesters) and the objects to be accessed. Each object and subject has a set of associated attributes, such as location, time of creation, access rights, etc. Access to an object is authorized or denied depending upon whether the required (e.g., policy-defined) correlation can be made between the attributes of that object and of the requesting subject.","SDPs can use attributes to control access to protected resources, as part of an SDP policy. | https://csrc.nist.gov/glossary/term/abac | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf",https://cloudsecurityalliance.org/cloud-security-glossary#attribute-based-access-control-abac
Attributes,"An attribute or set of attributes that uniquely describe a subject within a given context. The set of attribute values (i.e., characteristics) by which an entity is recognizable and that, within the scope of an identity manager’s responsibility, is sufficient to distinguish that entity from any other entity.","https://csrc.nist.gov/glossary/term/identity#:~:text=An%20 attribute%20or%20set%20of,subject%20within%20a%20given%20 context.&text=The%20set%20of%20attribute%20values,entity%20 from%20any%20other%20entity",https://cloudsecurityalliance.org/cloud-security-glossary#attributes
Audit Logs,"With respect to compliance and assurance processes, this is an artifact that provides detailed records of events, actions, and changes within the cloud environment. Audit Logs are chronological records of system activities, documenting events and transactions that occur within an IT environment. These logs provide a detailed account of who did what and when, serving as a critical tool for security monitoring, forensic investigations, and compliance reporting. Audit logs help organizations detect and investigate suspicious activities, ensuring accountability and transparency in system operations.",https://cloud.google.com/resources/data-governance-logs-best-practices-whitepaper,https://cloudsecurityalliance.org/cloud-security-glossary#audit-logs
Audit Findings,Documentation regarding the specific gaps in an organization’s controls discovered through an audit process.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#audit-findings
Audit Management,"It must be possible for an independent auditor to verify that the system conforms to the security policy. To enable this, systems and processes must ensure that security related events are recorded in a tamper-resistant audit log.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#audit-management
Audit Planning,"Audit planning ensures the audits are scheduled and take place, are adequately staffed, and are considered part of the overall business delivery aspects.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#audit-planning
Authentication,"Verifying the identity of a user, process, or device, often as a prerequisite to allowing access to resources in an information system. Policies governing authentication may require single or multiple factors.",https://csrc.nist.gov/glossary/term/authentication | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#authentication
Authentication,"Verifying the identity of a user, process, or device, often as a prerequisite to allowing access to resources in a system.",https://csrc.nist.gov/glossary/term/authentication,https://cloudsecurityalliance.org/cloud-security-glossary#authentication
Authentication Events,Events indicating a successful or unsuccessful attempt to verify the identity of a user.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#authentication-events
Authentication Factors,"Authentication using two or more factors to achieve authentication. Factors include: (i) something you know (e.g., password/personal identification number [PIN]); (ii) something you have (e.g., cryptographic identification device, token); or (iii) something you are (e.g., biometric).","https://csrc.nist.gov/glossary/term/mfa#:~:text=Authentication%20 using%20two%20or%20more,are%20(e.g.%2C%20biometric)",https://cloudsecurityalliance.org/cloud-security-glossary#authentication-factors
Authentication Services,The function or API or process of determining if someone or something is who or what it is declared to be.,Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#authentication-services
Authenticators,Something that the claimant possesses and controls (typically a key or password) that is used to authenticate the claimant’s identity.,https://csrc.nist.gov/glossary/term/authenticator,https://cloudsecurityalliance.org/cloud-security-glossary#authenticators
Authoritative Time Source,"Assures a traceable, standard time source for use within an infrastructure (e.g., server clocks are synced to the time source to enable events occurring on one server to be correlated with those occurring on another during incident response).",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#authoritative-time-source
Authoritative source,A trusted system that holds the most accurate and up-to-date information about an entity’s identity attributes. This information is then used by other IAM components for tasks like authentication and authorization.,https://csrc.nist.gov/glossary/term/authoritative_source,https://cloudsecurityalliance.org/cloud-security-glossary#authoritative-source
Authorization,The right or a permission that is granted to a system entity to access a system resource.,https://csrc.nist.gov/glossary/term/authorization | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#authorization
Authorization,"The decision to permit or deny a subject access to system objects (network, data, application, service, etc.)",https://csrc.nist.gov/glossary/term/authorization,https://cloudsecurityalliance.org/cloud-security-glossary#authorization
Authorization Events,Events indicating policy decision outcomes about a given subject access to a given object.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#authorization-events
Authorization Services,"A function, API or process that facilitates access control to restricted areas of the operating system/application/service/data and allows the administrator to restrict a user’s or device’s access to particular features.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#authorization-services
Automated security code review,"This is also known as Static Application Security Testing (SAST). With respect to application pre-deployment testing, this process examines an application’s source code to identify existing security flaws or vulnerabilities. It is an automated way to perform a Security Code Review and might be integrated into a CI/CD pipeline or in the developer’s IDE.",https://docs.gitlab.com/ee/user/application_security/sast/,https://cloudsecurityalliance.org/cloud-security-glossary#automated-security-code-review
