"path","current_secid","title","decision","target_type","target_secid","structure_family","confidence","notes"
"control/fedramp.gov/csp-timeliness-and-accuracy-of-testing-requirements/","secid:control/fedramp.gov/csp-timeliness-and-accuracy-of-testing-requirements","CSP Timeliness and Accuracy of Testing Requirements","reclassify-reference","reference","secid:reference/fedramp.gov/csp-timeliness-and-accuracy-of-testing-requirements","","high","Testing requirements memo; prose"
"control/fedramp.gov/csp-vulnerability-scan-requirements-using-sampling/","secid:control/fedramp.gov/csp-vulnerability-scan-requirements-using-sampling","CSP Vulnerability Scan Requirements Using Sampling","reclassify-reference","reference","secid:reference/fedramp.gov/csp-vulnerability-scan-requirements-using-sampling","","high","Sampling requirements doc; prose"
"control/fedramp.gov/csp-vulnerability-scanning-requirements/","secid:control/fedramp.gov/csp-vulnerability-scanning-requirements","CSP Vulnerability Scanning Requirements","reclassify-reference","reference","secid:reference/fedramp.gov/csp-vulnerability-scanning-requirements","","high","Vuln scanning guidance; section-numbered prose"
"control/fedramp.gov/fedramp-ato-letter-template/","secid:control/fedramp.gov/fedramp-ato-letter-template","FedRAMP ATO Letter Template","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-ato-letter-template","","high","Letter template; no controls"
"control/fedramp.gov/fedramp-branding-guidance/","secid:control/fedramp.gov/fedramp-branding-guidance","FedRAMP Branding Guidance","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-branding-guidance","","high","Branding guidance; not security content"
"control/fedramp.gov/fedramp-collaborative-conmon-quick-guide/","secid:control/fedramp.gov/fedramp-collaborative-conmon-quick-guide","FedRAMP Collaborative ConMon Quick Guide","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-collaborative-conmon-quick-guide","","high","Quick guide; prose"
"control/fedramp.gov/fedramp-general-document-acceptance-criteria/","secid:control/fedramp.gov/fedramp-general-document-acceptance-criteria","FedRAMP General Document Acceptance Criteria","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-general-document-acceptance-criteria","","high","Acceptance criteria memo; prose"
"control/fedramp.gov/fedramp-high-moderate-low-li-saas-baseline-system-security-plan-(ssp)/","secid:control/fedramp.gov/fedramp-high-moderate-low-li-saas-baseline-system-security-plan-(ssp)","FedRAMP High Moderate Low LI-SaaS Baseline SSP","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-high-moderate-low-li-saas-baseline-system-security-plan-(ssp)","","high","SSP body template (not Appendix A); template with <Insert> placeholders"
"control/fedramp.gov/fedramp-high-readiness-assessment-report-(rar)-template/","secid:control/fedramp.gov/fedramp-high-readiness-assessment-report-(rar)-template","FedRAMP High RAR Template","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-high-readiness-assessment-report-(rar)-template","","high","RAR template with placeholders"
"control/fedramp.gov/fedramp-moderate-readiness-assessment-report-(rar)-template/","secid:control/fedramp.gov/fedramp-moderate-readiness-assessment-report-(rar)-template","FedRAMP Moderate RAR Template","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-moderate-readiness-assessment-report-(rar)-template","","high","RAR template with placeholders"
"control/fedramp.gov/fedramp-new-cso-or-feature-onboarding-request-template/","secid:control/fedramp.gov/fedramp-new-cso-or-feature-onboarding-request-template","FedRAMP New CSO or Feature Onboarding Request Template","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-new-cso-or-feature-onboarding-request-template","","high","Onboarding request template"
"control/fedramp.gov/fedramp-policy-memo/","secid:control/fedramp.gov/fedramp-policy-memo","FedRAMP Policy Memo","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-policy-memo","","high","Policy memo; prose"
"control/fedramp.gov/fedramp-security-assessment-plan-(sap)-template/","secid:control/fedramp.gov/fedramp-security-assessment-plan-(sap)-template","FedRAMP SAP Template","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-security-assessment-plan-(sap)-template","","high","SAP template with placeholders"
"control/fedramp.gov/fedramp-security-assessment-report-(sar)-template/","secid:control/fedramp.gov/fedramp-security-assessment-report-(sar)-template","FedRAMP SAR Template","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-security-assessment-report-(sar)-template","","high","SAR template with placeholders"
"control/fedramp.gov/fedramp-significant-change-form-template/","secid:control/fedramp.gov/fedramp-significant-change-form-template","FedRAMP Significant Change Form Template","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-significant-change-form-template","","high","Form template"
"control/fedramp.gov/fedramp-subnets-white-paper/","secid:control/fedramp.gov/fedramp-subnets-white-paper","FedRAMP Subnets White Paper","reclassify-reference","reference","secid:reference/fedramp.gov/fedramp-subnets-white-paper","","high","White paper; prose"
"control/fedramp.gov/reusing-authorizations-for-cloud-products-quick-guide/","secid:control/fedramp.gov/reusing-authorizations-for-cloud-products-quick-guide","Reusing Authorizations for Cloud Products Quick Guide","reclassify-reference","reference","secid:reference/fedramp.gov/reusing-authorizations-for-cloud-products-quick-guide","","high","Quick guide; prose"
"control/fedramp.gov/ssp-appendix-a-high-fedramp-security-controls/","secid:control/fedramp.gov/ssp-appendix-a-high-fedramp-security-controls","SSP Appendix A High FedRAMP Security Controls","structure","","","fedramp-baseline","high","FedRAMP High baseline; per-control Control Summary blocks; structurable"
"control/fedramp.gov/ssp-appendix-a-li-saas-fedramp-security-controls/","secid:control/fedramp.gov/ssp-appendix-a-li-saas-fedramp-security-controls","SSP Appendix A LI-SaaS FedRAMP Security Controls","structure","","","fedramp-baseline","high","FedRAMP LI-SaaS baseline; shares schema with High/Mod/Low Appendix A"
"control/fedramp.gov/ssp-appendix-a-low-fedramp-security-controls/","secid:control/fedramp.gov/ssp-appendix-a-low-fedramp-security-controls","SSP Appendix A Low FedRAMP Security Controls","structure","","","fedramp-baseline","high","FedRAMP Low baseline; per-control structure"
"control/fedramp.gov/ssp-appendix-a-moderate-fedramp-security-controls/","secid:control/fedramp.gov/ssp-appendix-a-moderate-fedramp-security-controls","SSP Appendix A Moderate FedRAMP Security Controls","structure","","","fedramp-baseline","high","FedRAMP Moderate baseline; per-control structure"
"control/fedramp.gov/ssp-appendix-f-rules-of-behavior-(rob)-template/","secid:control/fedramp.gov/ssp-appendix-f-rules-of-behavior-(rob)-template","SSP Appendix F Rules of Behavior Template","reclassify-reference","reference","secid:reference/fedramp.gov/ssp-appendix-f-rules-of-behavior-(rob)-template","","high","RoB template; <Insert> placeholders"
"control/fedramp.gov/ssp-appendix-g-information-system-contingency-plan-(iscp)-template/","secid:control/fedramp.gov/ssp-appendix-g-information-system-contingency-plan-(iscp)-template","SSP Appendix G ISCP Template","reclassify-reference","reference","secid:reference/fedramp.gov/ssp-appendix-g-information-system-contingency-plan-(iscp)-template","","high","ISCP template; <Insert> placeholders"
"control/fedramp.gov/ssp-appendix-q-cryptographic-modules-table/","secid:control/fedramp.gov/ssp-appendix-q-cryptographic-modules-table","SSP Appendix Q Cryptographic Modules Table","reclassify-reference","reference","secid:reference/fedramp.gov/ssp-appendix-q-cryptographic-modules-table","","high","Crypto modules table template for fill-in by CSP"
"control/fedramp.gov/threat-based-risk-profiling-methodology/","secid:control/fedramp.gov/threat-based-risk-profiling-methodology","Threat-Based Risk Profiling Methodology","reclassify-methodology","methodology","secid:methodology/fedramp.gov/threat-based-risk-profiling-methodology","","high","Risk-profiling methodology; phase-based process not control catalog"
"control/fedramp.gov/vulnerability-scanning-requirements-for-containers/","secid:control/fedramp.gov/vulnerability-scanning-requirements-for-containers","Vulnerability Scanning Requirements for Containers","reclassify-reference","reference","secid:reference/fedramp.gov/vulnerability-scanning-requirements-for-containers","","high","Container-scan requirements prose"
"control/nist.gov/1800-13/","secid:control/nist.gov/1800-13","Mobile Application Single Sign-On","reclassify-reference","reference","secid:reference/nist.gov/1800-13","","high","NCCoE practice guide; prose+architecture"
"control/nist.gov/1800-26/","secid:control/nist.gov/1800-26","Data Integrity: Detecting and Responding to Ransomware","reclassify-reference","reference","secid:reference/nist.gov/1800-26","","high","NCCoE practice guide; prose+architecture"
"control/nist.gov/800-100/","secid:control/nist.gov/800-100","Information Security Handbook: A Guide for Managers","reclassify-reference","reference","secid:reference/nist.gov/800-100","","high","Handbook for managers; prose guidance"
"control/nist.gov/800-111/","secid:control/nist.gov/800-111","Guide to Storage Encryption Technologies for End User Devices","reclassify-reference","reference","secid:reference/nist.gov/800-111","","high","Technology guide; prose"
"control/nist.gov/800-115/","secid:control/nist.gov/800-115","Technical Guide to Information Security Testing and Assessment","reclassify-reference","reference","secid:reference/nist.gov/800-115","","high","Testing/assessment technical guide; prose"
"control/nist.gov/800-12/","secid:control/nist.gov/800-12","An Introduction to Information Security","reclassify-reference","reference","secid:reference/nist.gov/800-12","","high","Introductory handbook; prose"
"control/nist.gov/800-122/","secid:control/nist.gov/800-122","Guide to Protecting the Confidentiality of PII","reclassify-reference","reference","secid:reference/nist.gov/800-122","","high","PII protection guide; prose"
"control/nist.gov/800-124/","secid:control/nist.gov/800-124","Guidelines for Managing the Security of Mobile Devices in the Enterprise","reclassify-reference","reference","secid:reference/nist.gov/800-124","","high","Mobile device security guide; prose"
"control/nist.gov/800-125/","secid:control/nist.gov/800-125","Guide to Security for Full Virtualization Technologies","reclassify-reference","reference","secid:reference/nist.gov/800-125","","high","Virtualization security guide; prose"
"control/nist.gov/800-126/","secid:control/nist.gov/800-126","The Technical Specification for SCAP","reclassify-reference","reference","secid:reference/nist.gov/800-126","","high","Protocol specification; not controls"
"control/nist.gov/800-128/","secid:control/nist.gov/800-128","Guide for Security-Focused Configuration Management","reclassify-reference","reference","secid:reference/nist.gov/800-128","","high","Configuration mgmt guide; prose"
"control/nist.gov/800-131a/","secid:control/nist.gov/800-131a","Transitioning the Use of Cryptographic Algorithms and Key Lengths","reclassify-reference","reference","secid:reference/nist.gov/800-131a","","high","Crypto transition tables; algorithm spec adjacent"
"control/nist.gov/800-137/","secid:control/nist.gov/800-137","Information Security Continuous Monitoring (ISCM)","reclassify-reference","reference","secid:reference/nist.gov/800-137","","high","ISCM guide; tier-based process prose"
"control/nist.gov/800-145/","secid:control/nist.gov/800-145","The NIST Definition of Cloud Computing","reclassify-reference","reference","secid:reference/nist.gov/800-145","","high","Definition doc; not controls"
"control/nist.gov/800-146/","secid:control/nist.gov/800-146","Cloud Computing Synopsis and Recommendations","reclassify-reference","reference","secid:reference/nist.gov/800-146","","high","Synopsis/recommendations prose"
"control/nist.gov/800-150/","secid:control/nist.gov/800-150","Guide to Cyber Threat Information Sharing","reclassify-reference","reference","secid:reference/nist.gov/800-150","","high","Threat-sharing guide; prose"
"control/nist.gov/800-153/","secid:control/nist.gov/800-153","Guidelines for Securing WLANs","reclassify-reference","reference","secid:reference/nist.gov/800-153","","high","WLAN security guidelines; prose"
"control/nist.gov/800-160-v2/","secid:control/nist.gov/800-160-v2","Developing Cyber-Resilient Systems","reclassify-reference","reference","secid:reference/nist.gov/800-160-v2","","high","Cyber-resiliency engineering prose; companion to 800-160 v1"
"control/nist.gov/800-167/","secid:control/nist.gov/800-167","Guide to Application Whitelisting","reclassify-reference","reference","secid:reference/nist.gov/800-167","","high","Whitelisting deployment guide; prose"
"control/nist.gov/800-177/","secid:control/nist.gov/800-177","Trustworthy Email","reclassify-reference","reference","secid:reference/nist.gov/800-177","","high","Email security guide; prose"
"control/nist.gov/800-181/","secid:control/nist.gov/800-181","Workforce Framework for Cybersecurity (NICE Framework)","reclassify-reference","reference","secid:reference/nist.gov/800-181","","high","Triage correction (PR-C): 800-181 Rev 1 explicitly moved TKS catalog to NICE Resource Center upstream; doc itself is methodology/prose, no embedded catalog to structure."
"control/nist.gov/800-184/","secid:control/nist.gov/800-184","Guide for Cybersecurity Event Recovery","reclassify-reference","reference","secid:reference/nist.gov/800-184","","high","Recovery guide; prose"
"control/nist.gov/800-188/","secid:control/nist.gov/800-188","De-Identifying Government Datasets","reclassify-reference","reference","secid:reference/nist.gov/800-188","","high","De-identification techniques guide; prose"
"control/nist.gov/800-190/","secid:control/nist.gov/800-190","Application Container Security Guide","reclassify-reference","reference","secid:reference/nist.gov/800-190","","high","Container security guide; prose"
"control/nist.gov/800-201/","secid:control/nist.gov/800-201","NIST Cloud Computing Forensic Reference Architecture","reclassify-reference","reference","secid:reference/nist.gov/800-201","","high","Reference architecture; prose"
"control/nist.gov/800-204/","secid:control/nist.gov/800-204","Security Strategies for Microservices-based Application Systems","reclassify-reference","reference","secid:reference/nist.gov/800-204","","high","Microservices security strategies; prose"
"control/nist.gov/800-209/","secid:control/nist.gov/800-209","Security Guidelines for Storage Infrastructure","reclassify-reference","reference","secid:reference/nist.gov/800-209","","high","Storage security guidelines; prose"
"control/nist.gov/800-210/","secid:control/nist.gov/800-210","General Access Control Guidance for Cloud Systems","reclassify-reference","reference","secid:reference/nist.gov/800-210","","high","Access control guidance; prose"
"control/nist.gov/800-213/","secid:control/nist.gov/800-213","IoT Device Cybersecurity Guidance for the Federal Government","reclassify-reference","reference","secid:reference/nist.gov/800-213","","high","Parent doc to 800-213A; prose guidance"
"control/nist.gov/800-213a/","secid:control/nist.gov/800-213a","IoT Device Cybersecurity Requirement Catalogs","structure","","","one-off","high","Catalog with three-letter capability codes (DI/DC/DP/LA/SU); structurable"
"control/nist.gov/800-216/","secid:control/nist.gov/800-216","Recommendations for Federal Vulnerability Disclosure Guidelines","reclassify-reference","reference","secid:reference/nist.gov/800-216","","high","Vuln disclosure recommendations; prose"
"control/nist.gov/800-218a/","secid:control/nist.gov/800-218a","SSDF AI Community Profile","structure","","","nist-ssdf-ai","high","SSDF Practice/Task structure for AI; shares schema with 800-218"
"control/nist.gov/800-219/","secid:control/nist.gov/800-219","Automated Secure Configuration Guidance from mSCP","reclassify-reference","reference","secid:reference/nist.gov/800-219","","high","mSCP project guidance; prose"
"control/nist.gov/800-221/","secid:control/nist.gov/800-221","Enterprise Impact of ICT Risk","reclassify-reference","reference","secid:reference/nist.gov/800-221","","high","ICT risk framing; companion 800-221A has outcomes"
"control/nist.gov/800-223/","secid:control/nist.gov/800-223","HPC Security Architecture and Posture","reclassify-reference","reference","secid:reference/nist.gov/800-223","","high","HPC security reference architecture; prose"
"control/nist.gov/800-224/","secid:control/nist.gov/800-224","TIC 3.0 Implementation Guidance","reclassify-reference","reference","secid:reference/nist.gov/800-224","","high","TIC 3.0 implementation guidance; prose"
"control/nist.gov/800-226/ipd/","secid:control/nist.gov/800-226/ipd","Guidelines for Evaluating Differential Privacy Guarantees (Draft)","reclassify-reference","reference","secid:reference/nist.gov/800-226/ipd","","high","Differential-privacy evaluation guidelines; prose"
"control/nist.gov/800-227/","secid:control/nist.gov/800-227","Recommendations for Key Encapsulation Mechanisms","reclassify-reference","reference","secid:reference/nist.gov/800-227","","high","KEM recommendations; algorithm-spec adjacent"
"control/nist.gov/800-30/r1/","secid:control/nist.gov/800-30","Guide for Conducting Risk Assessments","reclassify-methodology","methodology","secid:methodology/nist.gov/800-30","","high","Risk-assessment process methodology"
"control/nist.gov/800-34/r1/","secid:control/nist.gov/800-34","Contingency Planning Guide for Federal Information Systems","reclassify-reference","reference","secid:reference/nist.gov/800-34","","high","Contingency planning guide; prose"
"control/nist.gov/800-39/","secid:control/nist.gov/800-39","Managing Information Security Risk","reclassify-methodology","methodology","secid:methodology/nist.gov/800-39","","high","Three-tier risk management process methodology"
"control/nist.gov/800-40/","secid:control/nist.gov/800-40","Guide to Enterprise Patch Management Planning","reclassify-reference","reference","secid:reference/nist.gov/800-40","","high","Patch management planning guide; prose"
"control/nist.gov/800-46/","secid:control/nist.gov/800-46","Guide to Enterprise Telework Remote Access and BYOD Security","reclassify-reference","reference","secid:reference/nist.gov/800-46","","high","Telework/BYOD security guide; prose"
"control/nist.gov/800-52/","secid:control/nist.gov/800-52","Guidelines for the Selection Configuration and Use of TLS Implementations","reclassify-reference","reference","secid:reference/nist.gov/800-52","","high","TLS configuration guidelines; prose"
"control/nist.gov/800-57-pt1/","secid:control/nist.gov/800-57-pt1","Recommendation for Key Management Part 1 General","reclassify-reference","reference","secid:reference/nist.gov/800-57-pt1","","high","Key mgmt general recommendations; prose"
"control/nist.gov/800-57-pt2/","secid:control/nist.gov/800-57-pt2","Recommendation for Key Management Part 2 Best Practices for Organizations","reclassify-reference","reference","secid:reference/nist.gov/800-57-pt2","","high","Key mgmt org best practices; prose"
"control/nist.gov/800-57-pt3/","secid:control/nist.gov/800-57-pt3","Recommendation for Key Management Part 3 Application-Specific","reclassify-reference","reference","secid:reference/nist.gov/800-57-pt3","","high","App-specific key mgmt guidance; prose"
"control/nist.gov/800-61/r2/","secid:control/nist.gov/800-61","Computer Security Incident Handling Guide","reclassify-reference","reference","secid:reference/nist.gov/800-61","","medium","IR phase-based guidance; closer to reference than methodology (well-known IR guide)"
"control/nist.gov/800-63/3/","secid:control/nist.gov/800-63","Digital Identity Guidelines (Overview)","reclassify-reference","reference","secid:reference/nist.gov/800-63","","medium","Overview/index doc; the A/B/C parts are already structured separately"
"control/nist.gov/800-77/","secid:control/nist.gov/800-77","Guide to IPsec VPNs","reclassify-reference","reference","secid:reference/nist.gov/800-77","","high","IPsec VPN guide; prose"
"control/nist.gov/800-83/","secid:control/nist.gov/800-83","Guide to Malware Incident Prevention and Handling","reclassify-reference","reference","secid:reference/nist.gov/800-83","","high","Malware incident guide; prose"
"control/nist.gov/800-84/","secid:control/nist.gov/800-84","Guide to Test Training and Exercise Programs","reclassify-reference","reference","secid:reference/nist.gov/800-84","","high","TT&E programs guide; prose"
"control/nist.gov/800-86/","secid:control/nist.gov/800-86","Guide to Integrating Forensic Techniques into Incident Response","reclassify-reference","reference","secid:reference/nist.gov/800-86","","high","Forensic techniques guide; prose"
"control/nist.gov/800-88/r1/","secid:control/nist.gov/800-88","Guidelines for Media Sanitization","reclassify-reference","reference","secid:reference/nist.gov/800-88","","high","Media sanitization guidelines; prose with decision tables but not control catalog"
"control/nist.gov/800-92/","secid:control/nist.gov/800-92","Guide to Computer Security Log Management","reclassify-reference","reference","secid:reference/nist.gov/800-92","","high","Log management guide; prose"
"control/nist.gov/800-94/","secid:control/nist.gov/800-94","Guide to Intrusion Detection and Prevention Systems","reclassify-reference","reference","secid:reference/nist.gov/800-94","","high","IDPS guide; prose"
"control/nist.gov/ai-100-4/","secid:control/nist.gov/ai-100-4","Reducing Risks Posed by Synthetic Content (AI 100-4)","reclassify-reference","reference","secid:reference/nist.gov/ai-100-4","","high","Synthetic-content guidance prose; metadata title is wrong (says adversarial ML)"
"control/nist.gov/fips-140/2/","secid:control/nist.gov/fips-140/2","FIPS 140-2 Security Requirements for Cryptographic Modules","reclassify-reference","reference","secid:reference/nist.gov/fips-140/2","","high","Triage correction (PR-C): withdrawn 2022; Table 1 cells too fragmented by marker rendering; per-section prose blends levels; cost-benefit favors reference per triage's medium-confidence fallback."
"control/nist.gov/fips-140/3/","secid:control/nist.gov/fips-140/3","FIPS 140-3 Security Requirements for Cryptographic Modules","reclassify-reference","reference","secid:reference/nist.gov/fips-140/3","","high","Triage correction (PR-C): normatively defers to ISO/IEC 19790 (private); US-only delta too thin to be a meaningful structured catalog."
"control/nist.gov/fips-180/","secid:control/nist.gov/fips-180","Secure Hash Standard (SHS)","reclassify-reference","reference","secid:reference/nist.gov/fips-180","","high","Algorithm spec (SHA-2 family); mathematical not controls"
"control/nist.gov/fips-186/","secid:control/nist.gov/fips-186","Digital Signature Standard (DSS)","reclassify-reference","reference","secid:reference/nist.gov/fips-186","","high","Algorithm spec (DSA/RSA/ECDSA/EdDSA)"
"control/nist.gov/fips-197/","secid:control/nist.gov/fips-197","Advanced Encryption Standard (AES)","drop","","","","high","Marked WITHDRAWN 2023; superseded by FIPS 197-upd1"
"control/nist.gov/fips-198/","secid:control/nist.gov/fips-198","The Keyed-Hash Message Authentication Code (HMAC)","reclassify-reference","reference","secid:reference/nist.gov/fips-198","","high","Algorithm spec (HMAC)"
"control/nist.gov/fips-199/","secid:control/nist.gov/fips-199","Standards for Security Categorization of Federal Information","structure","","","fips-categorization","high","Three-tier C/I/A impact categorization table; small but structurable"
"control/nist.gov/fips-201/","secid:control/nist.gov/fips-201","PIV of Federal Employees and Contractors","reclassify-reference","reference","secid:reference/nist.gov/fips-201","","medium","PIV credential standard; specification not control catalog"
"control/nist.gov/fips-202/","secid:control/nist.gov/fips-202","SHA-3 Standard","reclassify-reference","reference","secid:reference/nist.gov/fips-202","","high","Algorithm spec (SHA-3/Keccak)"
"control/nist.gov/fips-203/","secid:control/nist.gov/fips-203","Module-Lattice-Based Key-Encapsulation Mechanism Standard","reclassify-reference","reference","secid:reference/nist.gov/fips-203","","high","Algorithm spec (ML-KEM)"
"control/nist.gov/fips-204/","secid:control/nist.gov/fips-204","Module-Lattice-Based Digital Signature Standard","reclassify-reference","reference","secid:reference/nist.gov/fips-204","","high","Algorithm spec (ML-DSA)"
"control/nist.gov/fips-205/","secid:control/nist.gov/fips-205","Stateless Hash-Based Digital Signature Standard","reclassify-reference","reference","secid:reference/nist.gov/fips-205","","high","Algorithm spec (SLH-DSA)"
"control/openai.com/preparedness/","secid:control/openai.com/preparedness","OpenAI Preparedness Framework","reclassify-reference","reference","secid:reference/openai.com/preparedness","","medium","Risk-category framework; not a per-control catalog; closer to a policy/playbook"
"control/pcisecuritystandards.org/pci-dss/v4.0/","secid:control/pcisecuritystandards.org/pci-dss/v4.0","Payment Card Industry Data Security Standard v4.0","structure","","","pci-dss","medium","Superseded by v4.0.1 which is already structured; v4.0 parser-reusable via parse_pci_dss.py from v4.0.1"
