"task_id","group_id","group_name","practice_id","practice_text","task_text","ai_priority","ai_additions","informative_references"
"PO.4.2","PO","Prepare the Organization","PO.4","Define and Use Criteria for Software Security Checks (PO.4): Help ensure that the software resulting from the SDLC meets the organization's expectations by defining and using criteria for checking the software's security during development.","Implement processes, mechanisms, etc. to gather and safeguard the necessary information in support of the criteria. PO.5.1: Separate and protect each environment involved in software development. No additions to SSDF 1.1 High","C1: Consider separating execution environments from each other to the extent feasible, such as through isolation, segmentation, containment, access via APIs, or other means. R1: Monitor, track, and limit resource usage and rates for AI model users during model development. R2: Only store sensitive data used during AI model development, including production data, within organization-approved environments and locations within those environments. R3: Protect all training pipelines, model registries, and other components within the environments according to the principle of least privilege.","OWASP: LLM01-1, LLM01-4, LLM04, LLM08, LLM10 AI RMF: Measure 2.3, 2.7; Manage 1.1 OWASP: LLM01-2 Informative",""
"PO.5.2","PO","Prepare the Organization","PO.5","Implement and Maintain Secure Environments for Software Development (PO.5): Ensure that all components of the environments for software development are strongly protected from internal and external threats to prevent compromises of the environments or the software being developed or maintained within them. Examples of environments for software development include development, AI model training, build, test, and distribution environments. [Modified from SSDF 1.1]","Secure and harden development endpoints (endpoints for software designers, developers, testers, builders, etc.) to perform development tasks using a risk-based approach.","Medium","No additions to SSDF 1.1","OWASP: LLM01-1, LLM05-3, LLM05-9, LLM08"
"PO.5.3","PO","Prepare the Organization","PO.5","Implement and Maintain Secure Environments for Software Development (PO.5): Ensure that all components of the environments for software development are strongly protected from internal and external threats to prevent compromises of the environments or the software being developed or maintained within them. Examples of environments for software development include development, AI model training, build, test, and distribution environments. [Modified from SSDF 1.1]","Continuously monitor software execution performance and behavior in software development environments to identify potential suspicious activity and other issues. [Not part of SSDF 1.1]","High","AI RMF: Measure 2.4 OWASP: LLM03-7, LLM04, LLM05- 8, LLM09, LLM10 R1: Perform continuous security monitoring for all development environment components that host an AI model or related resources (e.g., model APIs, weights, configuration parameters, training datasets). R2: Continuous monitoring and analysis tools should generate alerts when detected activity involving an AI model passes a risk threshold or otherwise merits additional investigation.",""
"PS.1.1","PS","Protect the Software","PS.1","Protect All Forms of Code and Data from Unauthorized Access and Tampering (PS.1): Help prevent unauthorized changes to code and data, both inadvertent and intentional, which could circumvent or negate the intended security characteristics of the software. For code and data that are not intended to be publicly accessible, this helps prevent theft of the software and may make it more difficult or time-consuming for attackers to find vulnerabilities in the software. [Modified from SSDF 1.1]","Store all forms of code - including source code, executable code, and configuration-as-code - based on the principle of least privilege so that only authorized personnel, tools, services, etc. have access.","High","R1: Secure code storage should include AI models, model weights, pipelines, reward models, and any other AI model elements that need their confidentiality, integrity, and/or availability protected. These elements do not all have to be stored in the same place or through the same type of mechanism. R2: Follow the principle of least privilege to minimize direct access to AI models and model elements regardless of where they are stored or executed. R3: Store reward models separately from AI models and data. Informative",""
"PS.1.2","PS","Protect the Software","PS.1","Protect All Forms of Code and Data from Unauthorized Access and Tampering (PS.1): Help prevent unauthorized changes to code and data, both inadvertent and intentional, which could circumvent or negate the intended security characteristics of the software. For code and data that are not intended to be publicly accessible, this helps prevent theft of the software and may make it more difficult or time-consuming for attackers to find vulnerabilities in the software. [Modified from SSDF 1.1]","Protect all training, testing, finetuning, and aligning data from unauthorized access and modification. [Not part of SSDF 1.1]","High","OWASP: LLM03, LLM06, LLM10 R1: Continuously monitor the confidentiality (for non-public data only) and integrity of training, testing, fine-tuning, and aligning data. C1: Consider securely storing training, testing, fine-tuning, and aligning data for future use and reference if feasible.","OWASP: LLM10"
"PS.1.3","PS","Protect the Software","PS.1","Protect All Forms of Code and Data from Unauthorized Access and Tampering (PS.1): Help prevent unauthorized changes to code and data, both inadvertent and intentional, which could circumvent or negate the intended security characteristics of the software. For code and data that are not intended to be publicly accessible, this helps prevent theft of the software and may make it more difficult or time-consuming for attackers to find vulnerabilities in the software. [Modified from SSDF 1.1]","Protect all model weights and configuration parameter data from unauthorized access and modification. [Not part of SSDF 1.1]","High","R1: Keep model weights and configuration parameters separate from training, testing, fine-tuning, and aligning data. R2: Continuously monitor the confidentiality (for closed models only) and integrity of model weights and configuration parameters. R3: Follow the principle of least privilege to restrict access to AI model weights, configuration parameters, and services during development. R4: Specify and implement additional riskproportionate cybersecurity practices around model weights, such as encryption, cryptographic hashes, digital signatures, multiparty authorization, and air-gapped environments.","OWASP: LLM05-6"
"PS.2.1","PS","Protect the Software","PS.2","Provide a Mechanism for Verifying Software Release Integrity (PS.2): Help software acquirers ensure that the software they acquire is legitimate and has not been tampered with.","Make software integrity verification information available to software acquirers.","Medium","R1: Generate and provide cryptographic hashes or digital signatures for an AI model and its components, artifacts, and documentation. R2: Provide digital signatures for AI model changes.",""
"PS.3.1","PS","Protect the Software","PS.3","(PS.3): Preserve software releases in order to","Securely archive the necessary files and supporting data (e.g., integrity verification information, provenance data) to be retained for each software release.","Low","R1: Perform versioning and tracking for Informative","OWASP: LLM10"
"PS.3.2","PS","Protect the Software","PS.3","(PS.3): Preserve software releases in order to","Collect, safeguard, maintain, and share provenance data for all components of each software release (e.g., in a software bill of materials [SBOM], through Supply-chain Levels for Software Artifacts [SLSA]). [Modified from SSDF 1.1]","","OWASP: LLM03-1, LLM05-4, LLM05-5, LLM10",""
"PW.1.1","PW","Produce Well-Secured Software","PW.1","Design Software to Meet Security Requirements and Mitigate Security Risks (PW.1): Identify and evaluate the security requirements for the software; determine what security risks the software is likely to face during operation and how the software's design and architecture should mitigate those risks; and justify any cases where risk-based analysis indicates that security requirements should be relaxed or waived. Addressing","","Medium","R1: Track the provenance of an AI model and its components and derivatives, including the training libraries, frameworks, and pipelines used to build the model. R2: Track AI models that were trained on sensitive data (e.g., payment card data, protected health information, other types of personally identifiable information), and determine if access to the models should be restricted to individuals who already have access to the sensitive data used for training. C1: Consider disclosing the provenance of the training, testing, fine-tuning, and aligning data used for an AI model. R1: Incorporate relevant AI model-specific vulnerability and threat types in risk modeling. Examples of these vulnerability and threat types include poisoning of training data, malicious code or other unwanted content in inputs and outputs, denial-of-service conditions arising from adversarial prompts, supply chain attacks, unauthorized information disclosure, theft of AI model weights, and misconfiguration of data pipelines. [3] Informative LLM07, LLM08, LLM09, LLM10","AI RMF: Govern 4.1, 4.2; Map 5.1; Measure 1.1; Manage 1.2, 1.3 OWASP: LLM01, LLM02, LLM03, LLM04, LLM05, LLM06,"
"PW.1.2","PW","Produce Well-Secured Software","PW.1","Design Software to Meet Security Requirements and Mitigate Security Risks (PW.1): Identify and evaluate the security requirements for the software; determine what security risks the software is likely to face during operation and how the software's design and architecture should mitigate those risks; and justify any cases where risk-based analysis indicates that security requirements should be relaxed or waived. Addressing","Track and maintain the software's security requirements, risks, and design decisions.","Medium","No additions to SSDF 1.1 No additions to SSDF 1.1","AI RMF: Govern 4.1, 4.2; Map 2.1, 2.2, 2.3, 3.2, 3.3, 4.1, 4.2, 5.2; Manage 1.2, 1.3, 1.4"
"PW.1.3","PW","Produce Well-Secured Software","PW.1","Design Software to Meet Security Requirements and Mitigate Security Risks (PW.1): Identify and evaluate the security requirements for the software; determine what security risks the software is likely to face during operation and how the software's design and architecture should mitigate those risks; and justify any cases where risk-based analysis indicates that security requirements should be relaxed or waived. Addressing","Where appropriate, build in support for using standardized security features and services (e.g., enabling software to integrate with existing log management, identity management, access control, and vulnerability management systems) instead of creating proprietary implementations of security features and services.","High","No additions to SSDF 1.1","AI RMF: Measure 2.7; Manage 1.1"
"PW.2.1","PW","Produce Well-Secured Software","PW.2","Review the Software Design to Verify Compliance with Security Requirements and Risk Information (PW.2): Help ensure that the software will meet the security requirements and satisfactorily address the identified risk information.","Have 1) a qualified person (or people) who were not involved with the design and 2) automated processes instantiated in the toolchain review the software design to confirm and enforce that it meets all of the security requirements and satisfactorily addresses the identified risk information. [Modified from SSDF 1.1]","High","R1: Verify the provenance (when known) and integrity of training, testing, fine-tuning, and aligning data before use.",""
"PW.3.1","PW","Produce Well-Secured Software","PW.3","Confirm the Integrity of Training, Testing, Fine-Tuning, and Aligning Data Before Use (PW.3): Prevent data that is likely to negatively impact the cybersecurity of the AI model from","Analyze data for signs of data poisoning, bias, homogeneity, and tampering before using it for AI model training, testing, fine-tuning, or aligning R2: Select and apply appropriate methods for analyzing and altering the training, testing, finetuning, and aligning data for an AI model. Examples of methods include anomaly detection, bias detection, data cleaning, data curation, data filtering, data sanitization, factchecking, and noise reduction. C1: Consider using a human-in-the-loop to examine data, such as with exploratory data analysis techniques [18].","Informative","AI RMF: Measure 2.1; Manage 1.2, 1.3",""
"PW.3.2","PW","Produce Well-Secured Software","PW.3","Confirm the Integrity of Training, Testing, Fine-Tuning, and Aligning Data Before Use (PW.3): Prevent data that is likely to negatively impact the cybersecurity of the AI model from","Track the provenance, when known, of all training, testing, fine-tuning, and aligning data used for an AI model, and document which data do not have known provenance. [Not part of SSDF 1.1] Medium","AI RMF: Measure 2.1 OWASP: LLM03-1 Adv ML","",""
"PW.3.3","PW","Produce Well-Secured Software","PW.3","Confirm the Integrity of Training, Testing, Fine-Tuning, and Aligning Data Before Use (PW.3): Prevent data that is likely to negatively impact the cybersecurity of the AI model from","Include adversarial samples in the training and testing data to improve attack prevention. [Not part of SSDF 1.1] Medium of creating a new one.","R1: Use a process and corresponding controls to test the adversarial samples and put appropriate guardrails on training and testing use.","OWASP: LLM05",""
"PW.4.1","PW","Produce Well-Secured Software","PW.4","Reuse Existing, Well-Secured Software When Feasible Instead of Duplicating Functionality (PW.4): Lower the costs of software development, expedite software development, and decrease the likelihood of introducing additional security vulnerabilities into the software by reusing software modules and services that have already had their security posture checked. This is particularly important for software that implements security functionality, such as cryptographic modules and protocols.","Acquire and maintain wellsecured software components (e.g., software libraries, modules, middleware, frameworks) from commercial, opensource, and other third-party developers for use by the organization's software. Low","OWASP: LLM03-6, LLM05-7 Adv ML","",""
"PW.4.2","PW","Produce Well-Secured Software","PW.4","Reuse Existing, Well-Secured Software When Feasible Instead of Duplicating Functionality (PW.4): Lower the costs of software development, expedite software development, and decrease the likelihood of introducing additional security vulnerabilities into the software by reusing software modules and services that have already had their security posture checked. This is particularly important for software that implements security functionality, such as cryptographic modules and protocols.","Create and maintain well-secured software components in-house following SDLC processes to meet common internal software development needs that cannot be better met by third-party software components. PW.4.4: Verify that acquired commercial, open-source, and all other third-party software components comply with the requirements, as defined by the organization, throughout their life cycles.","R1: Verify the integrity, provenance, and security of an existing AI model or any other acquired AI components - including training, testing, fine-tuning, and aligning datasets;","OWASP: LLM05-2, LLM05-6 Adv ML","Informative"
"PW.5.1","PW","Produce Well-Secured Software","PW.5","Create Source Code by Adhering to Secure Coding Practices (PW.5): Decrease the number of security vulnerabilities in the software, and reduce costs by minimizing vulnerabilities introduced during source code creation that meet or exceed organization-defined vulnerability severity criteria.","Follow all secure coding practices that are appropriate to the development languages and environment to meet the organization's requirements.","","","AI RMF: Manage 1.2, 1.3, 1.4 OWASP: LLM01, LLM02, LLM04-1, LLM06, LLM07, LLM09-9, LLM10"
"PW.6.1","PW","Produce Well-Secured Software","PW.6","Configure the Compilation, Interpreter, and Build Processes to Improve Executable Security (PW.6): Decrease the number of security vulnerabilities in the software and reduce costs by eliminating vulnerabilities before testing occurs.","","High","R1: Expand secure coding practices to include AI technology-specific considerations. R2: Code the handling of inputs (including prompts and user data) and outputs carefully. All inputs and outputs should be logged, analyzed, and validated within the context of the AI model, and those with issues should be sanitized or dropped. R3: Encode inputs and outputs to prevent the execution of unauthorized code. C1: Consider using secure model serialization mechanisms that reduce or eliminate vectors for the introduction of malicious content.",""
"PW.6.2","PW","Produce Well-Secured Software","PW.6","Configure the Compilation, Interpreter, and Build Processes to Improve Executable Security (PW.6): Decrease the number of security vulnerabilities in the software and reduce costs by eliminating vulnerabilities before testing occurs.","Determine which compiler, interpreter, and build tool features should be used and how each should be configured, then implement and use the approved configurations.","Low","C1: Consider capturing compiler, interpreter, and build tool versions and features as part of the provenance tracking.",""
"PW.7.1","PW","Produce Well-Secured Software","PW.7","Review and/or Analyze Human-Readable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements (PW.7): Help identify vulnerabilities so that they can be corrected before the software is released to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities. Human-readable code includes source code, scripts, and any other form of code that an organization deems human-readable.","","Medium","R1: Code review and analysis policies or guidelines should include code for AI models and other related components. C1: Consider performing scans of AI model code in addition to testing the AI models. R1: Scan all AI models for malware, vulnerabilities, backdoors, and other security issues in accordance with the organization's code review and analysis policies or guidelines.",""
"PW.7.2","PW","Produce Well-Secured Software","PW.7","Review and/or Analyze Human-Readable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements (PW.7): Help identify vulnerabilities so that they can be corrected before the software is released to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities. Human-readable code includes source code, scripts, and any other form of code that an organization deems human-readable.","Perform the code review and/or code analysis based on the organization's secure coding standards, and record and triage all discovered issues and recommended remediations in the","","","AI RMF: Measure 2.3, 2.7; Manage 1.1, 1.2, 1.3, 1.4"
"PW.8.1","PW","Produce Well-Secured Software","PW.8","Test Executable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements (PW.8): Help identify vulnerabilities so that they can be corrected before the software is released in order to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities and improves traceability and repeatability. Executable code includes binaries, directly executed bytecode and source code, and any other form of code that an organization deems executable.","Determine whether executable code testing should be performed to find vulnerabilities not identified by previous reviews, analysis, or testing and, if so, which types of testing should be used. development team's workflow or issue tracking system.","High","R1: Include AI models in code testing policies and guidelines. Several forms of code testing can be used for AI models, including unit testing, integration testing, penetration testing, red teaming, use case testing, and adversarial testing. C1: Consider automating tests within a development pipeline as part of regression testing where possible.","Informative OWASP: LLM03-7d, LLM07-4"
"PW.8.2","PW","Produce Well-Secured Software","PW.8","Test Executable Code to Identify Vulnerabilities and Verify Compliance with Security Requirements (PW.8): Help identify vulnerabilities so that they can be corrected before the software is released in order to prevent exploitation. Using automated methods lowers the effort and resources needed to detect vulnerabilities and improves traceability and repeatability. Executable code includes binaries, directly executed bytecode and source code, and any other form of code that an organization deems executable.","Scope the testing, design the tests, perform the testing, and document the results, including recording and triaging all discovered issues and recommended remediations in the development team's workflow or issue tracking system.","High","R1: Test all AI models for vulnerabilities in accordance with the organization's code testing policies or guidelines. R2: Retest AI models when they are retrained or new data sources are added. No additions to SSDF 1.1","AI RMF: Measure 2.2, 2.3, 2.7; Manage 1.1, 1.2, 1.3, 1.4 OWASP: LLM03-7d, LLM05-7, LLM07-4 AI RMF: Measure 2.7"
"PW.9.1","PW","Produce Well-Secured Software","PW.9","Configure Software to Have Secure Settings by Default (PW.9): Help improve the security of the software at the time of installation to reduce the likelihood of the software being deployed with weak security settings, putting it at greater risk of compromise.","Define a secure baseline by determining how to configure each setting that has an effect on security or a securityrelated setting so that the default settings are secure and do not weaken the security functions provided by the platform, network infrastructure, or services.","Medium","N1: Documenting settings can be performed earlier in the process, such as when defining a secure baseline (see PW.9.1).",""
"PW.9.2","PW","Produce Well-Secured Software","PW.9","Configure Software to Have Secure Settings by Default (PW.9): Help improve the security of the software at the time of installation to reduce the likelihood of the software being deployed with weak security settings, putting it at greater risk of compromise.","Implement the default settings (or groups of default settings, if applicable), and document each setting for software administrators.","","","AI RMF: Measure 2.7; Manage 1.2, 1.3, 1.4"
"RV.1.1","RV","Respond to Vulnerabilities","RV.1","Respond to Vulnerabilities (RV) Identify and Confirm Vulnerabilities on an Ongoing Basis (RV.1): Help ensure that vulnerabilities are identified more quickly so","Gather information from software acquirers, users, and public sources on potential vulnerabilities in the software and third-party components that the software uses, and investigate all credible reports.","High","R1: Log, monitor, and analyze all inputs and outputs for AI models to detect possible security and performance issues (see PO.5.3). R2: Make the users of AI models aware of mechanisms for reporting potential security and performance issues. N1: In this context, ""users"" refers to AI system producers and acquirers who are using an AI model. R3: Monitor vulnerability and incident databases for information on AI-related concerns, including the machine learning frameworks and libraries used to build AI models.","AI RMF: Govern 4.3, 5.1, 6.1, 6.2; Informative Measure 1.2, 2.4, 2.5, 2.7, 3.1, 3.2, 3.3; Manage 4.1 OWASP: LLM03-7a, LLM09, LLM10"
"RV.1.2","RV","Respond to Vulnerabilities","RV.1","Respond to Vulnerabilities (RV) Identify and Confirm Vulnerabilities on an Ongoing Basis (RV.1): Help ensure that vulnerabilities are identified more quickly so","Review, analyze, and/or test the software's code to identify or confirm the presence of previously undetected vulnerabilities.","Medium","R1: Scan and test AI models frequently to identify previously undetected vulnerabilities. R2: Rely mainly on automation for ongoing scanning and testing, and involve a human-inthe-loop as needed. R3: Conduct periodic audits of AI models.","AI RMF: Govern 4.3; Measure 1.3, 2.4, 2.7, 3.1; Manage 4.1 OWASP: LLM03-7b, LLM03-7d"
"RV.1.3","RV","Respond to Vulnerabilities","RV.1","Respond to Vulnerabilities (RV) Identify and Confirm Vulnerabilities on an Ongoing Basis (RV.1): Help ensure that vulnerabilities are identified more quickly so","Have a policy that addresses vulnerability disclosure and remediation, and implement the roles, responsibilities, and processes needed to support that policy.","Medium","R1: Include AI model vulnerabilities in organization vulnerability disclosure and remediation policies. R2: Make users of AI models aware of their inherent limitations and how to report any cybersecurity problems that they encounter.","AI RMF: Govern 4.3, 5.1, 6.1; Measure 3.1, 3.3; Manage 4.3"
"RV.2.1","RV","Respond to Vulnerabilities","RV.2","Assess, Prioritize, and Remediate Vulnerabilities (RV.2): Help ensure that vulnerabilities are remediated in accordance with risk to reduce the window of opportunity for attackers.","Analyze each vulnerability to gather sufficient information about risk to plan its remediation or other risk response.","Medium","N1: This may include deep analysis of generative AI and dual-use foundation model input and output to detect deviations from normal behavior.","AI RMF: Govern 4.3, 5.1, 6.1; Measure 2.7, 3.1; Manage 1.2, 2.3, 4.1 Adv ML"
"RV.2.2","RV","Respond to Vulnerabilities","RV.2","Assess, Prioritize, and Remediate Vulnerabilities (RV.2): Help ensure that vulnerabilities are remediated in accordance with risk to reduce the window of opportunity for attackers.","Plan and implement risk responses for vulnerabilities.","High","R1: Risk responses for AI models should consider the time and expenses that may be associated with rebuilding them.","AI RMF: Govern 5.1, 5.2, 6.1; Measure 3.3; Manage 1.3, 2.1, 2.3, 2.4, 4.1 Informative"
"RV.3.1","RV","Respond to Vulnerabilities","RV.3","Analyze Vulnerabilities to Identify Their Root Causes (RV.3): Help reduce the frequency of vulnerabilities in the future.","Analyze identified vulnerabilities","Medium","N1: The ability to review training, testing, finetuning, and aligning data after the fact can help","AI RMF: Govern 5.1, 6.1; Measure 2.7, 3.1; Manage 2.3, 4.1"
"RV.3.2","RV","Respond to Vulnerabilities","RV.3","Analyze Vulnerabilities to Identify Their Root Causes (RV.3): Help reduce the frequency of vulnerabilities in the future.","Analyze the root causes over time to identify patterns, such as a particular secure coding practice not being followed consistently.","No additions to SSDF 1.1","","AI RMF: Govern 5.1, 6.1; Measure 2.7, 3.1; Manage 4.1, 4.3"
"RV.3.3","RV","Respond to Vulnerabilities","RV.3","Analyze Vulnerabilities to Identify Their Root Causes (RV.3): Help reduce the frequency of vulnerabilities in the future.","Review the software for similar vulnerabilities to eradicate a class of vulnerabilities, and proactively fix them rather than waiting for external reports.","No additions to SSDF 1.1","","AI RMF: Govern 5.1, 5.2, 6.1; Measure 2.7, 3.1; Manage 4.1, 4.2, 4.3"
"RV.3.4","RV","Respond to Vulnerabilities","RV.3","Analyze Vulnerabilities to Identify Their Root Causes (RV.3): Help reduce the frequency of vulnerabilities in the future.","Review the SDLC process, and update it if appropriate to prevent (or reduce the likelihood of) the root cause recurring in updates to the software or in new software that is created.","No additions to SSDF 1.1","","AI RMF: Govern 5.2, 6.1; Measure 2.7, 3.1; Manage 4.2, 4.3"
