"id","name","description","tactics","subtechnique_of","attack_reference","maturity","created_date","modified_date"
"AML.T0011","User Execution","An adversary may rely upon specific actions by a user in order to gain execution.
Users may inadvertently execute unsafe code introduced via [AI Supply Chain Compromise](/techniques/AML.T0010).
Users may be subjected to social engineering to get them to execute malicious code by, for example, opening a malicious document file or link.
","AML.TA0005","","{'id': 'T1204', 'url': 'https://attack.mitre.org/techniques/T1204/'}","realized","2021-05-13","2023-01-18"
"AML.T0011.000","Unsafe AI Artifacts","Adversaries may develop unsafe AI artifacts that when executed have a deleterious effect.
The adversary can use this technique to establish persistent access to systems.
These models may be introduced via a [AI Supply Chain Compromise](/techniques/AML.T0010).

Serialization of models is a popular technique for model storage, transfer, and loading.
However, this format without proper checking presents an opportunity for code execution.","","AML.T0011","","realized","2021-05-13","2025-04-09"
"AML.T0011.001","Malicious Package","Adversaries may develop malicious software packages that when imported by a user have a deleterious effect.
Malicious packages may behave as expected to the user. They may be introduced via [AI Supply Chain Compromise](/techniques/AML.T0010). They may not present as obviously malicious to the user and may appear to be useful for an AI-related task.","","AML.T0011","","realized","2025-03-12","2025-03-12"
"AML.T0011.002","Poisoned AI Agent Tool","A victim may invoke a poisoned tool when interacting with their AI agent. A poisoned tool may execute an [LLM Prompt Injection](/techniques/AML.T0051) or perform [AI Agent Tool Invocation](/techniques/AML.T0053).

Poisoned AI agent tools may be introduced into the victim's environment via [AI Software](/techniques/AML.T0010.001), or the user may configure their agent to connect to remote tools.","","AML.T0011","","realized","2026-01-30","2026-02-05"
"AML.T0011.003","Malicious Link","An adversary may rely upon a user clicking a malicious link in order to gain execution. Users may be subjected to social engineering to get them to click on a link that will lead to code execution. This user action will typically be observed as follow-on behavior from Spearphishing Link. Clicking on a link may also lead to other execution techniques such as exploitation of a browser or application vulnerability via Exploitation for Client Execution. Links may also lead users to download files that require execution via Malicious File.

There are many ways an adversary can leverage malicious links to gain access to a victim system via an AI system. For example, an AI Agent that is configured to not validate website origin headers will accept connections from any website, allowing adversaries the ability to get around previously inaccessible network.","","AML.T0011","{'id': 'T1204', 'url': 'https://attack.mitre.org/techniques/T1204/'}","demonstrated","2026-01-30","2026-02-05"
"AML.T0012","Valid Accounts","Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access.
Credentials may take the form of usernames and passwords of individual user accounts or API keys that provide access to various AI resources and services.

Compromised credentials may provide access to additional AI artifacts and allow the adversary to perform [Discover AI Artifacts](/techniques/AML.T0007).
Compromised credentials may also grant an adversary increased privileges such as write access to AI artifacts used during development or production.","AML.TA0004; AML.TA0012","","{'id': 'T1078', 'url': 'https://attack.mitre.org/techniques/T1078/'}","realized","2022-01-24","2025-12-24"
"AML.T0013","Discover AI Model Ontology","Adversaries may discover the ontology of an AI model's output space, for example, the types of objects a model can detect.
The adversary may discovery the ontology by repeated queries to the model, forcing it to enumerate its output space.
Or the ontology may be discovered in a configuration file or in documentation about the model.

The model ontology helps the adversary understand how the model is being used by the victim.
It is useful to the adversary in creating targeted attacks.","AML.TA0008","","","demonstrated","2021-05-13","2025-04-09"
"AML.T0014","Discover AI Model Family","Adversaries may discover the general family of model.
General information about the model may be revealed in documentation, or the adversary may use carefully constructed examples and analyze the model's responses to categorize it.

Knowledge of the model family can help the adversary identify means of attacking the model and help tailor the attack.
","AML.TA0008","","","feasible","2021-05-13","2025-04-09"
"AML.T0015","Evade AI Model","Adversaries can [Craft Adversarial Data](/techniques/AML.T0043) that prevents an AI model from correctly identifying the contents of the data or [Generate Deepfakes](/techniques/AML.T0088) that fools an AI model expecting authentic data.

This technique can be used to evade a downstream task where AI is utilized. The adversary may evade AI-based virus/malware detection or network scanning towards the goal of a traditional cyber attack. AI model evasion through deepfake generation may also provide initial access to systems that use AI-based biometric authentication.","AML.TA0004; AML.TA0007; AML.TA0011","","","realized","2021-05-13","2025-11-04"
"AML.T0016","Obtain Capabilities","Adversaries may search for and obtain software capabilities for use in their operations.
Capabilities may be specific to AI-based attacks [Adversarial AI Attack Implementations](/techniques/AML.T0016.000) or generic software tools repurposed for malicious intent ([Software Tools](/techniques/AML.T0016.001)). In both instances, an adversary may modify or customize the capability to aid in targeting a particular AI-enabled system.","AML.TA0003","","{'id': 'T1588', 'url': 'https://attack.mitre.org/techniques/T1588/'}","realized","2021-05-13","2025-04-09"
"AML.T0016.000","Adversarial AI Attack Implementations","Adversaries may search for existing open source implementations of AI attacks. The research community often publishes their code for reproducibility and to further future research. Libraries intended for research purposes, such as CleverHans, the Adversarial Robustness Toolbox, and FoolBox, can be weaponized by an adversary. Adversaries may also obtain and use tools that were not originally designed for adversarial AI attacks as part of their attack.","","AML.T0016","","realized","2021-05-13","2025-04-09"
"AML.T0016.001","Software Tools","Adversaries may search for and obtain software tools to support their operations.
Software designed for legitimate use may be repurposed by an adversary for malicious intent.
An adversary may modify or customize software tools to achieve their purpose.
Software tools used to support attacks on AI systems are not necessarily AI-based themselves.","","AML.T0016","{'id': 'T1588.002', 'url': 'https://attack.mitre.org/techniques/T1588/002/'}","realized","2021-05-13","2025-04-09"
"AML.T0016.002","Generative AI","Adversaries may search for and obtain generative AI models or tools, such as large language models (LLMs), to assist them in various steps of their operation. Generative AI can be used in a variety of malicious ways, such as to generating malware, to [Generate Deepfakes](/techniques/AML.T0088), to [Generate Malicious Commands](/techniques/AML.T0102), for [Retrieval Content Crafting](/techniques/AML.T0066), or to generate [Phishing](/techniques/AML.T0052) content.

Adversaries may obtain open source models and serve them locally using frameworks such as [Ollama](https://ollama.com/) or [vLLM]( https://docs.vllm.ai/en/latest/). They may host them using cloud infrastructure. Or, they may leverage AI service providers such as HuggingFace.

They may need to jailbreak the model (see [LLM Jailbreak](/techniques/AML.T0054)) to bypass any restrictions put in place to limit the types of responses it can generate. They may also need to break the terms of service of the model's developer.

Generative AI models may also be ""uncensored"" meaning they are designed to generate content without any restrictions such as guardrails or content filters. Uncensored GenAI is ripe for abuse by cybercriminals [\[1\]][1] [\[2\]][2]. Models may be fine-tuned to remove alignment and guardrails [\[3\]][3] or be subjected to targeted manipulations to bypass refusal [\[4\]][4] resulting in uncensored variants of the model. Uncensored models may be built for offensive and defensive cybersecurity [\[5\]][5], which can be abused by an adversary. There are also models that are expressly designed and advertised for malicious use [\[6\]][6].

[1]: https://blog.talosintelligence.com/cybercriminal-abuse-of-large-language-models/
[2]: https://gbhackers.com/cybercriminals-exploit-llm-models/
[3]: https://erichartford.com/uncensored-models
[4]: https://arxiv.org/abs/2406.11717/
[5]: https://taico.ca/posts/whiterabbitneo/
[6]: https://gbhackers.com/wormgpt-enhanced-with-grok-and-mixtral/","","AML.T0016","","realized","2025-03-12","2025-12-23"
"AML.T0017","Develop Capabilities","Adversaries may develop their own capabilities to support operations. This process encompasses identifying requirements, building solutions, and deploying capabilities. Capabilities used to support attacks on AI-enabled systems are not necessarily AI-based themselves. Examples include setting up websites with adversarial information or creating Jupyter notebooks with obfuscated exfiltration code.","AML.TA0003","","{'id': 'T1587', 'url': 'https://attack.mitre.org/techniques/T1587/'}","realized","2023-10-25","2025-04-09"
"AML.T0017.000","Adversarial AI Attacks","Adversaries may develop their own adversarial attacks.
They may leverage existing libraries as a starting point ([Adversarial AI Attack Implementations](/techniques/AML.T0016.000)).
They may implement ideas described in public research papers or develop custom made attacks for the victim model.
","","AML.T0017","","demonstrated","2023-10-25","2025-04-09"
"AML.T0018","Manipulate AI Model","Adversaries may directly manipulate an AI model to change its behavior or introduce malicious code. Manipulating a model gives the adversary a persistent change in the system. This can include poisoning the model by changing its weights, modifying the model architecture to change its behavior, and embedding malware which may be executed when the model is loaded.","AML.TA0006; AML.TA0001","","","realized","2021-05-13","2025-04-14"
"AML.T0018.000","Poison AI Model","Adversaries may manipulate an AI model's weights to change it's behavior or performance, resulting in a poisoned model.
Adversaries may poison a model by directly manipulating its weights, training the model on poisoned data, further fine-tuning the model, or otherwise interfering with its training process. 

The change in behavior of poisoned models may be limited to targeted categories in predictive AI models, or targeted topics, concepts, or facts in generative AI models, or aim for a general performance degradation.","","AML.T0018","","demonstrated","2021-05-13","2025-12-23"
"AML.T0018.001","Modify AI Model Architecture","Adversaries may directly modify an AI model's architecture to re-define it's behavior. This can include adding or removing layers as well as adding pre or post-processing operations.

The effects could include removing the ability to predict certain classes, adding erroneous operations to increase computation costs, or degrading performance. Additionally, a separate adversary-defined network could be injected into the computation graph, which can change the behavior based on the inputs, effectively creating a backdoor.","","AML.T0018","","demonstrated","2021-05-13","2024-04-11"
"AML.T0018.002","Embed Malware","Adversaries may embed malicious code into AI Model files.
AI models may be packaged as a combination of instructions and weights.
Some formats such as pickle files are unsafe to deserialize because they can contain unsafe calls such as exec.
Models with embedded malware may still operate as expected.
It may allow them to achieve Execution, Command & Control, or Exfiltrate Data.","","AML.T0018","","realized","2025-04-09","2025-04-09"
"AML.T0019","Publish Poisoned Datasets","Adversaries may [Poison Training Data](/techniques/AML.T0020) and publish it to a public location.
The poisoned dataset may be a novel dataset or a poisoned variant of an existing open source dataset.
This data may be introduced to a victim system via [AI Supply Chain Compromise](/techniques/AML.T0010).
","AML.TA0003","","","demonstrated","2021-05-13","2021-05-13"
"AML.T0020","Poison Training Data","Adversaries may attempt to poison datasets used by an AI model by modifying the underlying data or its labels.
This allows the adversary to embed vulnerabilities in AI models trained on the data that may not be easily detectable.
Data poisoning attacks may or may not require modifying the labels.
The embedded vulnerability is activated at a later time by data samples with an [Insert Backdoor Trigger](/techniques/AML.T0043.004)

Poisoned data can be introduced via [AI Supply Chain Compromise](/techniques/AML.T0010) or the data may be poisoned after the adversary gains [Initial Access](/tactics/AML.TA0004) to the system.","AML.TA0003; AML.TA0006","","","realized","2021-05-13","2025-04-09"
