"id","name","description","techniques","ml_lifecycle","category","created_date","modified_date"
"AML.M0010","Input Restoration","Preprocess all inference data to nullify or reverse potential adversarial perturbations.
","{'id': 'AML.T0043.001', 'use': 'Input restoration adds an extra layer of unknowns and randomness when an adversary evaluates the input-output relationship.\n'}; {'id': 'AML.T0015', 'use': 'Preprocessing model inputs can prevent malicious data from going through the machine learning pipeline.\n'}; {'id': 'AML.T0031', 'use': 'Preprocessing model inputs can prevent malicious data from going through the machine learning pipeline.\n'}; {'id': 'AML.T0043', 'use': 'Input restoration can help remediate adversarial inputs.'}; {'id': 'AML.T0043.002', 'use': 'Input restoration can help remediate adversarial inputs.'}; {'id': 'AML.T0043.004', 'use': 'Input restoration can help remediate adversarial inputs.'}; {'id': 'AML.T0043.000', 'use': 'Input restoration can help remediate adversarial inputs.'}; {'id': 'AML.T0043.003', 'use': 'Input restoration can help remediate adversarial inputs.'}","Data Preparation; ML Model Evaluation; Deployment; Monitoring and Maintenance","Technical - ML","2023-04-12","2025-12-23"
"AML.M0011","Restrict Library Loading","Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.

File formats such as pickle files that are commonly used to store AI models can contain exploits that allow for loading of malicious libraries.","{'id': 'AML.T0011.000', 'use': 'Restrict library loading by ML artifacts.\n'}; {'id': 'AML.T0011.001', 'use': 'Restricting packages from loading external libraries can limit their ability to execute malicious code.'}; {'id': 'AML.T0011', 'use': 'Restricting binaries from loading external libraries can limit their ability to execute malicious code.'}","Deployment","Technical - Cyber","2023-04-12","2025-12-23"
"AML.M0012","Encrypt Sensitive Information","Encrypt sensitive data such as AI models to protect against adversaries attempting to access sensitive data.","{'id': 'AML.T0035', 'use': 'Protect machine learning artifacts with encryption.\n'}; {'id': 'AML.T0048.004', 'use': 'Protect machine learning artifacts with encryption.\n'}; {'id': 'AML.T0007', 'use': 'Encrypting AI artifacts can protect against adversary attempts to discover sensitive information.'}; {'id': 'AML.T0063', 'use': 'Encrypting model outputs can prevent adversaries from discovering sensitive information about the AI-enabled system or its operations.'}","Data Preparation; ML Model Engineering; Deployment","Technical - Cyber","2023-04-12","2025-12-23"
"AML.M0013","Code Signing","Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing. Adversaries can embed malicious code in AI software or models. Developers should also cryptographically sign SBOM and AIBOM components that track model or data provenance. Enforcement of code signing can prevent the compromise of the AI supply chain and prevent execution of malicious code.","{'id': 'AML.T0011.000', 'use': 'Prevent execution of ML artifacts that are not properly signed.\n'}; {'id': 'AML.T0010.001', 'use': 'Enforce properly signed drivers and ML software frameworks.\n'}; {'id': 'AML.T0010.003', 'use': 'Enforce properly signed model files.\n'}; {'id': 'AML.T0018', 'use': 'Code signing provides a guarantee that the model has not been manipulated after signing took place.'}; {'id': 'AML.T0018.000', 'use': 'Code signing provides a guarantee that the model has not been manipulated after signing took place.'}; {'id': 'AML.T0018.001', 'use': 'Code signing provides a guarantee that the model has not been manipulated after signing took place.'}; {'id': 'AML.T0018.002', 'use': 'Code signing provides a guarantee that the model has not been manipulated after signing took place.'}; {'id': 'AML.T0011.001', 'use': 'Code signing provides a guarantee that the software package has not been manipulated after signing took place.'}","Deployment","Technical - Cyber","2023-04-12","2026-03-19"
"AML.M0014","Verify AI Artifacts","Verify the cryptographic checksum of all AI artifacts to verify that the file was not modified by an attacker.","{'id': 'AML.T0019', 'use': 'Determine validity of published data in order to avoid using poisoned data that introduces vulnerabilities.\n'}; {'id': 'AML.T0011.000', 'use': 'Introduce proper checking of signatures to ensure that unsafe AI artifacts will not be executed in the system.'}; {'id': 'AML.T0010', 'use': 'Introduce proper checking of signatures to ensure that unsafe AI artifacts will not be introduced to the system.'}; {'id': 'AML.T0010.002', 'use': 'Introduce proper checking of signatures to ensure that unsafe AI data will not be introduced to the system.'}; {'id': 'AML.T0002.001', 'use': 'Introduce proper checking of signatures to ensure that unsafe AI models will not be introduced to the system.'}; {'id': 'AML.T0011', 'use': 'Introduce proper checking of signatures to ensure that unsafe AI artifacts will not be executed in the system.'}","Business and Data Understanding; Data Preparation; ML Model Engineering","Technical - Cyber","2023-04-12","2025-12-23"
"AML.M0015","Adversarial Input Detection","Detect and block adversarial inputs or atypical queries that deviate from known benign behavior, exhibit behavior patterns observed in previous attacks or that come from potentially malicious IPs.
Incorporate adversarial detection algorithms into the AI system prior to the AI model.","{'id': 'AML.T0015', 'use': 'Prevent an attacker from introducing adversarial data into the system.\n'}; {'id': 'AML.T0043.001', 'use': 'Monitor queries and query patterns to the target model, block access if suspicious queries are detected.\n'}; {'id': 'AML.T0029', 'use': 'Assess queries before inference call or enforce timeout policy for queries which consume excessive resources.\n'}; {'id': 'AML.T0031', 'use': 'Incorporate adversarial input detection into the pipeline before inputs reach the model.\n'}; {'id': 'AML.T0043', 'use': 'Incorporate adversarial input detection to block malicious inputs at inference time.'}; {'id': 'AML.T0043.000', 'use': 'Incorporate adversarial input detection to block malicious inputs at inference time.'}; {'id': 'AML.T0043.002', 'use': 'Incorporate adversarial input detection to block malicious inputs at inference time.'}; {'id': 'AML.T0043.004', 'use': 'Incorporate adversarial input detection to block malicious inputs at inference time.'}; {'id': 'AML.T0043.003', 'use': 'Incorporate adversarial input detection to block malicious inputs at inference time.'}","Data Preparation; ML Model Engineering; ML Model Evaluation; Deployment; Monitoring and Maintenance","Technical - ML","2023-04-12","2025-12-23"
"AML.M0016","Vulnerability Scanning","Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.

File formats such as pickle files that are commonly used to store AI models can contain exploits that allow for arbitrary code execution.
These files should be scanned for potentially unsafe calls, which could be used to execute code, create new processes, or establish networking capabilities.
Adversaries may embed malicious code in model corrupt model files, so scanners should be capable of working with models that cannot be fully de-serialized.
Model artifacts, downstream products produced by models, and external software dependencies should be scanned for known vulnerabilities.","{'id': 'AML.T0011.000', 'use': 'Vulnerability scanning can help identify malicious AI artifacts, such as models or data, and prevent user execution.'}; {'id': 'AML.T0011.001', 'use': 'Vulnerability scanning can help identify malicious packages and prevent user execution.'}; {'id': 'AML.T0011', 'use': 'Vulnerability scanning can help identify malicious binaries and prevent user execution.'}","ML Model Engineering; Data Preparation","Technical - Cyber","2023-04-12","2025-12-23"
"AML.M0017","AI Model Distribution Methods","Deploying AI models to edge devices can increase the attack surface of the system.
Consider serving models in the cloud to reduce the level of access the adversary has to the model.
Also consider computing features in the cloud to prevent gray-box attacks, where an adversary has access to the model preprocessing methods.","{'id': 'AML.T0044', 'use': ""Not distributing the model in software to edge devices, can limit an adversary's ability to gain full access to the model.\n""}; {'id': 'AML.T0043.000', 'use': 'With full access to the model, an adversary could perform white-box attacks.\n'}; {'id': 'AML.T0010.003', 'use': 'An adversary could repackage the application with a malicious version of the model.\n'}; {'id': 'AML.T0048.004', 'use': ""Avoiding  the deployment of models to edge devices reduces an adversary's potential access to models or AI artifacts.""}; {'id': 'AML.T0035', 'use': 'Avoiding the deployment of models to edge devices reduces the attack surface and can prevent adversary artifact collection.'}; {'id': 'AML.T0063', 'use': ""Avoiding the deployment of models to edge devices reduces an adversary's ability to collect sensitive information about the model outputs.""}","Deployment","Policy","2023-04-12","2025-12-23"
"AML.M0018","User Training","Educate AI model developers to on AI supply chain risks and potentially malicious AI artifacts.
Educate users on how to identify deepfakes and phishing attempts.","{'id': 'AML.T0011', 'use': 'Training users to be able to identify attempts at manipulation will make them less susceptible to performing techniques that cause the execution of malicious code.\n'}; {'id': 'AML.T0011.000', 'use': 'Train users to identify attempts of manipulation to prevent them from running unsafe code which when executed could develop unsafe artifacts. These artifacts may have a detrimental effect on the system.\n'}; {'id': 'AML.T0052', 'use': 'Train users to identify phishing attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.'}; {'id': 'AML.T0052.000', 'use': 'Train users to identify phishing attempts and understand that AI can be used to generate targeted and convincing messages.'}; {'id': 'AML.T0011.001', 'use': 'Train users to identify attempts of manipulation to prevent them from running unsafe code from external packages.'}","Business and Data Understanding; Data Preparation; ML Model Engineering; ML Model Evaluation; Deployment; Monitoring and Maintenance; {'id': 'AML.T0052.001', 'use': 'Train users on deepfake threats, including how to recognize synthetic voice, video, and text. Recommend verification through independent channels (e.g. known call-back number) before processing sensitive requests or providing sensitive information via voice or video calls.'}","Policy","2023-04-12","2026-04-22"
"AML.M0019","Control Access to AI Models and Data in Production","Require users to verify their identities before accessing a production model.
Require authentication for API endpoints and monitor production model queries to ensure compliance with usage policies and to prevent model misuse.
","{'id': 'AML.T0040', 'use': 'Adversaries can use unrestricted API access to gain information about a production system, stage attacks, and introduce malicious data to the system.\n'}; {'id': 'AML.T0024', 'use': 'Adversaries can use unrestricted API access to build a proxy training dataset and reveal private information.\n'}; {'id': 'AML.T0034', 'use': 'Access controls can limit API access and prevent cost harvesting.'}; {'id': 'AML.T0043', 'use': ""Access controls on model APIs can restricts an adversary's access required to generate adversarial data.""}; {'id': 'AML.T0043.001', 'use': 'Access controls on model APIs can deny adversaries the access required for black-box optimization methods.'}; {'id': 'AML.T0005', 'use': ""Access controls on models APIs can reduce an adversary's ability to produce an accurate proxy model.""}; {'id': 'AML.T0029', 'use': 'Access controls on model APIs can prevent an adversary from excessively querying and disabling the system.'}; {'id': 'AML.T0051', 'use': 'Use access controls in production to prevent adversaries from injecting malicious prompts.'}; {'id': 'AML.T0046', 'use': 'Authentication on production models can help prevent anonymous chaff data spam.'}; {'id': 'AML.T0042', 'use': ""Use access controls in production to prevent adversary's ability to verify attack efficacy.""}; {'id': 'AML.T0063', 'use': 'Controlling access to the model in production can help prevent adversaries from inferring information from the model outputs.'}","Deployment; Monitoring and Maintenance","Policy","2024-01-12","2025-12-23"
"AML.M0020","Generative AI Guardrails","Guardrails are safety controls that are placed between a generative AI model and the output shared with the user to prevent undesired inputs and outputs.
Guardrails can take the form of validators such as filters, rule-based logic, or regular expressions, as well as AI-based approaches, such as classifiers and utilizing LLMs, or named entity recognition (NER) to evaluate the safety of the prompt or response. Domain specific methods can be employed to reduce risks in a variety of areas such as etiquette, brand damage, jailbreaking, false information, code exploits, SQL injections, and data leakage.","{'id': 'AML.T0054', 'use': 'Guardrails can prevent harmful inputs that can lead to a jailbreak.'}; {'id': 'AML.T0056', 'use': 'Guardrails can prevent harmful inputs that can lead to meta prompt extraction.'}; {'id': 'AML.T0053', 'use': 'Guardrails can prevent harmful inputs that can lead to plugin compromise, and they can detect PII in model outputs.'}; {'id': 'AML.T0051', 'use': 'Guardrails can prevent harmful inputs that can lead to prompt injection.'}; {'id': 'AML.T0057', 'use': 'Guardrails can detect sensitive data and PII in model outputs.'}; {'id': 'AML.T0010', 'use': 'Guardrails can detect harmful code in model outputs.'}; {'id': 'AML.T0061', 'use': 'Guardrails can help prevent replication attacks in model inputs and outputs.'}; {'id': 'AML.T0062', 'use': 'Guardrails can help block hallucinated content that appears in model output.'}","ML Model Engineering; ML Model Evaluation; Deployment","Technical - ML","2025-03-12","2025-12-23"
"AML.M0021","Generative AI Guidelines","Guidelines are safety controls that are placed between user-provided input and a generative AI model to help direct the model to produce desired outputs and prevent undesired outputs.

Guidelines can be implemented as instructions appended to all user prompts or as part of the instructions in the system prompt. They can define the goal(s), role, and voice of the system, as well as outline safety and security parameters.","{'id': 'AML.T0054', 'use': 'Model guidelines can instruct the model to refuse a response to unsafe inputs.'}; {'id': 'AML.T0056', 'use': 'Model guidelines can instruct the model to refuse a response to unsafe inputs.'}; {'id': 'AML.T0053', 'use': 'Model guidelines can instruct the model to refuse a response to unsafe inputs.'}; {'id': 'AML.T0051', 'use': 'Model guidelines can instruct the model to refuse a response to unsafe inputs.'}; {'id': 'AML.T0057', 'use': 'Model guidelines can instruct the model to refuse a response to unsafe inputs.'}; {'id': 'AML.T0061', 'use': 'Guidelines can help instruct the model to produce more secure output, preventing the model from generating self-replicating outputs.'}; {'id': 'AML.T0062', 'use': 'Guidelines can instruct the model to avoid producing hallucinated content.'}","ML Model Engineering; ML Model Evaluation; Deployment","Technical - ML","2025-03-12","2025-12-23"
"AML.M0022","Generative AI Model Alignment","When training or fine-tuning a generative AI model it is important to utilize techniques that improve model alignment with safety, security, and content policies.

The fine-tuning process can potentially remove built-in safety mechanisms in a generative AI model, but utilizing techniques such as Supervised Fine-Tuning, Reinforcement Learning from Human Feedback or AI Feedback, and Targeted Safety Context Distillation can improve the safety and alignment of the model.","{'id': 'AML.T0054', 'use': 'Model alignment can improve the parametric safety of a model by guiding it away from unsafe prompts and responses.'}; {'id': 'AML.T0056', 'use': 'Model alignment can improve the parametric safety of a model by guiding it away from unsafe prompts and responses.'}; {'id': 'AML.T0053', 'use': 'Model alignment can improve the parametric safety of a model by guiding it away from unsafe prompts and responses.'}; {'id': 'AML.T0051', 'use': 'Model alignment can improve the parametric safety of a model by guiding it away from unsafe prompts and responses.'}; {'id': 'AML.T0057', 'use': 'Model alignment can improve the parametric safety of a model by guiding it away from unsafe prompts and responses.'}; {'id': 'AML.T0061', 'use': 'Model alignment can increase the security of models to self replicating prompt attacks.'}; {'id': 'AML.T0062', 'use': 'Model alignment can help steer the model away from hallucinated content.'}","ML Model Engineering; ML Model Evaluation; Deployment","Technical - ML","2025-03-12","2025-12-23"
"AML.M0023","AI Bill of Materials","An AI Bill of Materials (AI BOM) contains a full listing of artifacts and resources that were used in building the AI. The AI BOM can help mitigate supply chain risks and enable rapid response to reported vulnerabilities.

This can include maintaining dataset provenance, i.e. a detailed history of datasets used for AI applications. The history can include information about the dataset source as well as well as a complete record of any modifications.","{'id': 'AML.T0011.000', 'use': 'An AI BOM can help users identify untrustworthy model artifacts.'}; {'id': 'AML.T0019', 'use': 'An AI BOM can help users identify untrustworthy model artifacts.'}; {'id': 'AML.T0020', 'use': 'An AI BOM can help users identify untrustworthy model artifacts.'}; {'id': 'AML.T0058', 'use': 'An AI BOM can help users identify untrustworthy model artifacts.'}; {'id': 'AML.T0011.001', 'use': 'An AI BOM can help users identify untrustworthy software dependencies.'}; {'id': 'AML.T0011', 'use': 'An AI BOM can help users identify untrustworthy binaries.'}; {'id': 'AML.T0010', 'use': 'An AI BOM can help users identify untrustworthy components of their AI supply chain.'}","Business and Data Understanding; Data Preparation; ML Model Engineering","Policy","2025-03-12","2025-12-23"
